evaluations raw_y
1 -202.0000000000
6 -201.0000000000
15 -195.0000000000
45 -187.0000000000
811 -182.0000000000
914 -176.0000000000
1157 -171.0000000000
10001 -212.0000000000
evaluations raw_y
1 -218.0000000000
2 -209.0000000000
5 -205.0000000000
7 -199.0000000000
14 -198.0000000000
15 -195.0000000000
37 -193.0000000000
38 -184.0000000000
289 -182.0000000000
1206 -177.0000000000
7350 -176.0000000000
10001 -221.0000000000
evaluations raw_y
1 -225.0000000000
2 -223.0000000000
3 -200.0000000000
9 -186.0000000000
213 -180.0000000000
906 -179.0000000000
1891 -174.0000000000
10001 -211.0000000000
evaluations raw_y
1 -201.0000000000
4 -196.0000000000
36 -195.0000000000
73 -187.0000000000
537 -181.0000000000
6318 -180.0000000000
10001 -218.0000000000
evaluations raw_y
1 -209.0000000000
10 -204.0000000000
23 -203.0000000000
34 -202.0000000000
35 -197.0000000000
51 -193.0000000000
71 -190.0000000000
204 -189.0000000000
352 -185.0000000000
434 -183.0000000000
524 -172.0000000000
10001 -225.0000000000
evaluations raw_y
1 -221.0000000000
4 -206.0000000000
8 -199.0000000000
15 -194.0000000000
81 -192.0000000000
85 -185.0000000000
1660 -183.0000000000
2195 -182.0000000000
2500 -174.0000000000
10001 -218.0000000000
evaluations raw_y
1 -208.0000000000
9 -205.0000000000
12 -204.0000000000
13 -203.0000000000
15 -202.0000000000
17 -199.0000000000
54 -196.0000000000
57 -194.0000000000
93 -189.0000000000
158 -180.0000000000
2508 -179.0000000000
4292 -172.0000000000
10001 -226.0000000000
evaluations raw_y
1 -201.0000000000
20 -200.0000000000
23 -199.0000000000
31 -195.0000000000
51 -193.0000000000
109 -191.0000000000
172 -188.0000000000
186 -187.0000000000
407 -186.0000000000
854 -184.0000000000
1642 -183.0000000000
1816 -182.0000000000
1939 -176.0000000000
3802 -174.0000000000
10001 -220.0000000000
evaluations raw_y
1 -231.0000000000
2 -206.0000000000
6 -181.0000000000
801 -177.0000000000
6859 -176.0000000000
9515 -175.0000000000
10001 -216.0000000000
evaluations raw_y
1 -217.0000000000
3 -216.0000000000
4 -188.0000000000
543 -185.0000000000
818 -183.0000000000
1177 -182.0000000000
1469 -180.0000000000
8836 -176.0000000000
10001 -208.0000000000
evaluations raw_y
1 -210.0000000000
3 -208.0000000000
7 -200.0000000000
13 -198.0000000000
47 -194.0000000000
61 -189.0000000000
221 -185.0000000000
265 -184.0000000000
565 -182.0000000000
799 -179.0000000000
5405 -175.0000000000
10001 -216.0000000000
evaluations raw_y
1 -209.0000000000
4 -191.0000000000
18 -190.0000000000
134 -187.0000000000
150 -180.0000000000
1875 -176.0000000000
10001 -219.0000000000
evaluations raw_y
1 -213.0000000000
6 -199.0000000000
30 -198.0000000000
34 -186.0000000000
381 -184.0000000000
610 -183.0000000000
1541 -182.0000000000
5080 -177.0000000000
10001 -218.0000000000
evaluations raw_y
1 -212.0000000000
4 -195.0000000000
5 -183.0000000000
815 -179.0000000000
995 -178.0000000000
4273 -172.0000000000
10001 -213.0000000000
evaluations raw_y
1 -241.0000000000
2 -220.0000000000
4 -212.0000000000
7 -210.0000000000
10 -206.0000000000
12 -199.0000000000
17 -183.0000000000
1298 -181.0000000000
4354 -180.0000000000
5103 -176.0000000000
6409 -171.0000000000
10001 -213.0000000000
evaluations raw_y
1 -224.0000000000
2 -211.0000000000
5 -207.0000000000
8 -200.0000000000
11 -199.0000000000
24 -193.0000000000
54 -191.0000000000
74 -189.0000000000
214 -182.0000000000
2154 -181.0000000000
3870 -178.0000000000
7447 -171.0000000000
10001 -218.0000000000
evaluations raw_y
1 -202.0000000000
5 -200.0000000000
9 -199.0000000000
21 -193.0000000000
125 -190.0000000000
142 -182.0000000000
858 -181.0000000000
1650 -178.0000000000
6861 -175.0000000000
10001 -229.0000000000
evaluations raw_y
1 -223.0000000000
2 -206.0000000000
7 -193.0000000000
27 -192.0000000000
121 -188.0000000000
157 -186.0000000000
254 -185.0000000000
840 -184.0000000000
1340 -183.0000000000
1570 -179.0000000000
2024 -177.0000000000
5311 -172.0000000000
10001 -213.0000000000
evaluations raw_y
1 -223.0000000000
2 -211.0000000000
3 -209.0000000000
4 -197.0000000000
15 -182.0000000000
6509 -180.0000000000
7824 -176.0000000000
10001 -216.0000000000
evaluations raw_y
1 -228.0000000000
2 -217.0000000000
3 -197.0000000000
6 -190.0000000000
114 -187.0000000000
780 -184.0000000000
1272 -181.0000000000
1814 -179.0000000000
3872 -178.0000000000
9447 -174.0000000000
10001 -202.0000000000
evaluations raw_y
1 -216.0000000000
2 -209.0000000000
3 -200.0000000000
18 -181.0000000000
1345 -177.0000000000
10001 -210.0000000000
evaluations raw_y
1 -225.0000000000
2 -220.0000000000
3 -217.0000000000
6 -209.0000000000
9 -202.0000000000
41 -194.0000000000
46 -183.0000000000
1967 -181.0000000000
3957 -179.0000000000
4134 -177.0000000000
10001 -220.0000000000
evaluations raw_y
1 -195.0000000000
16 -192.0000000000
33 -190.0000000000
60 -184.0000000000
132 -183.0000000000
138 -181.0000000000
867 -180.0000000000
1275 -177.0000000000
10001 -211.0000000000
evaluations raw_y
1 -194.0000000000
28 -192.0000000000
36 -190.0000000000
49 -184.0000000000
161 -183.0000000000
1792 -181.0000000000
4560 -176.0000000000
10001 -237.0000000000
evaluations raw_y
1 -221.0000000000
2 -201.0000000000
11 -199.0000000000
15 -197.0000000000
34 -196.0000000000
61 -190.0000000000
70 -186.0000000000
273 -185.0000000000
795 -181.0000000000
1308 -177.0000000000
1332 -172.0000000000
10001 -202.0000000000
evaluations raw_y
1 -198.0000000000
4 -190.0000000000
184 -172.0000000000
10001 -207.0000000000
evaluations raw_y
1 -202.0000000000
10 -201.0000000000
43 -187.0000000000
1206 -186.0000000000
2899 -177.0000000000
7436 -173.0000000000
10001 -230.0000000000
evaluations raw_y
1 -224.0000000000
2 -208.0000000000
7 -195.0000000000
66 -184.0000000000
635 -178.0000000000
688 -175.0000000000
10001 -231.0000000000
evaluations raw_y
1 -224.0000000000
2 -204.0000000000
5 -200.0000000000
10 -194.0000000000
17 -187.0000000000
83 -185.0000000000
453 -174.0000000000
10001 -238.0000000000
evaluations raw_y
1 -209.0000000000
8 -205.0000000000
12 -196.0000000000
71 -193.0000000000
100 -187.0000000000
366 -186.0000000000
419 -180.0000000000
1647 -179.0000000000
6501 -178.0000000000
7046 -177.0000000000
10001 -206.0000000000
