evaluations raw_y
1 -2018.0000000000
2 -2012.0000000000
3 -1971.0000000000
4 -1965.0000000000
14 -1955.0000000000
25 -1938.0000000000
27 -1921.0000000000
329 -1911.0000000000
377 -1906.0000000000
428 -1892.0000000000
866 -1881.0000000000
5157 -1869.0000000000
10001 -2013.0000000000
evaluations raw_y
1 -2053.0000000000
2 -2017.0000000000
4 -2016.0000000000
5 -1992.0000000000
6 -1960.0000000000
7 -1952.0000000000
21 -1949.0000000000
39 -1940.0000000000
61 -1913.0000000000
472 -1910.0000000000
672 -1904.0000000000
1705 -1851.0000000000
10001 -1998.0000000000
evaluations raw_y
1 -1926.0000000000
32 -1902.0000000000
5616 -1887.0000000000
8444 -1884.0000000000
10001 -1979.0000000000
evaluations raw_y
1 -1966.0000000000
10 -1940.0000000000
33 -1935.0000000000
35 -1919.0000000000
555 -1879.0000000000
4227 -1877.0000000000
6713 -1875.0000000000
10001 -1979.0000000000
evaluations raw_y
1 -2028.0000000000
2 -1944.0000000000
23 -1936.0000000000
136 -1925.0000000000
401 -1923.0000000000
536 -1916.0000000000
648 -1912.0000000000
1533 -1909.0000000000
2409 -1903.0000000000
2613 -1899.0000000000
3146 -1894.0000000000
4676 -1889.0000000000
5530 -1874.0000000000
10001 -1967.0000000000
evaluations raw_y
1 -2031.0000000000
2 -2014.0000000000
3 -1942.0000000000
44 -1935.0000000000
79 -1917.0000000000
117 -1912.0000000000
198 -1902.0000000000
257 -1896.0000000000
3150 -1890.0000000000
4719 -1889.0000000000
6474 -1884.0000000000
10001 -2037.0000000000
evaluations raw_y
1 -1991.0000000000
7 -1976.0000000000
18 -1974.0000000000
20 -1958.0000000000
24 -1940.0000000000
80 -1935.0000000000
110 -1930.0000000000
123 -1918.0000000000
205 -1914.0000000000
367 -1912.0000000000
591 -1910.0000000000
669 -1903.0000000000
875 -1890.0000000000
3923 -1873.0000000000
10001 -2017.0000000000
evaluations raw_y
1 -1989.0000000000
2 -1980.0000000000
9 -1919.0000000000
326 -1917.0000000000
490 -1912.0000000000
1182 -1910.0000000000
1582 -1905.0000000000
1736 -1904.0000000000
2024 -1891.0000000000
6230 -1871.0000000000
10001 -2036.0000000000
evaluations raw_y
