evaluations raw_y
1 -1949.0000000000
9 -1948.0000000000
10 -1947.0000000000
15 -1946.0000000000
18 -1945.0000000000
20 -1943.0000000000
26 -1942.0000000000
28 -1939.0000000000
29 -1938.0000000000
31 -1937.0000000000
33 -1936.0000000000
35 -1935.0000000000
39 -1933.0000000000
40 -1932.0000000000
42 -1931.0000000000
43 -1930.0000000000
44 -1929.0000000000
48 -1928.0000000000
50 -1927.0000000000
54 -1926.0000000000
55 -1924.0000000000
60 -1920.0000000000
61 -1919.0000000000
69 -1918.0000000000
72 -1917.0000000000
73 -1916.0000000000
75 -1915.0000000000
76 -1914.0000000000
80 -1913.0000000000
86 -1911.0000000000
91 -1910.0000000000
93 -1909.0000000000
98 -1907.0000000000
101 -1906.0000000000
114 -1905.0000000000
121 -1904.0000000000
125 -1903.0000000000
126 -1902.0000000000
131 -1901.0000000000
138 -1900.0000000000
145 -1899.0000000000
152 -1898.0000000000
154 -1897.0000000000
155 -1896.0000000000
158 -1895.0000000000
166 -1893.0000000000
168 -1891.0000000000
175 -1890.0000000000
181 -1889.0000000000
185 -1888.0000000000
191 -1887.0000000000
201 -1886.0000000000
211 -1885.0000000000
218 -1884.0000000000
219 -1883.0000000000
221 -1882.0000000000
230 -1880.0000000000
233 -1879.0000000000
250 -1878.0000000000
256 -1877.0000000000
258 -1875.0000000000
261 -1874.0000000000
262 -1873.0000000000
263 -1872.0000000000
268 -1871.0000000000
274 -1870.0000000000
281 -1869.0000000000
284 -1868.0000000000
287 -1867.0000000000
292 -1866.0000000000
295 -1865.0000000000
298 -1863.0000000000
299 -1861.0000000000
301 -1860.0000000000
303 -1859.0000000000
304 -1857.0000000000
313 -1855.0000000000
324 -1854.0000000000
326 -1853.0000000000
328 -1852.0000000000
332 -1851.0000000000
341 -1850.0000000000
346 -1849.0000000000
349 -1848.0000000000
354 -1847.0000000000
357 -1846.0000000000
359 -1845.0000000000
369 -1844.0000000000
376 -1842.0000000000
379 -1840.0000000000
387 -1839.0000000000
389 -1837.0000000000
398 -1836.0000000000
402 -1835.0000000000
403 -1834.0000000000
415 -1832.0000000000
417 -1831.0000000000
421 -1830.0000000000
427 -1828.0000000000
435 -1827.0000000000
439 -1826.0000000000
440 -1825.0000000000
443 -1823.0000000000
445 -1822.0000000000
448 -1821.0000000000
451 -1820.0000000000
456 -1819.0000000000
457 -1818.0000000000
458 -1817.0000000000
459 -1816.0000000000
468 -1815.0000000000
470 -1814.0000000000
480 -1813.0000000000
481 -1811.0000000000
491 -1810.0000000000
493 -1809.0000000000
500 -1807.0000000000
501 -1806.0000000000
507 -1805.0000000000
509 -1804.0000000000
517 -1803.0000000000
520 -1802.0000000000
522 -1799.0000000000
525 -1798.0000000000
532 -1797.0000000000
540 -1795.0000000000
542 -1794.0000000000
543 -1793.0000000000
544 -1792.0000000000
548 -1791.0000000000
555 -1790.0000000000
563 -1788.0000000000
566 -1787.0000000000
574 -1786.0000000000
576 -1784.0000000000
577 -1783.0000000000
578 -1781.0000000000
583 -1780.0000000000
587 -1779.0000000000
588 -1778.0000000000
593 -1777.0000000000
598 -1775.0000000000
599 -1771.0000000000
605 -1770.0000000000
611 -1769.0000000000
612 -1768.0000000000
616 -1767.0000000000
617 -1766.0000000000
623 -1764.0000000000
624 -1763.0000000000
625 -1762.0000000000
626 -1761.0000000000
629 -1759.0000000000
634 -1758.0000000000
646 -1756.0000000000
660 -1755.0000000000
665 -1754.0000000000
672 -1753.0000000000
673 -1752.0000000000
675 -1751.0000000000
676 -1750.0000000000
678 -1749.0000000000
679 -1748.0000000000
683 -1747.0000000000
685 -1746.0000000000
689 -1745.0000000000
694 -1744.0000000000
696 -1743.0000000000
702 -1742.0000000000
708 -1741.0000000000
720 -1740.0000000000
723 -1739.0000000000
726 -1737.0000000000
729 -1736.0000000000
737 -1735.0000000000
739 -1734.0000000000
742 -1733.0000000000
744 -1732.0000000000
749 -1730.0000000000
756 -1729.0000000000
757 -1728.0000000000
759 -1727.0000000000
761 -1725.0000000000
772 -1724.0000000000
773 -1723.0000000000
783 -1722.0000000000
784 -1721.0000000000
789 -1720.0000000000
792 -1719.0000000000
798 -1718.0000000000
800 -1717.0000000000
808 -1716.0000000000
815 -1715.0000000000
