evaluations raw_y
1 -253762.1000000000
3 -251992.1000000000
10 -251520.1000000000
12 -249856.1000000000
27 -248412.1000000000
28 -247505.1000000000
32 -247405.1000000000
34 -246484.1000000000
37 -246203.1000000000
41 -242455.1000000000
43 -240902.1000000000
49 -239984.1000000000
51 -239617.1000000000
68 -239601.1000000000
69 -239157.1000000000
70 -238202.1000000000
72 -237779.1000000000
79 -237748.1000000000
84 -235014.1000000000
88 -234700.1000000000
91 -233804.1000000000
92 -233666.1000000000
96 -233567.1000000000
99 -232796.1000000000
103 -232406.1000000000
105 -231855.1000000000
107 -231242.1000000000
113 -228882.1000000000
118 -228208.1000000000
119 -226703.1000000000
125 -225815.1000000000
130 -223343.1000000000
133 -223341.1000000000
140 -221061.1000000000
147 -221023.1000000000
157 -220149.1000000000
161 -219297.1000000000
167 -219192.1000000000
168 -218865.1000000000
169 -217397.1000000000
170 -216420.1000000000
179 -213837.1000000000
191 -211038.1000000000
196 -210616.1000000000
198 -209926.1000000000
200 -209052.1000000000
206 -208126.1000000000
211 -207351.1000000000
215 -206864.1000000000
218 -206478.1000000000
220 -206006.1000000000
223 -204454.1000000000
224 -203761.1000000000
227 -203138.1000000000
241 -202786.1000000000
244 -200319.1000000000
245 -200022.1000000000
249 -199547.1000000000
254 -198731.1000000000
272 -198620.1000000000
274 -198264.1000000000
285 -196848.1000000000
287 -195674.1000000000
291 -194793.1000000000
301 -194426.1000000000
319 -193967.1000000000
327 -193119.1000000000
330 -191283.1000000000
336 -191079.1000000000
338 -190691.1000000000
341 -188724.1000000000
342 -187750.1000000000
348 -187671.1000000000
361 -186285.1000000000
362 -185356.1000000000
380 -185047.1000000000
382 -184799.1000000000
393 -184065.1000000000
405 -183443.1000000000
416 -183321.1000000000
439 -183220.1000000000
440 -182749.1000000000
445 -182687.1000000000
448 -179851.1000000000
460 -179640.1000000000
467 -179284.1000000000
471 -178617.1000000000
477 -176619.1000000000
481 -176249.1000000000
495 -175498.1000000000
502 -174786.1000000000
521 -174453.1000000000
524 -174087.1000000000
531 -172187.1000000000
553 -170335.1000000000
555 -167147.1000000000
556 -167065.1000000000
574 -166728.1000000000
577 -164303.1000000000
586 -164146.1000000000
589 -163285.1000000000
629 -162031.1000000000
645 -161831.1000000000
661 -160541.1000000000
663 -160511.1000000000
667 25869.7001331420
678 25976.2109236162
830 26176.5234349231
887 26268.7407129788
894 26489.8108765238
1387 26819.5956619259
1440 26922.2241898128
1512 27131.1236480151
1804 27343.7822836473
1978 27483.8496200226
2009 27738.8368357069
2034 27888.1264996675
2134 28023.1561910819
2335 28120.1985274767
2338 28176.9738365255
2376 28296.1617215509
3383 28604.5082800440
3424 28724.3709636028
3486 28839.7077877147
4852 28880.6370711991
5346 28975.3756383255
6560 28975.6446767122
6921 28979.8748453396
7496 28983.1694504938
7509 29130.5241427871
7535 29444.8410342506
7866 29474.0455654509
7919 29674.9036883771
8469 29799.3610363481
8479 29972.2955289122
10001 29972.2955289122
evaluations raw_y
1 -296117.1000000000
2 -293948.1000000000
3 -293461.1000000000
7 -293375.1000000000
9 -293237.1000000000
12 -292997.1000000000
19 -289705.1000000000
20 -287960.1000000000
26 -287034.1000000000
27 -285437.1000000000
31 -285412.1000000000
35 -282308.1000000000
37 -277423.1000000000
38 -276714.1000000000
42 -272415.1000000000
48 -271685.1000000000
53 -270748.1000000000
54 -269165.1000000000
58 -268345.1000000000
62 -264573.1000000000
63 -263157.1000000000
66 -262852.1000000000
71 -262689.1000000000
75 -261312.1000000000
79 -259479.1000000000
85 -257119.1000000000
90 -255904.1000000000
93 -253784.1000000000
94 -253298.1000000000
98 -253248.1000000000
100 -252425.1000000000
101 -252244.1000000000
102 -251006.1000000000
104 -250361.1000000000
105 -249694.1000000000
106 -249490.1000000000
110 -248722.1000000000
118 -248089.1000000000
125 -246587.1000000000
129 -245713.1000000000
133 -245525.1000000000
136 -245368.1000000000
141 -245081.1000000000
143 -244220.1000000000
144 -241343.1000000000
146 -240573.1000000000
148 -240085.1000000000
154 -239622.1000000000
166 -239591.1000000000
177 -237660.1000000000
184 -236775.1000000000
185 -236280.1000000000
186 -235815.1000000000
187 -235415.1000000000
199 -234633.1000000000
202 -234241.1000000000
205 -233038.1000000000
209 -232701.1000000000
213 -231181.1000000000
214 -230157.1000000000
218 -229182.1000000000
220 -228212.1000000000
224 -224768.1000000000
225 -221184.1000000000
228 -220256.1000000000
246 -217445.1000000000
250 -216703.1000000000
251 -216697.1000000000
257 -214878.1000000000
261 -214290.1000000000
268 -213260.1000000000
269 -210808.1000000000
276 -209705.1000000000
283 -208696.1000000000
285 -208109.1000000000
295 -207369.1000000000
300 -206965.1000000000
321 -206211.1000000000
322 -205367.1000000000
323 -205228.1000000000
332 -204600.1000000000
342 -203422.1000000000
348 -203066.1000000000
349 -201564.1000000000
350 -201172.1000000000
351 -200482.1000000000
355 -199505.1000000000
356 -198968.1000000000
361 -198827.1000000000
362 -197890.1000000000
369 -197296.1000000000
384 -196734.1000000000
403 -196609.1000000000
421 -196201.1000000000
422 -195534.1000000000
441 -195031.1000000000
443 -192988.1000000000
445 -190765.1000000000
452 -190455.1000000000
458 -189814.1000000000
466 -189334.1000000000
467 -188612.1000000000
469 -188266.1000000000
491 -187090.1000000000
498 -185644.1000000000
499 -184354.1000000000
505 -184128.1000000000
514 -183983.1000000000
515 -183373.1000000000
525 -183017.1000000000
531 -182771.1000000000
558 -181867.1000000000
579 -181043.1000000000
595 -180267.1000000000
596 -179444.1000000000
597 -178755.1000000000
619 -178142.1000000000
633 -177720.1000000000
639 -177553.1000000000
652 -177547.1000000000
655 -176131.1000000000
668 -175602.1000000000
688 -174912.1000000000
701 -174130.1000000000
706 -173370.1000000000
712 -172960.1000000000
734 -172848.1000000000
757 -171915.1000000000
766 -171140.1000000000
771 -170807.1000000000
774 -169371.1000000000
782 -168199.1000000000
801 -167370.1000000000
844 -166690.1000000000
849 -166165.1000000000
868 -165191.1000000000
886 -165185.1000000000
894 -165051.1000000000
899 -165048.1000000000
909 -165030.1000000000
919 -164344.1000000000
924 -164030.1000000000
926 -162804.1000000000
934 -161753.1000000000
944 -159991.1000000000
985 24444.6297189916
991 24875.1352924888
998 24981.6851148595
1000 25042.9873604025
1018 25143.2634623980
1021 25239.2520141652
1031 25713.8830657358
1035 25803.2381072092
1095 25928.4530225771
1216 26028.3070046467
1289 26379.7642648874
1301 26559.1900550069
1340 26688.1734685793
1364 26788.2125026664
1384 26888.4710738271
1394 27224.4933677431
1400 27321.5081643628
