evaluations raw_y
1 -2161913.0000000005
2 -2125840.0000000005
6 -2115790.0000000005
21 -2115717.0000000005
23 -2102837.0000000005
26 -2099695.0000000005
27 -2077669.0000000005
36 307021.2170836275
59 307071.6001679366
61 310671.4489376737
84 312846.0725403874
140 313193.4143389970
151 313313.7631603028
158 313855.7240533857
178 313865.7594865939
179 314263.9295664401
185 315304.4978306049
209 315345.5481451176
217 315621.8730369966
228 316106.6470822974
230 316458.1118632486
234 316726.0298807735
240 316974.1472621865
246 317118.9271315820
247 318044.1418618480
259 318886.1611829466
261 318920.8440067508
277 319623.9585458899
284 321090.3935648310
320 321416.7707694513
325 321777.8776361591
341 322007.3830384305
373 322114.6450948606
378 322353.9277168423
387 322644.7857655437
390 322737.1023826138
392 323459.2117158644
414 323844.4953719517
423 324055.3141770743
440 324063.9212635971
452 324490.3098771846
454 324576.2250905149
464 324684.3416541627
483 324748.5470723927
499 325159.6469772595
512 325223.8669314794
572 326113.0046420222
621 326132.3530000958
657 326165.5808173235
658 326206.4017624307
674 326277.8369909388
684 326989.7799892089
713 327120.6501748413
729 327287.4892408280
754 327324.9346463737
761 327455.1220576134
762 327589.8800737419
773 328247.0718263809
795 328346.8030153872
796 328384.0589612761
800 328709.5785772135
804 329153.3731620973
843 330283.0407464345
896 330574.8317348404
946 330916.6916041414
949 331040.0079029644
967 331466.0732356180
999 331720.4211133491
1001 331753.0837586080
1007 331816.2371795595
1012 331877.3973156698
1036 331977.6309285538
1051 332315.8315120299
1057 332382.6935830363
1066 332459.5662698189
1086 332522.7141178227
1110 332707.6381047674
1111 332797.9836843237
1133 333103.3015526438
1158 333696.3166790890
1177 334590.8907652441
1273 334600.3747329090
1274 334882.4839541508
1280 334887.2604863154
1317 335040.1248991599
1340 335544.6348616079
1417 335681.4518460113
1448 335818.9939464396
1462 336174.9108928878
1528 336189.0380874604
1531 336476.0936444055
1545 336602.4497904727
1565 336633.9028595797
1575 336844.6411619757
1580 336974.8546251729
1593 337369.7901059755
1616 337711.2971632156
1631 338157.1290601639
1669 338414.7255779876
1688 338522.4295981293
1689 338647.3846212244
1755 339006.7685454621
1791 339364.8666770516
1802 340519.3371165136
1857 340571.6489214231
1869 340796.1114844154
1888 341079.8131909668
1890 341373.7182104656
1891 341538.2762766220
1928 341971.3003981206
2022 341981.2748529879
2063 342057.1787008493
2132 342673.9133506333
2191 342692.5320847303
2195 343222.4432765832
2255 343279.9713222373
2277 343307.7086456309
2297 343353.5532690138
2313 343570.0645637104
2339 343592.6143917662
2377 343944.2410963043
2401 343992.9770677068
2426 344279.4523505064
2439 344316.4787407608
2451 344684.3900315053
2465 344797.2645242051
2470 344805.2612563025
2473 345251.8326106303
2485 345260.5031264399
2494 345389.1271480115
2552 345642.8599961191
2597 345825.2288042219
2633 345999.2341861221
2664 346465.6395959104
2698 346637.9591313511
2717 347092.9838021006
2741 347182.5574962406
2747 347504.0849067561
2761 347510.2665821574
2764 347919.9191120156
2792 347959.6010671065
2843 348489.0771350918
2902 348727.3123452383
2911 349181.7903335331
2936 349422.6432257456
2971 349986.1649801312
2997 350372.2675705026
3038 350438.0737236548
3040 350534.8056815173
3044 350598.0933435931
3048 351199.9558616254
3095 351801.4980808639
3128 351853.3033702230
3130 352079.6669132555
3147 352320.5356129552
3199 352675.3791536193
3224 352829.3463174176
3238 353170.5032875842
