evaluations raw_y
1 678256.8875660701
4 699605.9339916209
6 704796.5191949710
12 720784.4177429841
78 727550.7670611650
315 728866.1336651928
1663 728883.1852772119
1813 730963.5632091451
1835 734291.4098391973
2386 735416.2322048212
2832 739045.0182441337
3673 740680.5916629516
5533 745357.5611607175
10001 687864.7667962657
evaluations raw_y
1 704128.5145654259
3 709153.3446485659
23 711130.4483858660
40 713754.2439470760
56 731906.9690569188
456 736829.6008359402
1142 737095.4590449207
4020 744764.3230592599
10001 703231.6652836734
evaluations raw_y
1 696796.3771889866
4 697312.3733809883
9 702851.3071444591
11 711620.0910909403
37 716545.0338510565
54 721182.1655382673
115 723708.0007156878
175 726688.0402858966
232 726800.7581200280
416 727265.7920355537
752 733348.0915447350
1141 737389.0239846187
1838 738851.7673721252
9411 740913.8145773265
10001 690697.5173690155
evaluations raw_y
1 679534.9333173637
2 687326.8096843192
6 688758.4461235109
11 709082.1671985294
18 709969.8927295203
22 720021.6832638188
79 724227.2531987152
178 724498.9156340118
264 724546.7554868470
335 727076.6126679116
501 737126.3179950897
1238 740779.3004347909
8089 741380.2195065039
10001 701990.7006048852
evaluations raw_y
1 677880.5661488079
2 682753.0244180922
3 690420.5446146968
5 710418.3086361816
7 715843.1767913017
20 716652.6389813839
87 716765.1483308803
105 727107.5650087940
366 727884.2151351329
736 737344.8595572922
2500 742236.3619210449
7849 744713.5953085582
10001 672930.2884751158
evaluations raw_y
1 694488.3245565069
3 709314.1492247622
4 710240.5397707230
49 713222.2638018078
75 715941.6847338451
91 721244.2690219368
179 722852.8327890981
329 728158.9911822068
350 728636.4791199497
605 734301.3015869679
1781 738703.9025254181
5174 742388.0793404457
10001 686656.4949206514
evaluations raw_y
1 666592.5604801069
2 690471.1624820210
5 702056.5796178211
6 710951.5234420979
21 713704.6382863184
25 719819.6257366381
113 729873.4003431324
418 731659.6374373632
1477 733977.5111666374
3462 735592.3075485710
5697 738807.5447947065
7956 739977.1007482652
10001 712692.6647658540
evaluations raw_y
1 688790.7060602119
4 692708.9015115340
8 702229.4128308644
9 721013.8876338922
60 729689.7197845862
653 730119.8249485033
776 736830.7047153689
1487 742599.7156688436
3535 747049.4875170736
10001 709744.1036299233
evaluations raw_y
1 666785.4128289118
