evaluations raw_y
1 -224.0000000000
2 -212.0000000000
3 -204.0000000000
6 -199.0000000000
23 -198.0000000000
38 -194.0000000000
247 -188.0000000000
393 -187.0000000000
1503 -186.0000000000
2154 -185.0000000000
4087 -184.0000000000
4213 -182.0000000000
8013 -178.0000000000
10001 -224.0000000000
evaluations raw_y
1 -192.0000000000
34 -182.0000000000
784 -178.0000000000
10001 -237.0000000000
evaluations raw_y
1 -218.0000000000
5 -215.0000000000
8 -205.0000000000
23 -203.0000000000
25 -200.0000000000
50 -188.0000000000
118 -185.0000000000
527 -182.0000000000
2674 -181.0000000000
2769 -179.0000000000
3266 -178.0000000000
10001 -196.0000000000
evaluations raw_y
1 -210.0000000000
5 -206.0000000000
10 -205.0000000000
18 -197.0000000000
32 -193.0000000000
58 -188.0000000000
435 -185.0000000000
2190 -181.0000000000
2646 -179.0000000000
3876 -174.0000000000
10001 -207.0000000000
evaluations raw_y
1 -222.0000000000
2 -211.0000000000
3 -203.0000000000
13 -194.0000000000
16 -193.0000000000
207 -192.0000000000
263 -191.0000000000
353 -189.0000000000
585 -188.0000000000
629 -186.0000000000
1203 -185.0000000000
1432 -177.0000000000
2305 -176.0000000000
10001 -220.0000000000
evaluations raw_y
1 -216.0000000000
2 -194.0000000000
8 -185.0000000000
92 -180.0000000000
298 -176.0000000000
894 -174.0000000000
10001 -225.0000000000
evaluations raw_y
1 -228.0000000000
2 -212.0000000000
5 -196.0000000000
45 -191.0000000000
73 -188.0000000000
110 -187.0000000000
117 -182.0000000000
1614 -180.0000000000
2316 -176.0000000000
10001 -217.0000000000
evaluations raw_y
1 -209.0000000000
8 -202.0000000000
14 -193.0000000000
47 -190.0000000000
157 -189.0000000000
239 -184.0000000000
507 -182.0000000000
2909 -180.0000000000
4583 -166.0000000000
10001 -218.0000000000
evaluations raw_y
1 -213.0000000000
3 -194.0000000000
50 -191.0000000000
53 -186.0000000000
360 -184.0000000000
446 -181.0000000000
2432 -178.0000000000
2778 -177.0000000000
3172 -170.0000000000
10001 -220.0000000000
evaluations raw_y
1 -227.0000000000
2 -220.0000000000
3 -207.0000000000
9 -205.0000000000
16 -186.0000000000
258 -181.0000000000
273 -176.0000000000
4557 -170.0000000000
10001 -201.0000000000
evaluations raw_y
1 -229.0000000000
3 -215.0000000000
4 -206.0000000000
14 -198.0000000000
19 -193.0000000000
37 -186.0000000000
486 -181.0000000000
4212 -179.0000000000
7819 -178.0000000000
8082 -175.0000000000
10001 -227.0000000000
evaluations raw_y
1 -212.0000000000
2 -207.0000000000
6 -204.0000000000
11 -201.0000000000
20 -200.0000000000
32 -198.0000000000
56 -197.0000000000
60 -192.0000000000
121 -189.0000000000
125 -186.0000000000
163 -183.0000000000
3091 -171.0000000000
10001 -241.0000000000
evaluations raw_y
1 -216.0000000000
3 -208.0000000000
7 -197.0000000000
53 -196.0000000000
54 -193.0000000000
91 -191.0000000000
226 -189.0000000000
481 -184.0000000000
1433 -183.0000000000
1501 -180.0000000000
5472 -179.0000000000
6054 -178.0000000000
10001 -223.0000000000
evaluations raw_y
1 -217.0000000000
2 -208.0000000000
4 -193.0000000000
38 -190.0000000000
110 -184.0000000000
608 -181.0000000000
737 -180.0000000000
1004 -176.0000000000
10001 -215.0000000000
evaluations raw_y
1 -210.0000000000
4 -206.0000000000
5 -197.0000000000
12 -193.0000000000
30 -191.0000000000
128 -187.0000000000
232 -185.0000000000
994 -184.0000000000
1749 -179.0000000000
4315 -178.0000000000
6881 -177.0000000000
9131 -176.0000000000
10001 -213.0000000000
evaluations raw_y
1 -211.0000000000
6 -199.0000000000
14 -196.0000000000
93 -191.0000000000
205 -190.0000000000
289 -188.0000000000
917 -187.0000000000
1039 -184.0000000000
1092 -181.0000000000
1669 -180.0000000000
4815 -177.0000000000
7139 -176.0000000000
10001 -212.0000000000
evaluations raw_y
1 -225.0000000000
2 -218.0000000000
3 -216.0000000000
5 -213.0000000000
6 -206.0000000000
7 -202.0000000000
16 -200.0000000000
21 -193.0000000000
33 -184.0000000000
1575 -182.0000000000
5427 -176.0000000000
10001 -203.0000000000
evaluations raw_y
1 -217.0000000000
2 -213.0000000000
4 -210.0000000000
9 -203.0000000000
13 -189.0000000000
55 -175.0000000000
9234 -173.0000000000
10001 -210.0000000000
evaluations raw_y
1 -207.0000000000
3 -204.0000000000
8 -202.0000000000
24 -200.0000000000
30 -199.0000000000
40 -195.0000000000
45 -190.0000000000
222 -189.0000000000
253 -185.0000000000
790 -181.0000000000
5006 -180.0000000000
7562 -179.0000000000
10001 -229.0000000000
evaluations raw_y
1 -208.0000000000
2 -203.0000000000
5 -194.0000000000
89 -191.0000000000
112 -190.0000000000
163 -189.0000000000
229 -188.0000000000
436 -182.0000000000
688 -180.0000000000
5342 -178.0000000000
10001 -208.0000000000
evaluations raw_y
1 -210.0000000000
2 -198.0000000000
3 -189.0000000000
198 -181.0000000000
1933 -158.0000000000
10001 -210.0000000000
evaluations raw_y
1 -217.0000000000
2 -210.0000000000
4 -205.0000000000
8 -192.0000000000
22 -191.0000000000
113 -189.0000000000
421 -186.0000000000
1221 -179.0000000000
10001 -219.0000000000
evaluations raw_y
1 -216.0000000000
2 -211.0000000000
4 -203.0000000000
10 -193.0000000000
22 -192.0000000000
88 -187.0000000000
190 -186.0000000000
458 -184.0000000000
909 -181.0000000000
2400 -180.0000000000
4722 -177.0000000000
10001 -208.0000000000
evaluations raw_y
1 -223.0000000000
2 -215.0000000000
5 -214.0000000000
9 -211.0000000000
17 -199.0000000000
35 -195.0000000000
103 -192.0000000000
114 -184.0000000000
257 -181.0000000000
1638 -177.0000000000
3126 -176.0000000000
10001 -214.0000000000
evaluations raw_y
1 -214.0000000000
3 -204.0000000000
5 -201.0000000000
18 -195.0000000000
122 -193.0000000000
196 -177.0000000000
6903 -175.0000000000
10001 -204.0000000000
evaluations raw_y
1 -213.0000000000
3 -196.0000000000
10 -195.0000000000
41 -194.0000000000
46 -190.0000000000
176 -185.0000000000
427 -184.0000000000
566 -181.0000000000
2678 -180.0000000000
5497 -176.0000000000
7653 -175.0000000000
10001 -232.0000000000
evaluations raw_y
1 -209.0000000000
4 -191.0000000000
46 -186.0000000000
810 -181.0000000000
6965 -180.0000000000
7016 -179.0000000000
10001 -222.0000000000
evaluations raw_y
1 -220.0000000000
2 -204.0000000000
4 -194.0000000000
25 -191.0000000000
356 -188.0000000000
446 -186.0000000000
599 -182.0000000000
1948 -181.0000000000
7662 -180.0000000000
9937 -176.0000000000
10001 -217.0000000000
evaluations raw_y
1 -238.0000000000
2 -197.0000000000
20 -193.0000000000
113 -185.0000000000
142 -183.0000000000
1258 -182.0000000000
1616 -181.0000000000
2174 -178.0000000000
3239 -177.0000000000
10001 -209.0000000000
evaluations raw_y
1 -222.0000000000
