evaluations raw_y
1 -378.0000000000
3 -377.0000000000
6 -371.0000000000
7 -363.0000000000
8 -350.0000000000
24 -345.0000000000
36 -340.0000000000
347 -335.0000000000
375 -334.0000000000
379 -330.0000000000
990 -316.0000000000
5235 -313.0000000000
10001 -381.0000000000
evaluations raw_y
1 -386.0000000000
2 -342.0000000000
87 -338.0000000000
112 -334.0000000000
821 -333.0000000000
1129 -325.0000000000
1790 -312.0000000000
2508 -308.0000000000
10001 -365.0000000000
evaluations raw_y
1 -358.0000000000
15 -345.0000000000
19 -338.0000000000
44 -334.0000000000
72 -333.0000000000
236 -329.0000000000
269 -328.0000000000
2467 -321.0000000000
8298 -318.0000000000
10001 -355.0000000000
evaluations raw_y
1 -362.0000000000
9 -359.0000000000
11 -333.0000000000
234 -323.0000000000
424 -317.0000000000
2848 -313.0000000000
10001 -360.0000000000
evaluations raw_y
1 -371.0000000000
4 -356.0000000000
16 -339.0000000000
21 -329.0000000000
1456 -323.0000000000
1637 -316.0000000000
10001 -373.0000000000
evaluations raw_y
1 -382.0000000000
2 -356.0000000000
7 -338.0000000000
75 -332.0000000000
100 -315.0000000000
10001 -368.0000000000
evaluations raw_y
1 -358.0000000000
8 -354.0000000000
10 -339.0000000000
21 -319.0000000000
37 -312.0000000000
10001 -381.0000000000
evaluations raw_y
1 -354.0000000000
7 -353.0000000000
8 -340.0000000000
40 -334.0000000000
45 -331.0000000000
116 -323.0000000000
396 -322.0000000000
2235 -320.0000000000
3961 -318.0000000000
8116 -310.0000000000
10001 -371.0000000000
evaluations raw_y
1 -373.0000000000
4 -360.0000000000
10 -359.0000000000
14 -340.0000000000
110 -328.0000000000
2230 -326.0000000000
3140 -318.0000000000
6469 -314.0000000000
10001 -379.0000000000
evaluations raw_y
1 -378.0000000000
2 -374.0000000000
3 -362.0000000000
5 -357.0000000000
9 -356.0000000000
10 -353.0000000000
11 -349.0000000000
32 -336.0000000000
164 -330.0000000000
994 -326.0000000000
6353 -322.0000000000
10001 -380.0000000000
evaluations raw_y
1 -365.0000000000
2 -364.0000000000
4 -355.0000000000
7 -346.0000000000
66 -344.0000000000
140 -333.0000000000
284 -328.0000000000
458 -323.0000000000
4468 -313.0000000000
10001 -371.0000000000
evaluations raw_y
1 -359.0000000000
3 -346.0000000000
7 -344.0000000000
63 -343.0000000000
97 -338.0000000000
354 -322.0000000000
859 -319.0000000000
4543 -311.0000000000
10001 -409.0000000000
evaluations raw_y
1 -357.0000000000
7 -356.0000000000
10 -345.0000000000
71 -338.0000000000
75 -336.0000000000
160 -335.0000000000
315 -330.0000000000
562 -321.0000000000
10001 -366.0000000000
evaluations raw_y
1 -369.0000000000
2 -363.0000000000
4 -361.0000000000
14 -354.0000000000
18 -352.0000000000
20 -335.0000000000
59 -326.0000000000
404 -324.0000000000
1424 -321.0000000000
1692 -319.0000000000
10001 -377.0000000000
evaluations raw_y
1 -344.0000000000
11 -340.0000000000
13 -331.0000000000
210 -328.0000000000
1296 -324.0000000000
7717 -320.0000000000
10001 -395.0000000000
evaluations raw_y
1 -371.0000000000
8 -362.0000000000
18 -345.0000000000
19 -338.0000000000
46 -333.0000000000
201 -330.0000000000
