evaluations raw_y
1 -2041.0000000000
2 -1977.0000000000
4 -1969.0000000000
7 -1961.0000000000
14 -1954.0000000000
15 -1941.0000000000
22 -1936.0000000000
34 -1934.0000000000
40 -1924.0000000000
41 -1894.0000000000
44 -1886.0000000000
78 -1882.0000000000
91 -1877.0000000000
102 -1873.0000000000
110 -1870.0000000000
123 -1865.0000000000
130 -1863.0000000000
136 -1854.0000000000
156 -1852.0000000000
166 -1847.0000000000
183 -1846.0000000000
192 -1843.0000000000
198 -1842.0000000000
202 -1838.0000000000
214 -1835.0000000000
233 -1834.0000000000
239 -1833.0000000000
245 -1832.0000000000
251 -1831.0000000000
252 -1830.0000000000
286 -1829.0000000000
292 -1828.0000000000
299 -1827.0000000000
308 -1825.0000000000
330 -1824.0000000000
341 -1823.0000000000
342 -1822.0000000000
359 -1821.0000000000
367 -1820.0000000000
382 -1819.0000000000
398 -1817.0000000000
427 -1815.0000000000
432 -1814.0000000000
458 -1813.0000000000
477 -1812.0000000000
490 -1811.0000000000
500 -1810.0000000000
502 -1809.0000000000
519 -1808.0000000000
525 -1807.0000000000
535 -1805.0000000000
545 -1804.0000000000
562 -1803.0000000000
567 -1802.0000000000
586 -1801.0000000000
593 -1798.0000000000
613 -1796.0000000000
627 -1795.0000000000
649 -1794.0000000000
656 -1793.0000000000
657 -1791.0000000000
664 -1790.0000000000
671 -1789.0000000000
687 -1788.0000000000
699 -1786.0000000000
707 -1785.0000000000
716 -1784.0000000000
719 -1783.0000000000
737 -1782.0000000000
739 -1781.0000000000
751 -1780.0000000000
754 -1778.0000000000
760 -1776.0000000000
779 -1775.0000000000
808 -1772.0000000000
825 -1769.0000000000
852 -1768.0000000000
866 -1766.0000000000
881 -1765.0000000000
893 -1764.0000000000
902 -1762.0000000000
915 -1761.0000000000
919 -1759.0000000000
937 -1757.0000000000
953 -1756.0000000000
972 -1754.0000000000
986 -1753.0000000000
996 -1752.0000000000
1009 -1751.0000000000
1017 -1750.0000000000
1028 -1749.0000000000
1048 -1748.0000000000
1062 -1747.0000000000
1068 -1745.0000000000
1083 -1744.0000000000
1090 -1743.0000000000
1097 -1742.0000000000
1110 -1741.0000000000
1111 -1740.0000000000
1116 -1739.0000000000
1145 -1737.0000000000
1162 -1734.0000000000
1198 -1732.0000000000
1199 -1730.0000000000
1219 -1729.0000000000
1220 -1728.0000000000
1244 -1727.0000000000
1262 -1726.0000000000
1277 -1723.0000000000
1301 -1722.0000000000
1312 -1721.0000000000
1320 -1720.0000000000
1342 -1719.0000000000
1348 -1718.0000000000
1349 -1717.0000000000
1358 -1716.0000000000
1376 -1714.0000000000
1378 -1713.0000000000
1397 -1712.0000000000
1399 -1711.0000000000
1412 -1710.0000000000
1435 -1709.0000000000
1443 -1706.0000000000
1465 -1705.0000000000
1473 -1704.0000000000
1475 -1703.0000000000
1479 -1702.0000000000
1493 -1701.0000000000
1511 -1700.0000000000
1523 -1699.0000000000
1532 -1697.0000000000
1549 -1695.0000000000
1569 -1694.0000000000
1580 -1693.0000000000
1585 -1692.0000000000
1618 -1691.0000000000
1621 -1690.0000000000
1639 -1689.0000000000
1649 -1688.0000000000
1652 -1686.0000000000
1667 -1685.0000000000
1678 -1684.0000000000
1689 -1682.0000000000
1706 -1681.0000000000
1719 -1680.0000000000
1727 -1679.0000000000
1737 -1678.0000000000
1738 -1676.0000000000
1748 -1674.0000000000
1759 -1673.0000000000
1770 -1672.0000000000
1778 -1671.0000000000
1781 -1670.0000000000
1791 -1669.0000000000
1812 -1668.0000000000
1813 -1665.0000000000
1817 -1664.0000000000
1877 -1663.0000000000
1881 -1662.0000000000
1898 -1661.0000000000
1909 -1660.0000000000
1923 -1659.0000000000
1930 -1658.0000000000
1943 -1657.0000000000
1951 -1654.0000000000
1972 -1653.0000000000
1981 -1652.0000000000
1996 -1649.0000000000
2010 -1647.0000000000
2012 -1646.0000000000
2029 -1645.0000000000
2030 -1644.0000000000
2034 -1643.0000000000
2052 -1642.0000000000
2076 -1639.0000000000
2089 -1638.0000000000
2117 -1637.0000000000
2121 -1636.0000000000
2127 -1635.0000000000
2142 -1634.0000000000
2147 -1632.0000000000
2165 -1631.0000000000
2187 -1630.0000000000
2207 -1629.0000000000
2224 -1628.0000000000
2228 -1627.0000000000
2249 -1626.0000000000
2258 -1625.0000000000
2273 -1624.0000000000
2282 -1623.0000000000
2312 -1622.0000000000
2324 -1621.0000000000
2345 -1620.0000000000
2362 -1619.0000000000
2370 -1618.0000000000
2389 -1617.0000000000
2399 -1616.0000000000
2401 -1615.0000000000
2411 -1613.0000000000
2422 -1612.0000000000
2425 -1611.0000000000
2442 -1610.0000000000
2449 -1609.0000000000
2460 -1607.0000000000
2479 -1606.0000000000
2497 -1605.0000000000
2504 -1603.0000000000
2512 -1602.0000000000
2514 -1601.0000000000
2539 -1600.0000000000
2549 -1599.0000000000
2559 -1598.0000000000
2580 -1597.0000000000
2607 -1596.0000000000
2613 -1595.0000000000
2620 -1594.0000000000
2629 -1593.0000000000
2651 -1592.0000000000
2655 -1591.0000000000
2664 -1590.0000000000
2671 -1589.0000000000
2702 -1588.0000000000
2709 -1587.0000000000
2724 -1586.0000000000
2734 -1584.0000000000
2756 -1581.0000000000
2772 -1579.0000000000
2774 -1578.0000000000
2781 -1577.0000000000
2797 -1576.0000000000
2805 -1575.0000000000
2825 -1574.0000000000
2844 -1572.0000000000
2859 -1571.0000000000
2865 -1568.0000000000
2883 -1567.0000000000
2906 -1566.0000000000
2917 -1565.0000000000
2935 -1564.0000000000
2946 -1563.0000000000
2961 -1562.0000000000
2971 -1561.0000000000
2976 -1560.0000000000
2988 -1559.0000000000
3002 -1558.0000000000
3010 -1557.0000000000
3021 -1556.0000000000
3033 -1555.0000000000
3034 -1554.0000000000
3060 -1553.0000000000
3071 -1552.0000000000
3081 -1551.0000000000
3087 -1549.0000000000
3101 -1548.0000000000
3113 -1547.0000000000
3150 -1546.0000000000
3153 -1545.0000000000
3166 -1544.0000000000
3191 -1543.0000000000
3207 -1542.0000000000
3221 -1540.0000000000
3235 -1539.0000000000
3244 -1538.0000000000
3261 -1537.0000000000
3268 -1535.0000000000
3283 -1534.0000000000
3303 -1531.0000000000
3324 -1530.0000000000
3326 -1529.0000000000
3344 -1528.0000000000
3358 -1527.0000000000
3367 -1526.0000000000
3371 -1525.0000000000
3392 -1524.0000000000
3410 -1523.0000000000
3421 -1522.0000000000
3428 -1521.0000000000
3468 -1520.0000000000
3476 -1519.0000000000
3493 -1517.0000000000
3516 -1515.0000000000
3535 -1514.0000000000
3551 -1513.0000000000
3561 -1512.0000000000
3580 -1511.0000000000
3584 -1510.0000000000
3595 -1509.0000000000
3609 -1508.0000000000
3623 -1507.0000000000
3629 -1506.0000000000
3640 -1505.0000000000
3664 -1504.0000000000
3677 -1503.0000000000
3683 -1502.0000000000
3704 -1501.0000000000
3727 -1499.0000000000
3752 -1498.0000000000
3789 -1496.0000000000
3803 -1495.0000000000
3809 -1494.0000000000
3848 -1493.0000000000
3855 -1491.0000000000
3866 -1490.0000000000
3913 -1488.0000000000
3942 -1487.0000000000
3957 -1486.0000000000
3962 -1485.0000000000
3978 -1484.0000000000
4000 -1483.0000000000
4027 -1481.0000000000
4059 -1480.0000000000
4073 -1479.0000000000
4100 -1478.0000000000
4103 -1477.0000000000
4120 -1476.0000000000
4129 -1475.0000000000
4135 -1474.0000000000
4157 -1473.0000000000
4159 -1472.0000000000
4160 -1471.0000000000
4164 -1470.0000000000
4188 -1469.0000000000
4198 -1468.0000000000
4201 -1467.0000000000
4220 -1466.0000000000
4221 -1465.0000000000
4232 -1464.0000000000
4252 -1462.0000000000
4267 -1461.0000000000
4278 -1460.0000000000
4296 -1459.0000000000
4315 -1458.0000000000
4325 -1457.0000000000
4333 -1455.0000000000
4355 -1454.0000000000
4372 -1453.0000000000
4384 -1452.0000000000
4403 -1451.0000000000
4411 -1450.0000000000
4453 -1449.0000000000
4464 -1448.0000000000
4487 -1446.0000000000
4506 -1445.0000000000
4521 -1444.0000000000
4541 -1443.0000000000
4555 -1442.0000000000
4569 -1440.0000000000
4584 -1439.0000000000
4606 -1437.0000000000
4620 -1435.0000000000
4654 -1434.0000000000
4684 -1433.0000000000
4704 -1432.0000000000
4706 -1431.0000000000
4719 -1430.0000000000
4726 -1429.0000000000
4745 -1427.0000000000
4773 -1426.0000000000
4778 -1425.0000000000
4804 -1424.0000000000
4817 -1422.0000000000
4827 -1421.0000000000
4834 -1419.0000000000
4873 -1418.0000000000
4875 -1417.0000000000
4888 -1416.0000000000
4897 -1414.0000000000
4911 -1413.0000000000
4915 -1412.0000000000
4933 -1411.0000000000
4947 -1410.0000000000
4949 -1408.0000000000
4968 -1406.0000000000
4977 -1404.0000000000
5004 -1403.0000000000
5015 -1402.0000000000
5025 -1400.0000000000
5050 -1397.0000000000
5080 -1396.0000000000
5087 -1395.0000000000
5106 -1394.0000000000
5108 -1391.0000000000
5127 -1390.0000000000
5138 -1389.0000000000
5159 -1387.0000000000
5172 -1386.0000000000
5192 -1385.0000000000
5197 -1383.0000000000
5219 -1382.0000000000
5223 -1381.0000000000
5244 -1380.0000000000
5258 -1379.0000000000
5260 -1378.0000000000
5289 -1377.0000000000
5302 -1376.0000000000
5308 -1375.0000000000
5327 -1374.0000000000
5346 -1373.0000000000
5357 -1372.0000000000
5381 -1371.0000000000
5385 -1370.0000000000
5408 -1369.0000000000
5421 -1367.0000000000
5434 -1366.0000000000
5450 -1365.0000000000
5475 -1364.0000000000
5478 -1363.0000000000
5492 -1362.0000000000
5518 -1361.0000000000
5539 -1360.0000000000
5584 -1359.0000000000
5606 -1358.0000000000
5609 -1357.0000000000
5645 -1356.0000000000
5648 -1355.0000000000
5672 -1353.0000000000
5684 -1352.0000000000
5698 -1350.0000000000
5716 -1349.0000000000
5725 -1348.0000000000
5739 -1347.0000000000
5747 -1346.0000000000
5759 -1345.0000000000
5781 -1344.0000000000
5793 -1343.0000000000
5805 -1342.0000000000
5813 -1341.0000000000
5816 -1340.0000000000
5826 -1339.0000000000
5848 -1338.0000000000
5857 -1336.0000000000
5879 -1335.0000000000
5884 -1334.0000000000
5904 -1333.0000000000
5929 -1331.0000000000
5942 -1329.0000000000
5961 -1328.0000000000
5969 -1327.0000000000
5970 -1325.0000000000
6007 -1324.0000000000
6014 -1323.0000000000
6032 -1322.0000000000
6047 -1321.0000000000
6053 -1320.0000000000
6059 -1319.0000000000
6072 -1318.0000000000
6085 -1315.0000000000
6100 -1314.0000000000
6115 -1313.0000000000
6124 -1311.0000000000
6149 -1310.0000000000
6164 -1309.0000000000
6190 -1308.0000000000
6193 -1307.0000000000
6223 -1306.0000000000
6254 -1304.0000000000
6304 -1303.0000000000
6329 -1301.0000000000
6363 -1300.0000000000
6375 -1299.0000000000
6395 -1298.0000000000
6398 -1297.0000000000
6419 -1296.0000000000
6438 -1294.0000000000
6440 -1292.0000000000
6456 -1291.0000000000
6495 -1290.0000000000
6511 -1289.0000000000
6529 -1287.0000000000
6546 -1286.0000000000
6559 -1285.0000000000
6587 -1284.0000000000
6589 -1283.0000000000
6603 -1282.0000000000
6620 -1281.0000000000
6646 -1280.0000000000
6674 -1279.0000000000
6691 -1278.0000000000
6700 -1277.0000000000
6716 -1276.0000000000
6731 -1275.0000000000
6740 -1274.0000000000
6767 -1272.0000000000
6781 -1271.0000000000
6807 -1270.0000000000
6836 -1269.0000000000
6849 -1268.0000000000
6874 -1267.0000000000
6879 -1266.0000000000
6886 -1264.0000000000
6935 -1263.0000000000
6943 -1262.0000000000
6957 -1261.0000000000
6974 -1259.0000000000
6987 -1257.0000000000
7003 -1255.0000000000
7027 -1254.0000000000
7036 -1253.0000000000
7038 -1252.0000000000
7051 -1251.0000000000
7081 -1250.0000000000
7099 -1249.0000000000
7112 -1248.0000000000
7119 -1246.0000000000
7126 -1245.0000000000
7143 -1244.0000000000
7155 -1241.0000000000
7172 -1240.0000000000
7179 -1239.0000000000
7215 -1238.0000000000
7232 -1237.0000000000
7240 -1236.0000000000
7260 -1235.0000000000
7291 -1234.0000000000
7296 -1232.0000000000
7316 -1231.0000000000
7331 -1230.0000000000
7345 -1229.0000000000
7357 -1228.0000000000
7361 -1227.0000000000
7378 -1226.0000000000
7400 -1225.0000000000
7413 -1224.0000000000
7438 -1223.0000000000
7450 -1222.0000000000
7452 -1221.0000000000
7454 -1220.0000000000
7471 -1219.0000000000
7480 -1217.0000000000
7504 -1216.0000000000
7515 -1215.0000000000
7567 -1214.0000000000
7573 -1213.0000000000
7595 -1212.0000000000
7614 -1211.0000000000
7631 -1208.0000000000
7668 -1207.0000000000
7671 -1206.0000000000
7714 -1204.0000000000
7741 -1203.0000000000
7744 -1202.0000000000
7760 -1201.0000000000
7780 -1200.0000000000
7786 -1199.0000000000
7799 -1198.0000000000
7808 -1197.0000000000
7812 -1196.0000000000
7815 -1195.0000000000
7840 -1194.0000000000
7845 -1193.0000000000
7854 -1191.0000000000
7857 -1190.0000000000
7863 -1189.0000000000
7873 -1188.0000000000
7897 -1187.0000000000
7911 -1185.0000000000
7927 -1184.0000000000
7961 -1182.0000000000
8008 -1181.0000000000
8022 -1180.0000000000
8055 -1179.0000000000
8080 -1178.0000000000
8085 -1177.0000000000
8116 -1176.0000000000
8130 -1175.0000000000
8138 -1174.0000000000
8148 -1173.0000000000
8177 -1172.0000000000
8201 -1171.0000000000
8207 -1170.0000000000
8226 -1169.0000000000
8228 -1168.0000000000
8249 -1167.0000000000
8273 -1166.0000000000
8303 -1165.0000000000
8319 -1164.0000000000
8338 -1163.0000000000
8355 -1162.0000000000
8364 -1161.0000000000
8378 -1160.0000000000
8391 -1159.0000000000
8392 -1157.0000000000
8405 -1156.0000000000
8434 -1155.0000000000
8445 -1154.0000000000
8448 -1153.0000000000
8468 -1152.0000000000
8472 -1151.0000000000
8492 -1150.0000000000
8503 -1149.0000000000
8525 -1148.0000000000
8546 -1147.0000000000
8564 -1146.0000000000
8576 -1145.0000000000
8596 -1144.0000000000
8613 -1143.0000000000
8616 -1142.0000000000
8619 -1140.0000000000
8630 -1139.0000000000
8648 -1138.0000000000
8654 -1137.0000000000
8670 -1135.0000000000
8674 -1134.0000000000
8690 -1133.0000000000
8713 -1132.0000000000
