evaluations raw_y
1 -2034.0000000000
2 -2003.0000000000
4 -1971.0000000000
13 -1949.0000000000
35 -1946.0000000000
62 -1941.0000000000
68 -1917.0000000000
491 -1902.0000000000
10001 -2007.0000000000
evaluations raw_y
1 -2023.0000000000
2 -2016.0000000000
3 -1973.0000000000
19 -1969.0000000000
25 -1959.0000000000
51 -1920.0000000000
141 -1913.0000000000
413 -1909.0000000000
1976 -1907.0000000000
2197 -1870.0000000000
10001 -2051.0000000000
evaluations raw_y
1 -2045.0000000000
2 -1973.0000000000
6 -1964.0000000000
18 -1936.0000000000
92 -1927.0000000000
173 -1924.0000000000
237 -1916.0000000000
284 -1911.0000000000
1109 -1899.0000000000
5599 -1892.0000000000
10001 -1996.0000000000
evaluations raw_y
1 -1953.0000000000
73 -1934.0000000000
96 -1911.0000000000
650 -1903.0000000000
3488 -1898.0000000000
10001 -2014.0000000000
evaluations raw_y
1 -1989.0000000000
2 -1961.0000000000
4 -1916.0000000000
370 -1903.0000000000
2925 -1898.0000000000
10001 -1998.0000000000
evaluations raw_y
1 -2023.0000000000
2 -2007.0000000000
3 -1998.0000000000
5 -1977.0000000000
25 -1974.0000000000
36 -1957.0000000000
45 -1952.0000000000
108 -1925.0000000000
125 -1921.0000000000
507 -1914.0000000000
1020 -1906.0000000000
2220 -1903.0000000000
3506 -1890.0000000000
10001 -2006.0000000000
evaluations raw_y
1 -1996.0000000000
5 -1955.0000000000
14 -1937.0000000000
24 -1925.0000000000
283 -1919.0000000000
414 -1908.0000000000
2089 -1903.0000000000
3319 -1895.0000000000
10001 -2002.0000000000
evaluations raw_y
1 -2001.0000000000
3 -1985.0000000000
5 -1967.0000000000
22 -1955.0000000000
108 -1953.0000000000
134 -1940.0000000000
139 -1935.0000000000
296 -1889.0000000000
2483 -1877.0000000000
10001 -1966.0000000000
evaluations raw_y
1 -2003.0000000000
2 -1923.0000000000
235 -1920.0000000000
240 -1915.0000000000
417 -1912.0000000000
3403 -1892.0000000000
10001 -2054.0000000000
evaluations raw_y
1 -2035.0000000000
2 -1995.0000000000
6 -1975.0000000000
10 -1918.0000000000
898 -1896.0000000000
3367 -1885.0000000000
8646 -1878.0000000000
10001 -2026.0000000000
evaluations raw_y
1 -1972.0000000000
9 -1925.0000000000
76 -1922.0000000000
447 -1921.0000000000
1114 -1888.0000000000
10001 -1980.0000000000
evaluations raw_y
1 -1963.0000000000
13 -1959.0000000000
17 -1945.0000000000
145 -1929.0000000000
259 -1913.0000000000
282 -1882.0000000000
10001 -2077.0000000000
evaluations raw_y
1 -1951.0000000000
18 -1938.0000000000
94 -1933.0000000000
171 -1927.0000000000
526 -1926.0000000000
583 -1917.0000000000
925 -1903.0000000000
2464 -1897.0000000000
4259 -1880.0000000000
10001 -2050.0000000000
evaluations raw_y
1 -2074.0000000000
2 -2023.0000000000
5 -2006.0000000000
6 -1999.0000000000
7 -1998.0000000000
9 -1971.0000000000
15 -1965.0000000000
23 -1951.0000000000
102 -1945.0000000000
170 -1927.0000000000
322 -1904.0000000000
1224 -1903.0000000000
4646 -1902.0000000000
7233 -1887.0000000000
8411 -1870.0000000000
10001 -1972.0000000000
evaluations raw_y
1 -2004.0000000000
4 -1978.0000000000
10 -1977.0000000000
13 -1917.0000000000
33 -1910.0000000000
2794 -1908.0000000000
4142 -1901.0000000000
5933 -1890.0000000000
10001 -2032.0000000000
evaluations raw_y
1 -1986.0000000000
4 -1970.0000000000
12 -1957.0000000000
32 -1949.0000000000
64 -1944.0000000000
116 -1920.0000000000
588 -1903.0000000000
10001 -2010.0000000000
evaluations raw_y
1 -2024.0000000000
2 -2000.0000000000
6 -1991.0000000000
8 -1983.0000000000
20 -1977.0000000000
26 -1935.0000000000
104 -1923.0000000000
258 -1916.0000000000
669 -1912.0000000000
2834 -1909.0000000000
3324 -1889.0000000000
6793 -1863.0000000000
10001 -2014.0000000000
evaluations raw_y
1 -2001.0000000000
2 -1993.0000000000
4 -1990.0000000000
8 -1987.0000000000
12 -1960.0000000000
33 -1951.0000000000
40 -1948.0000000000
95 -1932.0000000000
323 -1924.0000000000
405 -1922.0000000000
489 -1920.0000000000
719 -1905.0000000000
2495 -1901.0000000000
2604 -1896.0000000000
10001 -2026.0000000000
evaluations raw_y
1 -1971.0000000000
23 -1960.0000000000
27 -1936.0000000000
357 -1920.0000000000
437 -1915.0000000000
766 -1900.0000000000
3341 -1896.0000000000
10001 -1995.0000000000
evaluations raw_y
1 -1986.0000000000
5 -1955.0000000000
30 -1948.0000000000
47 -1945.0000000000
69 -1941.0000000000
80 -1936.0000000000
100 -1935.0000000000
149 -1929.0000000000
853 -1918.0000000000
947 -1916.0000000000
1226 -1900.0000000000
2718 -1886.0000000000
10001 -2051.0000000000
evaluations raw_y
1 -2031.0000000000
2 -1957.0000000000
29 -1951.0000000000
86 -1904.0000000000
735 -1903.0000000000
1183 -1887.0000000000
10001 -1991.0000000000
evaluations raw_y
1 -2033.0000000000
2 -2007.0000000000
3 -1976.0000000000
25 -1966.0000000000
26 -1964.0000000000
38 -1959.0000000000
41 -1954.0000000000
42 -1917.0000000000
140 -1915.0000000000
328 -1913.0000000000
463 -1900.0000000000
6312 -1887.0000000000
7002 -2032.0000000000
