evaluations raw_y
1 -261221.1000000000
3 -260758.1000000000
9 -259820.1000000000
10 -258696.1000000000
13 -257824.1000000000
15 -257153.1000000000
17 -256859.1000000000
18 -256536.1000000000
20 -254732.1000000000
23 -252368.1000000000
26 -252289.1000000000
28 -251826.1000000000
30 -251374.1000000000
31 -246783.1000000000
32 -245922.1000000000
37 -245916.1000000000
39 -244807.1000000000
40 -243260.1000000000
46 -242570.1000000000
50 -241982.1000000000
51 -241301.1000000000
53 -240125.1000000000
72 -240119.1000000000
76 -238785.1000000000
81 -238480.1000000000
86 -238021.1000000000
88 -236159.1000000000
91 -235944.1000000000
100 -235942.1000000000
106 -235586.1000000000
107 -234168.1000000000
109 -233479.1000000000
114 -232507.1000000000
116 -231857.1000000000
132 -231034.1000000000
133 -228137.1000000000
138 -226375.1000000000
146 -225546.1000000000
151 -223573.1000000000
156 -219989.1000000000
167 -219309.1000000000
174 -218381.1000000000
190 -218251.1000000000
194 -217344.1000000000
200 -216831.1000000000
213 -216470.1000000000
214 -214769.1000000000
218 -213479.1000000000
220 -213075.1000000000
222 -209765.1000000000
231 -209120.1000000000
240 -208558.1000000000
244 -208208.1000000000
245 -206596.1000000000
249 -205812.1000000000
254 -205689.1000000000
264 -204663.1000000000
271 -203195.1000000000
279 -203073.1000000000
290 -202650.1000000000
292 -202156.1000000000
302 -200902.1000000000
303 -196902.1000000000
308 -196470.1000000000
309 -194812.1000000000
311 -194444.1000000000
317 -194291.1000000000
323 -193671.1000000000
336 -192767.1000000000
343 -192146.1000000000
376 -191645.1000000000
387 -190027.1000000000
391 -189268.1000000000
402 -188742.1000000000
419 -188008.1000000000
428 -184692.1000000000
440 -182332.1000000000
442 -181414.1000000000
444 -180488.1000000000
454 -177745.1000000000
477 -177379.1000000000
490 -176961.1000000000
495 -176348.1000000000
496 -175625.1000000000
516 -175311.1000000000
521 -175310.1000000000
532 -174918.1000000000
542 -173730.1000000000
551 -173393.1000000000
554 -172780.1000000000
559 -172186.1000000000
571 -171904.1000000000
576 -170846.1000000000
577 -170454.1000000000
587 -169988.1000000000
597 -169762.1000000000
604 -169409.1000000000
605 -168936.1000000000
618 -168536.1000000000
632 -165588.1000000000
649 -164813.1000000000
675 -163435.1000000000
694 -162641.1000000000
712 -162453.1000000000
718 -161677.1000000000
719 -161621.1000000000
737 -160119.1000000000
738 24045.3194217058
755 24074.3030852247
760 24368.3180409006
768 24461.4795071685
929 24731.1365495856
967 24930.6526226486
1035 25112.0823940600
1127 25698.3816329567
1673 25800.6108563497
1848 26128.2433394580
2468 26228.4604306399
2659 26328.6785285304
5641 26418.1022379027
7346 26535.3015130834
9685 26656.3314927209
10000 26535.3015130834
evaluations raw_y
1 -281573.1000000000
5 -281114.1000000000
7 -277342.1000000000
14 -276210.1000000000
19 -274448.1000000000
21 -269810.1000000000
22 -268514.1000000000
26 -268209.1000000000
27 -266701.1000000000
35 -266011.1000000000
40 -264145.1000000000
41 -263370.1000000000
42 -262545.1000000000
44 -262474.1000000000
46 -262234.1000000000
47 -261360.1000000000
50 -261338.1000000000
51 -261273.1000000000
53 -258829.1000000000
59 -258750.1000000000
61 -254937.1000000000
77 -254537.1000000000
78 -251715.1000000000
79 -250591.1000000000
88 -247835.1000000000
96 -247468.1000000000
106 -246290.1000000000
114 -243914.1000000000
148 -243848.1000000000
150 -243124.1000000000
158 -242074.1000000000
178 -240784.1000000000
183 -240485.1000000000
186 -239641.1000000000
195 -238456.1000000000
