evaluations raw_y
1 0.9701202949
5 1.0855405992
7 1.1526048870
8 1.2658227848
10 1.3491635186
11 1.3989927252
15 1.7895490336
17 1.8811136193
27 2.2381378693
41 2.3786869648
58 2.4485798237
71 2.5329280648
82 2.8768699655
94 3.0826140567
336 3.0902348578
414 3.0978934325
455 3.2509752926
604 3.4013605442
630 3.4867503487
634 3.5561877667
712 3.6075036075
1178 3.7257824143
1275 3.8051750381
1715 3.8167938931
11564 3.8880248834
100001 3.0750307503
evaluations raw_y
1 1.0743446498
3 1.1899095669
8 1.3027618551
9 1.3347570742
11 1.4577259475
13 1.5197568389
16 1.5673981191
23 1.5852885225
30 1.7041581459
36 1.8925056775
45 1.9638648861
61 2.0112630732
62 2.0610057708
120 2.2143489814
137 2.3741690408
184 2.3969319271
320 2.4875621891
352 2.5380710660
354 2.5746652935
368 2.7502750275
374 2.9103608847
387 2.9171528588
426 3.0084235860
462 3.1055900621
501 3.1133250311
579 3.3025099075
1082 3.3467202142
1377 3.5460992908
3159 3.6075036075
3227 3.6390101892
3264 3.9246467818
3760 4.1736227045
3847 4.1876046901
5900 4.3327556326
5942 4.5372050817
100001 3.1685678074
evaluations raw_y
1 1.2632642749
4 1.4100394811
8 1.4343086632
19 1.4392630973
29 1.5441630636
35 1.7593244194
52 1.7793594306
59 1.9305019305
62 1.9700551615
75 1.9731649566
82 2.1097046414
87 2.1720243267
103 2.1910604733
114 2.2104332449
147 2.2222222222
205 2.2261798753
208 2.4679170780
213 2.4727992087
259 2.5075225677
262 2.6068821689
263 2.6343519494
352 2.7685492802
374 2.9726516052
439 3.0978934325
459 3.1685678074
511 3.2765399738
871 3.2938076416
994 3.3025099075
1419 3.3647375505
1709 3.4482758621
7005 3.5063113604
23665 3.5460992908
23669 3.6818851252
36110 3.8402457757
36278 4.0000000000
55328 4.0518638574
55617 4.0916530278
100001 4.0916530278
evaluations raw_y
1 1.3462574044
4 1.4679976512
5 1.7642907551
6 1.8050541516
9 1.8953752843
16 1.9127773527
20 1.9516003123
26 2.0508613618
29 2.0576131687
31 2.1987686895
45 2.2261798753
46 2.2872827081
69 2.3969319271
71 2.5278058645
90 2.5746652935
118 2.6624068158
129 2.6680896478
177 2.9515938607
202 3.2010243278
273 3.2092426187
366 3.2509752926
489 3.2938076416
545 3.3025099075
745 3.3647375505
845 3.4867503487
995 3.5161744023
1036 3.6496350365
1082 3.6603221083
1508 4.0000000000
1678 4.1736227045
100001 3.0156815440
evaluations raw_y
1 1.0715816545
2 1.1135857461
3 1.1665888941
5 1.2933264356
7 1.5290519878
8 1.7593244194
19 2.0644095789
29 2.2872827081
42 2.4248302619
43 2.6680896478
51 2.7085590466
90 2.7502750275
103 3.2594524120
133 3.2679738562
211 3.4578146611
439 3.7369207773
18045 3.8284839204
18473 3.8402457757
18521 4.1050903120
18641 4.3478260870
100001 3.2851511170
evaluations raw_y
1 1.1135857461
3 1.1753643630
7 1.2177301510
11 1.2919896641
15 1.3564839935
18 1.5234613041
20 1.6789791807
27 1.7543859649
31 1.8504811251
57 1.8925056775
61 1.9040365575
62 1.9364833462
97 1.9669551534
134 2.1682567216
142 2.2261798753
155 2.3386342376
159 2.4437927664
192 2.5125628141
193 2.6232948583
215 2.8058361392
234 2.8901734104
253 3.1289111389
279 3.2679738562
302 3.5765379113
727 3.6927621861
847 3.9123630673
884 3.9745627981
100001 3.9745627981
evaluations raw_y
1 1.1720581341
5 1.2840267078
6 1.2879958784
10 1.3713658804
17 1.4943215780
22 1.5142337977
31 1.5576323988
50 1.5673981191
56 1.8982536067
62 2.0920502092
65 2.2624434389
69 2.6288117771
75 2.9171528588
88 3.1446540881
113 3.1525851198
172 3.1766200762
187 3.3921302578
361 3.4965034965
32273 3.5360678925
32314 3.7821482602
32977 3.9619651347
33733 4.0518638574
100001 4.0518638574
evaluations raw_y
1 1.2481278083
3 1.3653741125
5 1.4784151390
14 1.5654351910
19 1.5752993069
39 1.7818959373
47 1.8422991894
59 1.9485580670
72 2.0408163265
77 2.0441537204
78 2.1168501270
83 2.1204410517
99 2.1987686895
111 2.2026431718
117 2.2624434389
121 2.3651844844
142 2.3969319271
160 2.4975024975
168 2.5799793602
171 2.6511134677
192 2.6680896478
210 2.7322404372
227 2.8248587571
253 2.9797377831
266 3.1210986267
1177 3.4199726402
1229 3.4674063800
2193 3.5561877667
2456 3.7481259370
2602 3.7821482602
2761 3.7936267071
2842 3.9745627981
3855 4.1736227045
4717 4.2589437819
100001 4.2589437819
evaluations raw_y
1 1.2543903663
2 1.2946659762
6 1.5105740181
12 1.7470300489
36 1.7921146953
52 1.8315018315
53 1.9157088123
56 2.0016012810
58 2.0242914980
81 2.1758050479
115 2.4826216485
152 2.6232948583
185 2.6511134677
187 2.6910656620
275 2.7144408252
295 2.7442371021
316 2.7995520717
336 2.8312570781
368 2.8901734104
413 2.9940119760
452 3.0376670717
529 3.0826140567
536 3.1847133758
554 3.2765399738
722 3.5260930889
12558 3.5868005739
13341 3.6603221083
13345 4.2735042735
100001 3.6818851252
evaluations raw_y
1 1.3068478829
4 1.4697236919
9 1.5403573629
12 1.7041581459
13 1.8341892883
16 2.2143489814
17 2.2747952684
84 2.3212627669
94 2.4437927664
101 2.5278058645
113 2.6852846402
301 2.7382256298
317 2.7624309392
332 2.8702640643
357 2.9868578256
365 3.0084235860
413 3.0750307503
611 3.1133250311
744 3.1525851198
1060 3.2258064516
1107 3.3557046980
2360 3.8402457757
32192 3.9123630673
32304 3.9745627981
32381 4.1186161450
32389 4.1597337770
35799 4.2444821732
35894 4.4404973357
100001 2.8441410694
