evaluations raw_y
1 0.8750437522
2 1.1317338162
5 1.2248897599
7 1.2774655084
13 1.2879958784
21 1.3713658804
22 1.4310246136
47 1.5142337977
69 1.5290519878
82 1.5460729746
122 1.6501650165
146 1.8477457502
937 1.9825535289
12940 2.0955574183
23356 2.3126734505
61608 2.3696682464
100001 1.0150223305
evaluations raw_y
1 0.8665511265
2 0.9516558812
3 1.1076650421
4 1.1135857461
9 1.1820330969
10 1.2059816691
12 1.3206550449
28 1.4731879788
44 1.4819205691
49 1.7253278123
470 1.8642803878
3169 1.8670649739
3524 1.9455252918
4178 2.1240441801
62936 2.1949078139
99648 2.4154589372
100001 0.8659508140
evaluations raw_y
1 0.9972078181
2 1.3290802764
3 1.3333333333
5 1.3462574044
6 1.4749262537
57 1.4943215780
75 1.5033072760
87 1.8587360595
2270 2.4437927664
17712 2.4533856722
100001 1.0808473843
evaluations raw_y
1 1.0068465566
2 1.1910433540
4 1.2406947891
12 1.3041210224
14 1.4997000600
15 1.5290519878
51 1.6880486158
52 1.7470300489
216 1.8477457502
348 2.0177562550
1937 2.1097046414
2151 2.2665457842
92141 2.5484199796
100001 1.1600928074
evaluations raw_y
1 0.7442691277
2 0.8465966813
3 1.2177301510
10 1.3041210224
26 1.3404825737
32 1.5634771732
43 1.5954052329
126 1.7618040874
193 1.9069412662
207 2.1570319241
7400 2.2461814915
11602 2.4630541872
100001 1.0133765707
evaluations raw_y
1 1.7088174983
97 1.7325017325
322 1.9516003123
2074 2.0112630732
7565 2.0576131687
20226 2.0746887967
46611 2.1949078139
57954 2.4485798237
89212 2.4727992087
100001 1.1185682327
evaluations raw_y
1 1.0092854259
2 1.1504832029
5 1.2840267078
7 1.5873015873
25 1.6501650165
62 1.8155410312
609 1.9040365575
5162 2.1276595745
26957 2.2999080037
85585 2.4201355276
100001 0.7751937984
evaluations raw_y
1 0.8072328059
2 1.1876484561
5 1.2987012987
13 1.3054830287
19 1.3234515617
38 1.5673981191
64 1.5733165513
68 1.7373175817
117 1.7470300489
299 1.7519271198
919 1.8726591760
977 2.0016012810
7288 2.1240441801
12130 2.1496130696
28307 2.1607605877
46588 2.1987686895
55423 2.4108003857
100001 0.9678668215
evaluations raw_y
1 1.2632642749
12 1.3404825737
28 1.3774104683
53 1.6265452180
150 1.8288222385
512 1.8368846436
756 1.9485580670
793 2.0210185934
5055 2.1168501270
17884 2.1312872975
90565 2.2381378693
100001 0.7177720356
evaluations raw_y
1 0.7979572295
2 1.1611704598
4 1.4697236919
98 1.4836795252
102 1.6972165648
115 1.7373175817
348 1.8050541516
533 2.1097046414
4379 2.4390243902
100001 0.9792401097
