evaluations raw_y
1 1.1483693156
2 1.1887779363
3 1.2106537530
11 1.2556504269
14 1.2879958784
15 1.4310246136
17 1.5733165513
18 1.5832805573
24 1.6655562958
25 1.6722408027
26 1.7205781142
29 1.7229496899
40 1.8050541516
41 1.8726591760
43 2.0016012810
44 2.1795989538
56 2.2143489814
66 2.3518344309
73 2.4108003857
78 2.5025025025
85 2.5693730730
96 2.6624068158
116 2.7995520717
123 2.9515938607
155 2.9585798817
159 3.2594524120
291 3.3557046980
296 3.4387895461
302 3.6496350365
100001 2.9377203290
evaluations raw_y
1 1.1008366358
2 1.1256190905
3 1.1731581417
5 1.2419274714
6 1.3506212858
13 1.3881177124
15 1.4889815366
16 1.6223231668
17 1.6244314490
18 1.7158544955
19 1.7972681524
27 1.8422991894
31 2.0508613618
36 2.0542317173
37 2.0644095789
66 2.0885547201
71 2.1422450728
84 2.2789425706
86 2.4925224327
102 2.4975024975
129 2.5746652935
137 2.7382256298
220 3.0229746070
304 3.2679738562
305 3.5360678925
363 3.5460992908
396 3.5765379113
411 4.0783034258
100001 3.4770514604
evaluations raw_y
1 1.7445917655
2 1.8234865062
10 1.9157088123
14 1.9794140934
18 2.1987686895
34 2.2747952684
35 2.3832221163
63 2.5960539979
71 2.6014568158
107 2.6178010471
153 2.7382256298
169 2.8312570781
186 2.9868578256
195 3.1605562579
384 3.4293552812
431 3.4965034965
434 3.5663338088
492 3.7481259370
512 3.7821482602
519 3.8880248834
532 3.9745627981
100001 3.1446540881
evaluations raw_y
1 0.8231807705
4 0.8919015341
6 1.0552975939
8 1.0688328345
9 1.1037527594
10 1.1145786893
11 1.1420740064
13 1.3137151865
17 1.3668671405
19 1.4611338399
21 1.5499070056
22 1.7568517217
31 1.7642907551
36 1.9669551534
40 2.0275750203
44 2.2341376229
56 2.5484199796
75 2.6399155227
88 2.6567481403
95 2.7322404372
97 2.7746947836
128 2.9239766082
131 2.9308323564
143 3.0084235860
197 3.0450669915
204 3.0674846626
305 3.2175032175
312 3.3647375505
100001 2.6910656620
evaluations raw_y
1 1.0208248265
3 1.1644154634
5 1.1809163911
6 1.3192612137
8 1.3789299504
10 1.4611338399
12 1.6350555919
17 1.7182130584
18 1.7349063151
28 1.8181818182
31 1.9334880124
36 2.0441537204
38 2.0815986678
51 2.2583559169
60 2.4108003857
66 2.4437927664
68 2.5380710660
84 2.5536261491
86 2.5588536336
90 2.8441410694
95 2.8506271380
111 2.8571428571
220 2.9036004646
444 2.9797377831
461 3.1525851198
471 3.3288948069
884 3.4867503487
100001 2.6288117771
evaluations raw_y
1 0.7619628162
3 0.8494733265
4 0.8874689386
5 0.9473285335
8 1.1276499774
17 1.1410314925
19 1.2177301510
25 1.2189176012
26 1.4228799089
30 1.5441630636
34 1.6835016835
36 1.8395879323
41 1.9334880124
50 1.9485580670
63 1.9638648861
65 1.9731649566
67 1.9762845850
74 2.2421524664
92 2.5176233635
100 2.5227043391
153 2.5380710660
168 2.5536261491
172 2.7262813522
176 2.7563395810
186 2.7624309392
195 2.8058361392
234 2.8636884307
241 2.8835063437
305 2.8901734104
357 2.9239766082
363 3.0750307503
368 3.0978934325
397 3.1367628607
439 3.2594524120
455 3.3377837116
492 3.3647375505
575 3.5460992908
618 3.6179450072
687 3.6496350365
694 3.7257824143
796 3.7821482602
903 3.7936267071
100001 3.2851511170
evaluations raw_y
1 0.7675775253
2 0.8248102936
6 0.9160864786
7 0.9487666034
8 0.9980039920
11 1.0133765707
12 1.1076650421
13 1.1106175033
14 1.1317338162
15 1.2118274358
19 1.2645422357
24 1.3623978202
25 1.6139444803
31 1.6857720836
38 1.7205781142
47 1.8288222385
50 1.9952114924
51 2.0177562550
60 2.1607605877
63 2.3342670401
78 2.4390243902
85 2.4630541872
99 2.4975024975
101 2.5536261491
103 2.6014568158
111 2.6178010471
128 2.7870680045
131 2.8835063437
136 3.1210986267
154 3.1289111389
166 3.2341526520
192 3.3829499323
251 3.7821482602
100001 3.2258064516
evaluations raw_y
1 1.3865779257
2 1.4164305949
5 1.5595757954
7 1.6265452180
8 1.7277125086
9 1.8587360595
19 1.8839487566
27 1.9394879752
32 1.9669551534
34 2.0610057708
40 2.1276595745
41 2.2789425706
44 2.4925224327
55 2.6014568158
57 2.6288117771
73 2.6795284030
125 3.1928480204
142 3.2509752926
148 3.6603221083
100001 3.0156815440
evaluations raw_y
1 0.9269558769
4 0.9458948165
5 0.9552923194
8 1.1775788978
9 1.3728720483
10 1.5069318867
14 1.5234613041
17 1.5792798484
20 1.6223231668
23 1.6329196604
25 1.7158544955
30 1.8129079043
32 1.8208302986
38 1.8504811251
40 1.9516003123
46 1.9669551534
54 1.9888623707
55 2.1132713440
69 2.2381378693
86 2.2502250225
93 2.3651844844
99 2.4248302619
156 2.7027027027
157 2.9103608847
198 3.0303030303
258 3.1133250311
301 3.3025099075
327 3.3467202142
340 3.5260930889
399 3.6603221083
100001 3.0156815440
evaluations raw_y
1 1.0552975939
2 1.2212994626
5 1.4392630973
6 1.5556938395
7 1.7111567420
13 1.9920318725
15 2.0678246485
16 2.0990764064
19 2.2222222222
28 2.2665457842
33 2.2789425706
34 2.2914757104
40 2.3299161230
51 2.4248302619
64 2.4390243902
114 2.5125628141
201 2.5588536336
248 2.6852846402
253 2.7262813522
277 2.7932960894
285 3.0156815440
289 3.0826140567
297 3.1525851198
391 3.2258064516
395 3.2851511170
100001 2.7808676307
