evaluations raw_y
1 59.0000000000
7 60.0000000000
32 62.0000000000
44 64.0000000000
174 67.0000000000
1945 69.0000000000
25331 70.0000000000
56848 71.0000000000
100001 49.0000000000
evaluations raw_y
1 50.0000000000
3 53.0000000000
7 56.0000000000
18 61.0000000000
45 64.0000000000
523 65.0000000000
686 67.0000000000
4916 68.0000000000
21901 70.0000000000
50556 74.0000000000
100001 45.0000000000
evaluations raw_y
1 42.0000000000
2 46.0000000000
5 53.0000000000
7 58.0000000000
14 62.0000000000
86 64.0000000000
558 68.0000000000
11321 69.0000000000
13906 70.0000000000
24516 71.0000000000
100001 48.0000000000
evaluations raw_y
1 59.0000000000
59 61.0000000000
78 64.0000000000
1010 67.0000000000
1181 68.0000000000
16828 69.0000000000
63417 70.0000000000
100001 45.0000000000
evaluations raw_y
1 49.0000000000
2 55.0000000000
11 56.0000000000
15 58.0000000000
32 59.0000000000
37 60.0000000000
105 62.0000000000
323 63.0000000000
473 64.0000000000
1237 66.0000000000
5585 71.0000000000
100001 41.0000000000
evaluations raw_y
1 47.0000000000
2 53.0000000000
3 66.0000000000
1566 68.0000000000
6884 69.0000000000
44111 70.0000000000
78460 72.0000000000
100001 49.0000000000
evaluations raw_y
1 50.0000000000
3 51.0000000000
14 54.0000000000
17 56.0000000000
20 61.0000000000
203 63.0000000000
603 64.0000000000
1908 67.0000000000
9458 68.0000000000
9566 69.0000000000
23696 70.0000000000
88918 71.0000000000
100001 49.0000000000
evaluations raw_y
1 53.0000000000
9 56.0000000000
26 61.0000000000
205 62.0000000000
268 64.0000000000
1540 65.0000000000
1588 66.0000000000
4786 69.0000000000
61964 71.0000000000
100001 55.0000000000
evaluations raw_y
1 46.0000000000
2 53.0000000000
6 56.0000000000
9 57.0000000000
13 63.0000000000
558 65.0000000000
1195 66.0000000000
5666 67.0000000000
8936 69.0000000000
18060 70.0000000000
70800 71.0000000000
100001 44.0000000000
evaluations raw_y
1 48.0000000000
2 49.0000000000
4 51.0000000000
9 53.0000000000
10 55.0000000000
20 60.0000000000
139 63.0000000000
472 64.0000000000
1128 65.0000000000
2418 68.0000000000
3002 70.0000000000
100001 51.0000000000
