evaluations raw_y
1 -1197.0000000000
2 -1158.0000000000
3 -1129.0000000000
5 -1071.0000000000
9 -1032.0000000000
12 -993.0000000000
23 -954.0000000000
24 -944.0000000000
25 -905.0000000000
27 -866.0000000000
28 -827.0000000000
29 -788.0000000000
39 -720.0000000000
41 -710.0000000000
51 -671.0000000000
56 -613.0000000000
61 -584.0000000000
64 -555.0000000000
71 -545.0000000000
74 -496.0000000000
76 -457.0000000000
80 -447.0000000000
94 -408.0000000000
98 -379.0000000000
100 -340.0000000000
101 -292.0000000000
109 -273.0000000000
140 -254.0000000000
151 -235.0000000000
160 -206.0000000000
165 -177.0000000000
166 -167.0000000000
188 -148.0000000000
196 -139.0000000000
206 -119.0000000000
255 -90.0000000000
262 -81.0000000000
274 -52.0000000000
275 -33.0000000000
286 -32.0000000000
302 -31.0000000000
385 -12.0000000000
405 -3.0000000000
408 -2.0000000000
540 7.0000000000
630 8.0000000000
63992 9.0000000000
100001 9.0000000000
evaluations raw_y
1 -1605.0000000000
2 -1566.0000000000
4 -1537.0000000000
6 -1498.0000000000
12 -1420.0000000000
14 -1342.0000000000
16 -1303.0000000000
19 -1264.0000000000
24 -1186.0000000000
26 -1147.0000000000
32 -1108.0000000000
46 -1069.0000000000
47 -1040.0000000000
57 -1001.0000000000
59 -962.0000000000
77 -923.0000000000
82 -884.0000000000
91 -845.0000000000
99 -816.0000000000
102 -777.0000000000
104 -748.0000000000
108 -738.0000000000
115 -709.0000000000
129 -699.0000000000
134 -670.0000000000
136 -631.0000000000
138 -592.0000000000
139 -563.0000000000
162 -534.0000000000
180 -495.0000000000
188 -456.0000000000
193 -427.0000000000
194 -398.0000000000
197 -369.0000000000
209 -330.0000000000
217 -301.0000000000
227 -272.0000000000
248 -263.0000000000
261 -244.0000000000
273 -205.0000000000
275 -186.0000000000
276 -166.0000000000
277 -137.0000000000
286 -127.0000000000
291 -108.0000000000
325 -99.0000000000
406 -80.0000000000
422 -70.0000000000
444 -50.0000000000
510 -41.0000000000
