evaluations raw_y
1 -1322.0000000000
12 -1157.0000000000
13 -1117.0000000000
34 -1099.0000000000
72 -1059.0000000000
133 -855.0000000000
2868 -777.0000000000
5318 -769.0000000000
11662 -729.0000000000
28992 -700.0000000000
30815 -699.0000000000
65457 -689.0000000000
88844 -680.0000000000
100001 -1517.0000000000
evaluations raw_y
1 -1410.0000000000
2 -1371.0000000000
4 -1196.0000000000
5 -1186.0000000000
20 -1138.0000000000
64 -1118.0000000000
68 -952.0000000000
372 -903.0000000000
528 -660.0000000000
38115 -641.0000000000
56776 -612.0000000000
82656 -593.0000000000
100001 -1118.0000000000
evaluations raw_y
1 -1361.0000000000
2 -1254.0000000000
3 -1108.0000000000
5 -1089.0000000000
6 -1069.0000000000
35 -1050.0000000000
36 -864.0000000000
761 -698.0000000000
41719 -680.0000000000
66942 -622.0000000000
100001 -1099.0000000000
evaluations raw_y
1 -1498.0000000000
2 -1284.0000000000
7 -1215.0000000000
13 -1030.0000000000
29 -981.0000000000
42 -758.0000000000
1900 -690.0000000000
10746 -651.0000000000
100001 -1196.0000000000
evaluations raw_y
1 -1235.0000000000
2 -1157.0000000000
38 -1128.0000000000
45 -1050.0000000000
64 -923.0000000000
287 -894.0000000000
613 -875.0000000000
843 -825.0000000000
2482 -738.0000000000
39175 -699.0000000000
69688 -660.0000000000
77137 -641.0000000000
100001 -1614.0000000000
evaluations raw_y
1 -1478.0000000000
3 -1400.0000000000
4 -1332.0000000000
8 -1186.0000000000
23 -1127.0000000000
41 -1079.0000000000
57 -1059.0000000000
73 -971.0000000000
96 -943.0000000000
163 -807.0000000000
601 -806.0000000000
1049 -787.0000000000
4969 -767.0000000000
21624 -651.0000000000
25163 -631.0000000000
100001 -1654.0000000000
evaluations raw_y
1 -1429.0000000000
3 -1088.0000000000
13 -972.0000000000
177 -904.0000000000
271 -894.0000000000
599 -806.0000000000
705 -728.0000000000
3644 -661.0000000000
52506 -543.0000000000
100001 -1322.0000000000
evaluations raw_y
1 -1264.0000000000
2 -1196.0000000000
4 -1186.0000000000
6 -1157.0000000000
9 -1079.0000000000
19 -1002.0000000000
143 -904.0000000000
299 -680.0000000000
8300 -661.0000000000
100001 -1244.0000000000
evaluations raw_y
1 -1294.0000000000
3 -1264.0000000000
5 -1215.0000000000
13 -1196.0000000000
18 -1176.0000000000
36 -1137.0000000000
47 -942.0000000000
144 -904.0000000000
225 -826.0000000000
2082 -816.0000000000
2239 -807.0000000000
3235 -728.0000000000
14640 -718.0000000000
49513 -651.0000000000
100001 -1644.0000000000
evaluations raw_y
1 -1537.0000000000
2 -1274.0000000000
10 -1186.0000000000
13 -1128.0000000000
16 -1088.0000000000
21 -1079.0000000000
23 -1020.0000000000
64 -982.0000000000
88 -933.0000000000
119 -932.0000000000
328 -904.0000000000
1469 -855.0000000000
3806 -660.0000000000
100001 -1449.0000000000
