evaluations raw_y
1 -1380.0000000000
3 -1341.0000000000
4 -1302.0000000000
5 -1263.0000000000
6 -1224.0000000000
8 -1185.0000000000
9 -1146.0000000000
13 -1107.0000000000
15 -1068.0000000000
17 -1029.0000000000
18 -990.0000000000
19 -951.0000000000
22 -912.0000000000
23 -873.0000000000
25 -844.0000000000
26 -815.0000000000
27 -776.0000000000
30 -737.0000000000
32 -698.0000000000
36 -659.0000000000
38 -620.0000000000
41 -581.0000000000
58 -552.0000000000
62 -523.0000000000
69 -484.0000000000
70 -455.0000000000
73 -426.0000000000
81 -397.0000000000
82 -368.0000000000
85 -339.0000000000
92 -330.0000000000
98 -311.0000000000
102 -282.0000000000
107 -253.0000000000
116 -234.0000000000
128 -225.0000000000
129 -196.0000000000
137 -157.0000000000
143 -138.0000000000
155 -109.0000000000
158 -108.0000000000
170 -79.0000000000
190 -70.0000000000
198 -69.0000000000
212 -60.0000000000
221 -59.0000000000
230 -30.0000000000
236 -11.0000000000
258 8.0000000000
100001 -31.0000000000
evaluations raw_y
1 -1205.0000000000
2 -1166.0000000000
6 -1127.0000000000
8 -1088.0000000000
10 -1059.0000000000
13 -1030.0000000000
14 -1001.0000000000
18 -962.0000000000
21 -923.0000000000
23 -884.0000000000
26 -845.0000000000
33 -806.0000000000
39 -767.0000000000
40 -748.0000000000
41 -719.0000000000
42 -680.0000000000
46 -641.0000000000
47 -602.0000000000
49 -583.0000000000
53 -554.0000000000
66 -515.0000000000
75 -486.0000000000
81 -447.0000000000
85 -418.0000000000
94 -389.0000000000
96 -360.0000000000
97 -321.0000000000
108 -282.0000000000
110 -253.0000000000
112 -214.0000000000
122 -205.0000000000
136 -176.0000000000
160 -137.0000000000
177 -128.0000000000
181 -99.0000000000
213 -70.0000000000
222 -61.0000000000
250 -32.0000000000
254 -23.0000000000
260 -22.0000000000
291 -13.0000000000
393 -4.0000000000
422 -3.0000000000
440 6.0000000000
444 7.0000000000
100001 -22.0000000000
evaluations raw_y
1 -1303.0000000000
2 -1264.0000000000
3 -1225.0000000000
7 -1196.0000000000
8 -1157.0000000000
9 -1118.0000000000
11 -1079.0000000000
12 -1040.0000000000
14 -1001.0000000000
21 -972.0000000000
28 -933.0000000000
31 -894.0000000000
32 -865.0000000000
33 -826.0000000000
34 -787.0000000000
38 -748.0000000000
41 -709.0000000000
44 -670.0000000000
50 -631.0000000000
51 -592.0000000000
59 -563.0000000000
61 -534.0000000000
72 -505.0000000000
75 -466.0000000000
78 -437.0000000000
82 -398.0000000000
90 -359.0000000000
96 -330.0000000000
97 -301.0000000000
115 -282.0000000000
122 -243.0000000000
123 -214.0000000000
129 -185.0000000000
136 -156.0000000000
145 -117.0000000000
146 -108.0000000000
153 -79.0000000000
159 -60.0000000000
172 -31.0000000000
192 -12.0000000000
215 -11.0000000000
221 -2.0000000000
263 7.0000000000
329 8.0000000000
472 9.0000000000
100001 -10.0000000000
evaluations raw_y
1 -1362.0000000000
3 -1323.0000000000
4 -1284.0000000000
7 -1245.0000000000
10 -1216.0000000000
11 -1177.0000000000
12 -1138.0000000000
14 -1099.0000000000
16 -1060.0000000000
17 -1021.0000000000
18 -982.0000000000
20 -943.0000000000
26 -904.0000000000
29 -865.0000000000
30 -836.0000000000
31 -797.0000000000
39 -758.0000000000
44 -729.0000000000
47 -690.0000000000
49 -651.0000000000
53 -622.0000000000
60 -583.0000000000
61 -554.0000000000
62 -525.0000000000
66 -486.0000000000
68 -457.0000000000
70 -418.0000000000
77 -379.0000000000
79 -340.0000000000
81 -311.0000000000
82 -292.0000000000
88 -253.0000000000
93 -214.0000000000
102 -205.0000000000
105 -166.0000000000
120 -137.0000000000
132 -136.0000000000
136 -117.0000000000
145 -88.0000000000
166 -69.0000000000
168 -40.0000000000
172 -21.0000000000
174 -20.0000000000
201 -11.0000000000
203 -10.0000000000
222 9.0000000000
100001 -30.0000000000
evaluations raw_y
1 -1459.0000000000
4 -1420.0000000000
5 -1381.0000000000
7 -1352.0000000000
12 -1313.0000000000
13 -1284.0000000000
14 -1245.0000000000
15 -1206.0000000000
21 -1167.0000000000
24 -1128.0000000000
25 -1089.0000000000
26 -1050.0000000000
27 -1011.0000000000
28 -982.0000000000
31 -953.0000000000
32 -914.0000000000
34 -885.0000000000
35 -846.0000000000
36 -807.0000000000
40 -768.0000000000
41 -739.0000000000
44 -710.0000000000
45 -671.0000000000
50 -632.0000000000
52 -593.0000000000
56 -554.0000000000
61 -525.0000000000
63 -486.0000000000
64 -457.0000000000
65 -438.0000000000
67 -429.0000000000
74 -390.0000000000
78 -351.0000000000
79 -322.0000000000
81 -293.0000000000
86 -264.0000000000
96 -235.0000000000
97 -216.0000000000
101 -177.0000000000
110 -148.0000000000
111 -129.0000000000
114 -100.0000000000
127 -81.0000000000
128 -72.0000000000
131 -71.0000000000
145 -62.0000000000
184 -43.0000000000
185 -42.0000000000
193 -23.0000000000
225 -22.0000000000
255 -3.0000000000
287 -2.0000000000
372 7.0000000000
569 8.0000000000
100001 -11.0000000000
evaluations raw_y
1 -1254.0000000000
2 -1215.0000000000
3 -1186.0000000000
4 -1147.0000000000
6 -1108.0000000000
7 -1069.0000000000
8 -1040.0000000000
10 -1001.0000000000
11 -962.0000000000
14 -923.0000000000
15 -884.0000000000
18 -845.0000000000
20 -816.0000000000
22 -777.0000000000
24 -748.0000000000
27 -709.0000000000
28 -690.0000000000
36 -661.0000000000
39 -622.0000000000
42 -593.0000000000
45 -564.0000000000
48 -525.0000000000
49 -496.0000000000
50 -457.0000000000
52 -428.0000000000
65 -389.0000000000
68 -360.0000000000
70 -321.0000000000
73 -292.0000000000
77 -253.0000000000
85 -224.0000000000
91 -185.0000000000
112 -166.0000000000
119 -127.0000000000
133 -98.0000000000
153 -89.0000000000
159 -80.0000000000
161 -61.0000000000
162 -42.0000000000
196 -33.0000000000
215 -24.0000000000
224 -23.0000000000
227 -14.0000000000
268 -13.0000000000
272 6.0000000000
282 7.0000000000
286 8.0000000000
100001 -11.0000000000
evaluations raw_y
1 -1488.0000000000
5 -1449.0000000000
6 -1410.0000000000
7 -1371.0000000000
8 -1332.0000000000
11 -1293.0000000000
12 -1254.0000000000
14 -1215.0000000000
17 -1186.0000000000
19 -1157.0000000000
23 -1128.0000000000
28 -1089.0000000000
30 -1050.0000000000
32 -1011.0000000000
37 -972.0000000000
38 -943.0000000000
40 -904.0000000000
43 -865.0000000000
44 -826.0000000000
47 -787.0000000000
48 -748.0000000000
50 -719.0000000000
54 -680.0000000000
55 -641.0000000000
57 -602.0000000000
60 -573.0000000000
61 -534.0000000000
63 -505.0000000000
67 -466.0000000000
68 -447.0000000000
71 -408.0000000000
79 -379.0000000000
87 -340.0000000000
93 -301.0000000000
99 -282.0000000000
110 -263.0000000000
114 -234.0000000000
117 -215.0000000000
123 -196.0000000000
131 -167.0000000000
132 -148.0000000000
136 -129.0000000000
138 -110.0000000000
140 -91.0000000000
147 -72.0000000000
164 -71.0000000000
167 -62.0000000000
175 -43.0000000000
179 -34.0000000000
184 -33.0000000000
193 -14.0000000000
201 -5.0000000000
204 -4.0000000000
238 -3.0000000000
250 6.0000000000
251 7.0000000000
278 8.0000000000
100001 -21.0000000000
evaluations raw_y
1 -1527.0000000000
3 -1488.0000000000
6 -1459.0000000000
9 -1430.0000000000
11 -1391.0000000000
16 -1352.0000000000
18 -1323.0000000000
20 -1284.0000000000
21 -1245.0000000000
25 -1206.0000000000
28 -1167.0000000000
29 -1128.0000000000
30 -1089.0000000000
33 -1050.0000000000
34 -1011.0000000000
39 -972.0000000000
43 -933.0000000000
45 -894.0000000000
47 -855.0000000000
50 -816.0000000000
54 -777.0000000000
55 -738.0000000000
56 -699.0000000000
57 -660.0000000000
61 -621.0000000000
64 -582.0000000000
70 -543.0000000000
71 -514.0000000000
74 -475.0000000000
76 -446.0000000000
78 -417.0000000000
79 -378.0000000000
85 -349.0000000000
95 -320.0000000000
99 -291.0000000000
101 -262.0000000000
102 -233.0000000000
109 -204.0000000000
112 -165.0000000000
115 -146.0000000000
118 -137.0000000000
121 -128.0000000000
129 -109.0000000000
144 -100.0000000000
145 -71.0000000000
147 -52.0000000000
151 -33.0000000000
152 -24.0000000000
167 -23.0000000000
174 -22.0000000000
201 -21.0000000000
206 -12.0000000000
213 7.0000000000
221 8.0000000000
368 9.0000000000
100001 -20.0000000000
evaluations raw_y
1 -1352.0000000000
5 -1313.0000000000
12 -1274.0000000000
13 -1235.0000000000
16 -1206.0000000000
20 -1167.0000000000
21 -1128.0000000000
22 -1099.0000000000
24 -1060.0000000000
26 -1021.0000000000
27 -982.0000000000
29 -943.0000000000
31 -904.0000000000
38 -865.0000000000
39 -826.0000000000
40 -787.0000000000
41 -748.0000000000
42 -719.0000000000
43 -690.0000000000
46 -651.0000000000
47 -612.0000000000
48 -573.0000000000
50 -534.0000000000
53 -505.0000000000
55 -486.0000000000
59 -447.0000000000
67 -408.0000000000
68 -379.0000000000
71 -360.0000000000
78 -341.0000000000
87 -302.0000000000
92 -263.0000000000
93 -224.0000000000
104 -215.0000000000
105 -196.0000000000
117 -177.0000000000
121 -158.0000000000
122 -139.0000000000
140 -130.0000000000
153 -129.0000000000
154 -120.0000000000
167 -101.0000000000
171 -82.0000000000
176 -81.0000000000
191 -62.0000000000
195 -43.0000000000
200 -42.0000000000
214 -33.0000000000
255 -32.0000000000
265 -23.0000000000
273 -4.0000000000
277 -3.0000000000
313 -2.0000000000
385 7.0000000000
387 8.0000000000
487 9.0000000000
100001 -10.0000000000
evaluations raw_y
1 -1351.0000000000
2 -1312.0000000000
5 -1273.0000000000
8 -1234.0000000000
9 -1205.0000000000
10 -1176.0000000000
11 -1137.0000000000
13 -1098.0000000000
15 -1059.0000000000
17 -1020.0000000000
18 -991.0000000000
20 -952.0000000000
23 -913.0000000000
24 -874.0000000000
26 -835.0000000000
28 -796.0000000000
30 -757.0000000000
31 -718.0000000000
33 -689.0000000000
36 -650.0000000000
37 -611.0000000000
38 -582.0000000000
39 -543.0000000000
47 -514.0000000000
51 -475.0000000000
52 -436.0000000000
56 -407.0000000000
63 -368.0000000000
72 -339.0000000000
76 -310.0000000000
77 -301.0000000000
83 -272.0000000000
91 -243.0000000000
95 -214.0000000000
103 -185.0000000000
143 -166.0000000000
149 -147.0000000000
157 -138.0000000000
158 -119.0000000000
163 -100.0000000000
164 -99.0000000000
165 -80.0000000000
182 -61.0000000000
185 -42.0000000000
190 -23.0000000000
212 -22.0000000000
226 -3.0000000000
227 -2.0000000000
241 7.0000000000
100001 -32.0000000000
