evaluations raw_y
1 7.0000000000
3 8.6000000000
25 9.0000000000
72 9.6000000000
119 9.8000000000
1263 10.4000000000
4194 10.6000000000
18083 11.2000000000
67180 11.8000000000
100001 6.6000000000
evaluations raw_y
1 5.6000000000
2 7.8000000000
7 8.0000000000
12 8.4000000000
56 8.6000000000
173 9.0000000000
191 9.6000000000
395 9.8000000000
692 10.0000000000
1785 10.6000000000
2264 10.8000000000
27129 11.2000000000
53260 11.6000000000
53437 12.4000000000
100001 6.8000000000
evaluations raw_y
1 6.4000000000
2 7.4000000000
3 9.0000000000
19 10.0000000000
1357 10.2000000000
1611 10.8000000000
8672 11.0000000000
13470 11.6000000000
100001 6.8000000000
evaluations raw_y
1 7.0000000000
2 8.6000000000
7 9.6000000000
293 9.8000000000
409 10.4000000000
3350 11.2000000000
10131 12.0000000000
100001 6.2000000000
evaluations raw_y
1 7.0000000000
2 8.0000000000
7 8.4000000000
12 9.4000000000
162 10.2000000000
175 10.4000000000
4729 10.6000000000
11227 10.8000000000
25508 11.4000000000
68025 11.8000000000
100001 6.4000000000
evaluations raw_y
1 6.2000000000
3 7.8000000000
7 8.0000000000
18 9.4000000000
210 9.6000000000
921 9.8000000000
1036 10.2000000000
1664 10.8000000000
6430 11.0000000000
20341 11.4000000000
100001 6.8000000000
evaluations raw_y
1 5.6000000000
3 8.2000000000
18 9.2000000000
50 9.4000000000
68 9.6000000000
589 10.0000000000
4974 10.2000000000
5400 10.6000000000
5527 10.8000000000
7196 11.0000000000
27586 11.2000000000
45268 12.2000000000
100001 7.6000000000
evaluations raw_y
1 7.0000000000
7 7.6000000000
13 8.2000000000
35 8.6000000000
47 9.0000000000
122 9.6000000000
559 10.6000000000
2596 11.0000000000
3549 11.6000000000
100001 7.8000000000
evaluations raw_y
1 6.8000000000
3 7.8000000000
21 8.4000000000
52 8.6000000000
60 8.8000000000
135 9.0000000000
148 9.4000000000
293 9.6000000000
316 10.4000000000
1447 10.6000000000
4788 10.8000000000
12715 11.2000000000
13622 11.6000000000
100001 7.4000000000
evaluations raw_y
1 7.8000000000
13 8.0000000000
22 9.0000000000
205 9.4000000000
239 9.6000000000
750 10.8000000000
8038 11.2000000000
30641 12.0000000000
100001 6.8000000000
