evaluations raw_y
1 -0.5219461203
3 -0.5211361156
5 -0.5185676274
8 -0.5049249684
14 -0.4995019261
17 -0.4948757313
27 -0.4929040803
28 -0.4862137659
32 -0.4797981442
34 -0.4752355663
43 -0.4642834758
44 -0.4553946670
46 -0.4533316341
52 -0.4516827008
56 -0.4428035064
57 -0.4378502439
62 -0.4345459912
69 -0.4333054575
92 -0.4158622003
96 -0.4091638371
108 -0.3973716823
124 -0.3898337806
125 -0.3877112481
127 -0.3828997166
134 -0.3821227625
139 -0.3791563359
141 -0.3784602851
154 -0.3771254188
157 -0.3768416246
168 -0.3733641333
171 -0.3686714097
174 -0.3670224764
202 -0.3643683464
218 -0.3606042534
220 -0.3557593988
231 -0.3514376672
245 -0.3502452371
262 -0.3490902288
266 -0.3429255671
299 -0.3394460126
307 -0.3366564956
389 -0.3352166906
401 -0.3351374044
426 -0.3324711210
491 -0.3301633706
508 -0.3280408381
532 -0.3256805079
536 -0.3235385263
551 -0.3162552417
572 -0.3159236676
589 -0.3143037562
645 -0.3071859003
700 -0.3050843481
1072 -0.3043882973
1261 -0.3037717151
4206 -0.3001752281
4263 -0.2956613405
4671 -0.2941460802
39613 -0.2928200823
100001 -0.2928200823
evaluations raw_y
1 -0.5124401898
3 -0.5101727012
5 -0.5025339524
10 -0.4932511235
13 -0.4773585192
14 -0.4623120728
16 -0.4500813018
17 -0.4397801456
26 -0.4290174805
27 -0.4255771913
32 -0.4188788281
50 -0.4148257471
54 -0.4142960043
62 -0.4135758701
69 -0.4114560094
75 -0.4110551954
77 -0.4029148585
87 -0.3989675512
93 -0.3971645988
102 -0.3958440362
106 -0.3921813536
109 -0.3898187328
113 -0.3849437264
131 -0.3832458362
133 -0.3799956154
139 -0.3722824313
150 -0.3722740462
156 -0.3697304358
204 -0.3684062321
221 -0.3670592913
225 -0.3667088490
230 -0.3654557454
301 -0.3651896055
349 -0.3601783816
380 -0.3596982616
415 -0.3578620225
439 -0.3568073756
444 -0.3443654687
480 -0.3363429221
543 -0.3306936604
606 -0.3301366076
628 -0.3286709982
647 -0.3272000527
648 -0.3271916676
677 -0.3255161793
679 -0.3243237492
680 -0.3234954376
768 -0.3201700802
772 -0.3194740294
952 -0.3186721884
996 -0.3174418982
1200 -0.3170272528
4547 -0.3157012549
11015 -0.3155834474
13888 -0.3139948460
14091 -0.3138684405
14143 -0.3085488047
21546 -0.3085113656
22007 -0.3050710764
30265 -0.3042851540
35877 -0.3027698937
54538 -0.3009312088
56242 -0.2974069167
100001 -0.3039321869
evaluations raw_y
1 -0.5214925746
4 -0.5160643869
5 -0.5122448295
8 -0.5048678122
12 -0.5002070970
14 -0.4920330700
20 -0.4848180209
25 -0.4842014386
30 -0.4756516952
41 -0.4750746623
44 -0.4677060532
45 -0.4605028983
50 -0.4585952412
51 -0.4544774309
54 -0.4466218630
55 -0.4451478685
61 -0.4424937385
69 -0.4345435133
73 -0.4243067207
77 -0.4212140136
80 -0.4136930399
88 -0.4105101113
114 -0.4040584800
115 -0.3991576439
121 -0.3923138369
137 -0.3921069273
162 -0.3897991769
165 -0.3896599174
171 -0.3873989835
179 -0.3856569577
195 -0.3844164241
200 -0.3799109216
202 -0.3786806315
204 -0.3784144916
205 -0.3721257931
232 -0.3675163782
240 -0.3612283259
241 -0.3573564647
245 -0.3526615371
246 -0.3491987784
266 -0.3428657086
279 -0.3416049126
282 -0.3415965275
345 -0.3399916481
348 -0.3397255082
350 -0.3373651780
351 -0.3324111895
380 -0.3320632324
397 -0.3303669063
404 -0.3253556824
408 -0.3168416600
423 -0.3163615400
514 -0.3133476255
575 -0.3121551954
629 -0.3115386131
637 -0.3071734274
815 -0.3017273861
22605 -0.2982030940
26467 -0.2935538622
100001 -0.2935538622
evaluations raw_y
1 -0.5190581364
3 -0.5101160069
4 -0.5075275230
14 -0.4989003170
15 -0.4988432542
18 -0.4911640621
21 -0.4864239094
22 -0.4789887446
23 -0.4733592982
24 -0.4627108665
25 -0.4577870603
26 -0.4510020345
39 -0.4505623052
50 -0.4483571908
52 -0.4325836996
54 -0.4307807472
55 -0.4290785154
69 -0.4263267512
79 -0.4185223184
85 -0.4152148976
94 -0.4148002522
98 -0.4122317641
103 -0.4057801327
117 -0.4016969133
131 -0.3985981728
134 -0.3948388118
143 -0.3891407727
147 -0.3869987911
157 -0.3820749850
172 -0.3776481647
174 -0.3746551831
176 -0.3700603056
178 -0.3688678754
182 -0.3607907768
189 -0.3596415283
214 -0.3590249461
252 -0.3583320947
265 -0.3515041719
307 -0.3491964215
374 -0.3479356255
380 -0.3427588006
381 -0.3388296247
382 -0.3371406833
496 -0.3356191449
511 -0.3346181046
538 -0.3342034592
564 -0.3307091613
594 -0.3305418339
621 -0.3244467867
659 -0.3231752784
685 -0.3225217133
704 -0.3220415933
707 -0.3213005759
826 -0.3205944334
843 -0.3176759021
955 -0.3129025146
1003 -0.3075105501
1073 -0.3072722402
1446 -0.3069406662
1685 -0.3062871011
1764 -0.3044841487
7284 -0.3041670556
7285 -0.3040406501
7380 -0.3027691418
7410 -0.3022228935
7511 -0.2974495060
11885 -0.2928002742
100001 -0.3021729911
evaluations raw_y
1 -0.4777002909
7 -0.4737916264
13 -0.4711748939
14 -0.4651826851
17 -0.4596569730
26 -0.4583897120
37 -0.4557271114
41 -0.4451008211
51 -0.4439083909
56 -0.4399585024
59 -0.4227433053
65 -0.4227349202
66 -0.4194772068
70 -0.4182366732
