evaluations raw_y
1 -0.4929478251
6 -0.4746218660
51 -0.4703587569
53 -0.4555424292
55 -0.4497822521
375 -0.4223905795
6658 -0.4213029462
6710 -0.4164218716
21954 -0.4050757085
55330 -0.4011344105
100001 -0.5146746057
evaluations raw_y
1 -0.5414827442
2 -0.4965785244
4 -0.4888213839
19 -0.4783076422
41 -0.4746276001
49 -0.4704776505
62 -0.4650339676
95 -0.4436527686
219 -0.4360787162
1341 -0.4354046828
1402 -0.4328916619
2795 -0.4250494527
3202 -0.4229659933
4144 -0.4217006608
12018 -0.4190291296
34361 -0.4139362758
59508 -0.4084439311
64964 -0.4046466396
89395 -0.3952414695
100001 -0.5034216491
evaluations raw_y
1 -0.5129566389
3 -0.5076501862
5 -0.5053384336
7 -0.4924403690
10 -0.4571134621
31 -0.4494724627
132 -0.4412741003
197 -0.4315756161
1697 -0.4214326838
6930 -0.4199990357
9433 -0.4047614419
100001 -0.5153198763
evaluations raw_y
1 -0.4850472183
2 -0.4816218647
3 -0.4802938288
10 -0.4694628016
36 -0.4456489113
165 -0.4378464043
174 -0.4264858633
1718 -0.4258742103
3267 -0.4254710781
5174 -0.4241187277
6580 -0.4225415328
8702 -0.4200308336
45348 -0.4181674060
47955 -0.4137377876
54242 -0.4111056051
100001 -0.5111750440
evaluations raw_y
1 -0.4828538959
6 -0.4523623904
10 -0.4353116592
1235 -0.4334814061
1307 -0.4295277386
1321 -0.4285352975
3792 -0.4239109804
18421 -0.4211780698
18938 -0.4181905425
28443 -0.4181182330
32618 -0.4148201283
60382 -0.4009299031
100001 -0.5250549913
evaluations raw_y
1 -0.5019758816
5 -0.4698610842
17 -0.4633497034
123 -0.4608738782
233 -0.4492626182
944 -0.4428301053
1072 -0.4399341978
1159 -0.4388414915
3151 -0.4345104318
3408 -0.4259164839
12885 -0.4244714864
16039 -0.4231147129
20759 -0.4199518756
39716 -0.4155676702
96254 -0.4145713370
100001 -0.5213433867
evaluations raw_y
1 -0.5205043132
2 -0.4971650744
7 -0.4775962476
19 -0.4682264179
20 -0.4581284131
182 -0.4356029452
1180 -0.4202991507
2278 -0.4186757592
6971 -0.4102768070
17923 -0.4091014777
58440 -0.4079809637
79590 -0.3988468261
100001 -0.4857916904
evaluations raw_y
1 -0.5147768720
3 -0.4881645818
16 -0.4613593794
62 -0.4112570190
21138 -0.4108101326
30329 -0.4047926752
44370 -0.4047192626
100001 -0.5479818748
evaluations raw_y
1 -0.5045712998
2 -0.5007426527
5 -0.4915739831
6 -0.4711805397
9 -0.4515778425
156 -0.4508377418
267 -0.4498064863
318 -0.4426515912
557 -0.4362283502
2112 -0.4290061163
3658 -0.4269943081
12018 -0.4207692411
16566 -0.4145243480
39109 -0.3965351292
100001 -0.5209980515
evaluations raw_y
1 -0.5202496512
4 -0.4710537648
67 -0.4385088790
197 -0.4362836230
277 -0.4355982391
681 -0.4352354493
707 -0.4338855320
1015 -0.4289357921
5475 -0.4274887538
7984 -0.4262103000
11691 -0.4240900159
21624 -0.4197694454
46288 -0.4183825478
57631 -0.4086668983
100001 -0.5044786773
