evaluations raw_y
1 -0.4963277137
2 -0.4922444942
4 -0.4857192240
10 -0.4810870244
12 -0.4788819100
13 -0.4750032805
14 -0.4737317721
16 -0.4601121466
20 -0.4554816645
21 -0.4416800855
24 -0.4415421831
25 -0.4350087799
29 -0.4327293315
30 -0.4248916688
33 -0.4222375388
34 -0.4198772086
46 -0.4134615869
49 -0.4117506914
51 -0.4043780503
63 -0.4039409655
74 -0.3972426023
78 -0.3937798436
84 -0.3894278624
89 -0.3882354323
93 -0.3820707705
98 -0.3817590956
112 -0.3751068703
118 -0.3735853319
126 -0.3674902847
135 -0.3662371811
144 -0.3632707544
153 -0.3619124411
157 -0.3592719152
168 -0.3575005362
181 -0.3570204162
182 -0.3462027160
192 -0.3424812524
195 -0.3361932001
204 -0.3321401191
227 -0.3298323686
234 -0.3298239835
235 -0.3290829661
250 -0.3215619924
295 -0.3215049296
391 -0.3171397439
545 -0.3094605518
100001 -0.3180877577
evaluations raw_y
1 -0.5075120508
2 -0.5028815688
4 -0.4931683118
5 -0.4908413343
8 -0.4800786692
9 -0.4776408165
12 -0.4707021691
15 -0.4661882815
16 -0.4660618761
17 -0.4578895980
20 -0.4566490643
24 -0.4507516246
33 -0.4468880168
39 -0.4421938777
44 -0.4418623037
47 -0.4338658707
48 -0.4239475722
50 -0.4182393430
51 -0.4141561236
54 -0.4063086117
55 -0.4058939663
67 -0.4054231391
70 -0.4000060177
73 -0.3927855712
74 -0.3921273166
84 -0.3895652415
88 -0.3872574910
89 -0.3819378552
99 -0.3805580621
101 -0.3787551097
102 -0.3744578173
110 -0.3670851762
117 -0.3664685940
118 -0.3600169626
125 -0.3594470787
139 -0.3587834733
140 -0.3584355163
146 -0.3487150795
158 -0.3479132385
160 -0.3472789939
161 -0.3429572623
170 -0.3402909790
187 -0.3354159726
207 -0.3324229909
212 -0.3318932482
233 -0.3292391182
239 -0.3242851296
292 -0.3228111351
307 -0.3221446587
339 -0.3176003262
340 -0.3172762879
377 -0.3162752476
394 -0.3155129498
411 -0.3066337554
428 -0.3056247436
460 -0.3043944534
707 -0.3026230744
100001 -0.3049308248
evaluations raw_y
1 -0.4902715948
4 -0.4870886662
8 -0.4790922333
10 -0.4714130411
12 -0.4688509659
14 -0.4662624821
16 -0.4562327658
20 -0.4484199479
21 -0.4453722830
25 -0.4354447295
31 -0.4346389800
32 -0.4308485480
34 -0.4300704564
43 -0.4299031291
47 -0.4272626032
49 -0.4269726648
51 -0.4216134690
63 -0.4193057186
64 -0.4176567853
66 -0.4165793781
68 -0.4151053836
70 -0.4097064416
75 -0.3991834431
79 -0.3929792843
81 -0.3869337547
85 -0.3835064701
94 -0.3826781585
101 -0.3803987101
105 -0.3777445801
110 -0.3772644601
121 -0.3750065302
141 -0.3674855565
149 -0.3642353357
151 -0.3593038371
166 -0.3514896580
174 -0.3465356694
184 -0.3456076745
213 -0.3434656929
232 -0.3391137117
233 -0.3387657547
293 -0.3379032437
296 -0.3276664512
313 -0.3266574393
350 -0.3203693870
357 -0.3169290978
512 -0.3078575522
518 -0.3066272621
616 -0.3060106798
694 -0.2988928239
100001 -0.3145182775
evaluations raw_y
1 -0.5146648743
3 -0.5061508519
4 -0.5031844252
7 -0.5008240950
9 -0.4984600077
11 -0.4905403275
13 -0.4897622359
17 -0.4792735538
24 -0.4725751906
29 -0.4656365432
31 -0.4579573511
35 -0.4562751261
36 -0.4550625815
37 -0.4503689148
38 -0.4491283812
41 -0.4468206307
49 -0.4429570229
52 -0.4425172937
60 -0.4375633051
64 -0.4363017490
65 -0.4245095941
67 -0.4238596066
68 -0.4178812020
72 -0.4177138746
73 -0.4065680857
76 -0.3963909711
89 -0.3963825860
99 -0.3909836440
111 -0.3867772995
113 -0.3814181037
124 -0.3761092278
144 -0.3754926455
156 -0.3720151541
157 -0.3702927235
181 -0.3676385935
186 -0.3673145552
212 -0.3600647463
276 -0.3539696990
285 -0.3476816468
292 -0.3379612099
299 -0.3371989122
311 -0.3367187922
383 -0.3359777748
399 -0.3281649569
100001 -0.3311487564
evaluations raw_y
1 -0.5176789500
4 -0.5150126667
6 -0.5137518706
10 -0.5091424557
12 -0.5068895920
16 -0.5021162045
17 -0.4934889986
18 -0.4846098042
19 -0.4805265848
23 -0.4699527466
24 -0.4673212163
25 -0.4594015361
26 -0.4574561449
27 -0.4551966854
28 -0.4528363552
30 -0.4468269809
31 -0.4414421022
35 -0.4376623551
37 -0.4375359497
41 -0.4324734224
42 -0.4303314408
47 -0.4293940551
53 -0.4283850433
55 -0.4165928884
57 -0.4153625983
58 -0.4153542131
61 -0.4124974809
68 -0.4116691693
69 -0.4070369698
72 -0.4017280938
74 -0.4016710310
76 -0.3943885485
79 -0.3886709113
80 -0.3871493729
84 -0.3793004381
85 -0.3788857927
89 -0.3751216997
95 -0.3728139493
98 -0.3720358577
99 -0.3679705928
104 -0.3645303036
106 -0.3639604197
110 -0.3565834023
113 -0.3553428687
115 -0.3545410277
120 -0.3376916289
123 -0.3305737730
149 -0.3252541372
153 -0.3207402496
164 -0.3189688706
175 -0.3183522883
222 -0.3159896674
356 -0.3138769165
364 -0.3124029220
379 -0.3044235865
100001 -0.3121027786
evaluations raw_y
1 -0.4679754648
2 -0.4676275078
5 -0.4486198878
6 -0.4386923344
8 -0.4300651284
12 -0.4254346464
15 -0.4219475888
17 -0.4181678417
19 -0.4133563103
21 -0.4126602594
30 -0.4104073958
38 -0.4082022814
40 -0.4061155506
48 -0.3988657416
60 -0.3956828130
68 -0.3908379583
75 -0.3867848773
77 -0.3777133317
95 -0.3727593431
97 -0.3654768606
98 -0.3597743764
101 -0.3572123012
113 -0.3523372949
115 -0.3513362545
125 -0.3451715928
140 -0.3438246520
150 -0.3415667221
162 -0.3360410101
170 -0.3293426468
184 -0.3275712678
187 -0.3262470641
189 -0.3221817992
199 -0.3214407819
235 -0.3214323967
245 -0.3143145408
265 -0.3138344208
427 -0.3125813172
100001 -0.3181070293
evaluations raw_y
1 -0.4758760831
4 -0.4741651876
6 -0.4738411493
8 -0.4723641241
9 -0.4654254768
12 -0.4612248501
14 -0.4537961135
15 -0.4535299736
16 -0.4490160860
17 -0.4470706948
18 -0.4466560494
20 -0.4466476643
22 -0.4459894097
29 -0.4458220824
31 -0.4435426340
47 -0.4355632985
48 -0.4326300559
50 -0.4220338421
57 -0.4219074367
60 -0.4193453615
73 -0.4104565527
81 -0.3978939761
100 -0.3890457495
101 -0.3877784886
105 -0.3854707381
111 -0.3849008542
120 -0.3813187761
121 -0.3804562651
126 -0.3667048559
130 -0.3663732819
136 -0.3650490782
138 -0.3589523312
139 -0.3564343514
141 -0.3484379184
143 -0.3461784588
145 -0.3389580124
