evaluations raw_y
1 0.0000000000
165 1.0000000000
172 3.0000000000
221 5.0000000000
249 6.0000000000
338 8.0000000000
438 10.0000000000
579 11.0000000000
887 12.0000000000
1005 15.0000000000
1045 16.0000000000
1129 17.0000000000
1172 18.0000000000
1191 19.0000000000
1399 21.0000000000
1454 26.0000000000
1510 27.0000000000
1571 28.0000000000
1768 29.0000000000
1814 32.0000000000
1864 35.0000000000
1914 36.0000000000
1957 38.0000000000
1973 39.0000000000
2135 41.0000000000
2148 42.0000000000
2198 46.0000000000
2430 51.0000000000
2441 52.0000000000
2530 53.0000000000
2531 55.0000000000
2666 59.0000000000
3018 60.0000000000
3086 63.0000000000
3341 66.0000000000
3974 67.0000000000
4319 68.0000000000
4917 70.0000000000
5325 71.0000000000
5407 72.0000000000
5755 75.0000000000
5997 76.0000000000
6273 79.0000000000
6538 81.0000000000
7135 84.0000000000
7364 86.0000000000
8295 88.0000000000
8487 89.0000000000
8729 91.0000000000
8881 92.0000000000
8919 94.0000000000
9039 96.0000000000
9226 97.0000000000
9436 99.0000000000
9719 100.0000000000
evaluations raw_y
1 0.0000000000
70 1.0000000000
85 2.0000000000
237 3.0000000000
400 5.0000000000
443 6.0000000000
487 7.0000000000
584 8.0000000000
633 9.0000000000
921 10.0000000000
1047 11.0000000000
1173 12.0000000000
1274 13.0000000000
1348 14.0000000000
1406 15.0000000000
1506 16.0000000000
1707 18.0000000000
1759 19.0000000000
1825 20.0000000000
1976 21.0000000000
2198 22.0000000000
2413 31.0000000000
2508 33.0000000000
2586 34.0000000000
2686 35.0000000000
2858 36.0000000000
2890 37.0000000000
2982 38.0000000000
3028 39.0000000000
3171 42.0000000000
3558 45.0000000000
3748 52.0000000000
3767 60.0000000000
3817 61.0000000000
3895 62.0000000000
4229 64.0000000000
4244 66.0000000000
4563 67.0000000000
4696 68.0000000000
4811 70.0000000000
4831 71.0000000000
4879 75.0000000000
4973 79.0000000000
5119 82.0000000000
5185 83.0000000000
5846 87.0000000000
6107 89.0000000000
6322 93.0000000000
7272 95.0000000000
7439 96.0000000000
7579 100.0000000000
evaluations raw_y
1 0.0000000000
142 1.0000000000
215 2.0000000000
216 3.0000000000
281 4.0000000000
291 5.0000000000
545 6.0000000000
673 7.0000000000
701 8.0000000000
737 9.0000000000
810 11.0000000000
836 12.0000000000
852 16.0000000000
971 20.0000000000
1054 21.0000000000
1178 22.0000000000
1234 26.0000000000
1311 27.0000000000
1387 28.0000000000
1436 29.0000000000
1513 31.0000000000
1785 34.0000000000
1958 35.0000000000
2070 36.0000000000
2078 37.0000000000
2245 40.0000000000
2446 41.0000000000
2787 43.0000000000
3067 44.0000000000
3102 47.0000000000
3142 49.0000000000
3253 51.0000000000
3380 52.0000000000
3628 54.0000000000
3676 56.0000000000
4173 57.0000000000
4507 58.0000000000
4560 59.0000000000
4669 60.0000000000
4900 61.0000000000
4917 62.0000000000
4960 66.0000000000
5061 68.0000000000
5573 71.0000000000
5678 72.0000000000
5782 74.0000000000
6168 75.0000000000
6275 78.0000000000
6279 79.0000000000
6470 80.0000000000
6479 81.0000000000
6668 82.0000000000
6711 85.0000000000
6733 86.0000000000
7216 87.0000000000
7557 88.0000000000
7780 90.0000000000
7974 92.0000000000
8098 93.0000000000
9297 94.0000000000
9607 98.0000000000
9695 100.0000000000
evaluations raw_y
1 1.0000000000
43 3.0000000000
142 8.0000000000
188 10.0000000000
304 11.0000000000
347 15.0000000000
492 19.0000000000
652 21.0000000000
1020 23.0000000000
1090 24.0000000000
1093 25.0000000000
1131 27.0000000000
1489 30.0000000000
1564 31.0000000000
1622 33.0000000000
1806 34.0000000000
2331 38.0000000000
2523 39.0000000000
2552 41.0000000000
2688 44.0000000000
2733 47.0000000000
2751 48.0000000000
2809 51.0000000000
3979 52.0000000000
4315 54.0000000000
4676 55.0000000000
4899 56.0000000000
4901 63.0000000000
4950 68.0000000000
5030 69.0000000000
5043 70.0000000000
5077 71.0000000000
5289 73.0000000000
5385 75.0000000000
5673 79.0000000000
5688 80.0000000000
5837 81.0000000000
6017 82.0000000000
6116 84.0000000000
6769 86.0000000000
7130 87.0000000000
7195 88.0000000000
7362 89.0000000000
7410 94.0000000000
7630 95.0000000000
8038 97.0000000000
8169 100.0000000000
evaluations raw_y
1 0.0000000000
30 1.0000000000
53 4.0000000000
170 8.0000000000
525 9.0000000000
614 10.0000000000
793 11.0000000000
808 13.0000000000
886 15.0000000000
1059 17.0000000000
1092 19.0000000000
1141 23.0000000000
1260 26.0000000000
1477 29.0000000000
1487 30.0000000000
1670 31.0000000000
1788 36.0000000000
1964 37.0000000000
2199 38.0000000000
2293 39.0000000000
2461 40.0000000000
2564 41.0000000000
2594 43.0000000000
2655 45.0000000000
2690 46.0000000000
2776 47.0000000000
2826 48.0000000000
3107 49.0000000000
3150 51.0000000000
3199 52.0000000000
3532 53.0000000000
3552 54.0000000000
4399 55.0000000000
4873 58.0000000000
5218 60.0000000000
5232 61.0000000000
5396 62.0000000000
5520 64.0000000000
5758 65.0000000000
6422 66.0000000000
6505 67.0000000000
6863 70.0000000000
6885 71.0000000000
6909 72.0000000000
6963 73.0000000000
7003 79.0000000000
7136 84.0000000000
7497 85.0000000000
7620 86.0000000000
7724 88.0000000000
7811 89.0000000000
8125 93.0000000000
8157 98.0000000000
8663 100.0000000000
evaluations raw_y
1 1.0000000000
193 3.0000000000
216 5.0000000000
325 6.0000000000
424 10.0000000000
456 11.0000000000
540 13.0000000000
666 14.0000000000
718 15.0000000000
857 16.0000000000
1031 19.0000000000
1179 21.0000000000
1215 24.0000000000
1270 25.0000000000
1311 26.0000000000
1576 27.0000000000
1675 31.0000000000
1709 32.0000000000
1713 33.0000000000
1845 36.0000000000
1969 37.0000000000
1981 38.0000000000
2086 39.0000000000
2476 44.0000000000
2549 47.0000000000
2665 48.0000000000
2683 51.0000000000
2708 52.0000000000
2770 53.0000000000
3164 54.0000000000
3584 55.0000000000
3613 56.0000000000
3692 60.0000000000
3820 61.0000000000
3880 62.0000000000
3918 66.0000000000
3965 68.0000000000
4042 69.0000000000
4372 72.0000000000
4523 74.0000000000
4573 75.0000000000
4636 76.0000000000
4673 77.0000000000
4792 78.0000000000
4902 79.0000000000
5157 81.0000000000
5175 82.0000000000
5194 83.0000000000
5461 90.0000000000
5518 95.0000000000
5578 96.0000000000
5728 97.0000000000
5731 98.0000000000
6236 99.0000000000
6259 100.0000000000
evaluations raw_y
1 2.0000000000
12 3.0000000000
204 5.0000000000
210 6.0000000000
296 8.0000000000
352 10.0000000000
372 11.0000000000
383 12.0000000000
553 14.0000000000
662 15.0000000000
756 17.0000000000
779 18.0000000000
959 22.0000000000
1007 24.0000000000
1187 25.0000000000
1327 26.0000000000
1344 27.0000000000
1385 29.0000000000
1406 30.0000000000
1796 31.0000000000
1851 34.0000000000
2089 35.0000000000
2160 36.0000000000
2361 37.0000000000
2436 38.0000000000
2540 39.0000000000
2611 41.0000000000
2634 42.0000000000
2659 45.0000000000
2742 46.0000000000
2817 47.0000000000
3462 49.0000000000
3473 51.0000000000
3526 53.0000000000
3551 54.0000000000
3594 57.0000000000
3740 58.0000000000
3773 60.0000000000
3925 61.0000000000
4010 64.0000000000
4042 65.0000000000
4062 67.0000000000
4111 70.0000000000
4273 73.0000000000
4433 75.0000000000
5285 77.0000000000
5388 79.0000000000
5485 80.0000000000
5567 81.0000000000
5609 82.0000000000
5639 83.0000000000
5866 84.0000000000
5990 85.0000000000
6484 88.0000000000
6628 89.0000000000
7464 90.0000000000
7578 91.0000000000
7723 92.0000000000
7763 99.0000000000
7845 100.0000000000
evaluations raw_y
1 1.0000000000
48 2.0000000000
340 3.0000000000
578 4.0000000000
674 5.0000000000
844 6.0000000000
920 7.0000000000
976 9.0000000000
1065 10.0000000000
1160 11.0000000000
1298 12.0000000000
1351 13.0000000000
1535 14.0000000000
1556 19.0000000000
1625 20.0000000000
1640 21.0000000000
1724 22.0000000000
1762 23.0000000000
1765 26.0000000000
1823 32.0000000000
1910 33.0000000000
1920 39.0000000000
2061 41.0000000000
2706 43.0000000000
3127 44.0000000000
3252 45.0000000000
3399 46.0000000000
3694 48.0000000000
3736 49.0000000000
3907 53.0000000000
3967 54.0000000000
4131 56.0000000000
4352 57.0000000000
4432 66.0000000000
4465 68.0000000000
5047 69.0000000000
5321 71.0000000000
5376 72.0000000000
5388 73.0000000000
5422 74.0000000000
5537 75.0000000000
5572 77.0000000000
5612 80.0000000000
5772 83.0000000000
5813 84.0000000000
5819 87.0000000000
6095 89.0000000000
6606 91.0000000000
6704 92.0000000000
6909 94.0000000000
7087 96.0000000000
7298 97.0000000000
7726 99.0000000000
7827 100.0000000000
evaluations raw_y
1 0.0000000000
44 2.0000000000
100 3.0000000000
141 4.0000000000
187 5.0000000000
238 8.0000000000
617 9.0000000000
725 10.0000000000
767 16.0000000000
768 17.0000000000
777 18.0000000000
1064 20.0000000000
1671 21.0000000000
1763 24.0000000000
2057 25.0000000000
2072 26.0000000000
2173 27.0000000000
2345 29.0000000000
2468 30.0000000000
2611 32.0000000000
2614 33.0000000000
2810 38.0000000000
3097 43.0000000000
3280 45.0000000000
3753 47.0000000000
3884 48.0000000000
3902 51.0000000000
3954 52.0000000000
4025 53.0000000000
4101 56.0000000000
4339 66.0000000000
4342 67.0000000000
