evaluations raw_y
1 0.0000000000
4 2.0000000000
16 5.0000000000
83 8.0000000000
152 9.0000000000
1527 13.0000000000
19938 14.0000000000
50976 15.0000000000
62092 17.0000000000
100001 0.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
17 3.0000000000
51 4.0000000000
53 10.0000000000
471 11.0000000000
6615 12.0000000000
9185 14.0000000000
58923 17.0000000000
100001 0.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
5 2.0000000000
12 9.0000000000
475 14.0000000000
78356 15.0000000000
100001 0.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
9 2.0000000000
15 4.0000000000
17 5.0000000000
42 7.0000000000
299 9.0000000000
1200 10.0000000000
2651 13.0000000000
3298 16.0000000000
8856 18.0000000000
100001 0.0000000000
evaluations raw_y
1 2.0000000000
10 3.0000000000
12 9.0000000000
1943 10.0000000000
3394 11.0000000000
7427 16.0000000000
10705 17.0000000000
100001 4.0000000000
evaluations raw_y
1 2.0000000000
7 5.0000000000
27 6.0000000000
326 8.0000000000
484 9.0000000000
1289 10.0000000000
2198 11.0000000000
4746 13.0000000000
33865 14.0000000000
56432 17.0000000000
100001 1.0000000000
evaluations raw_y
1 1.0000000000
3 2.0000000000
8 4.0000000000
37 5.0000000000
170 6.0000000000
347 8.0000000000
994 12.0000000000
4358 14.0000000000
39135 16.0000000000
100001 7.0000000000
evaluations raw_y
1 2.0000000000
14 3.0000000000
25 4.0000000000
47 5.0000000000
125 7.0000000000
606 8.0000000000
822 9.0000000000
4260 13.0000000000
45880 14.0000000000
75894 16.0000000000
100001 0.0000000000
evaluations raw_y
1 2.0000000000
6 3.0000000000
63 5.0000000000
227 6.0000000000
460 7.0000000000
645 8.0000000000
3513 9.0000000000
3648 11.0000000000
6890 12.0000000000
8547 13.0000000000
13670 14.0000000000
54973 15.0000000000
61739 16.0000000000
100001 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
4 2.0000000000
12 3.0000000000
33 5.0000000000
238 8.0000000000
611 9.0000000000
1938 12.0000000000
10165 16.0000000000
100001 0.0000000000
