evaluations raw_y
1 0.0000000000
70 5.0000000000
82 10.0000000000
319 12.0000000000
463 13.0000000000
537 17.0000000000
592 20.0000000000
611 27.0000000000
979 29.0000000000
1022 32.0000000000
1175 34.0000000000
1177 39.0000000000
1549 40.0000000000
1584 41.0000000000
1592 45.0000000000
1596 46.0000000000
1694 47.0000000000
1817 52.0000000000
1819 53.0000000000
1903 56.0000000000
1952 57.0000000000
2007 58.0000000000
2011 59.0000000000
2051 62.0000000000
2099 64.0000000000
2152 66.0000000000
2246 67.0000000000
2579 68.0000000000
2724 69.0000000000
2784 72.0000000000
2793 74.0000000000
2851 77.0000000000
2978 80.0000000000
3191 81.0000000000
3354 83.0000000000
3667 84.0000000000
3695 86.0000000000
3878 89.0000000000
4048 90.0000000000
4197 91.0000000000
4213 92.0000000000
4237 93.0000000000
4300 96.0000000000
4362 100.0000000000
evaluations raw_y
1 4.0000000000
3 5.0000000000
120 6.0000000000
145 7.0000000000
210 13.0000000000
224 14.0000000000
261 15.0000000000
295 16.0000000000
315 17.0000000000
414 25.0000000000
573 26.0000000000
589 28.0000000000
819 30.0000000000
825 31.0000000000
834 32.0000000000
858 36.0000000000
1104 37.0000000000
1208 39.0000000000
1398 41.0000000000
1505 44.0000000000
1553 45.0000000000
1614 46.0000000000
1628 47.0000000000
1652 49.0000000000
1805 53.0000000000
1810 56.0000000000
1911 59.0000000000
1919 61.0000000000
1929 62.0000000000
1969 64.0000000000
2046 65.0000000000
2065 67.0000000000
2142 68.0000000000
2179 69.0000000000
2339 70.0000000000
2508 71.0000000000
2514 73.0000000000
2915 74.0000000000
3078 76.0000000000
3144 78.0000000000
3204 81.0000000000
3210 83.0000000000
3340 84.0000000000
3522 85.0000000000
3634 86.0000000000
3824 87.0000000000
3884 91.0000000000
3905 93.0000000000
4262 100.0000000000
evaluations raw_y
1 0.0000000000
196 1.0000000000
228 2.0000000000
326 4.0000000000
381 6.0000000000
397 10.0000000000
610 11.0000000000
658 13.0000000000
678 15.0000000000
746 16.0000000000
826 17.0000000000
896 18.0000000000
961 21.0000000000
998 22.0000000000
1012 23.0000000000
1036 24.0000000000
1081 25.0000000000
1130 28.0000000000
1204 29.0000000000
1441 30.0000000000
1463 31.0000000000
1569 33.0000000000
1628 35.0000000000
1685 36.0000000000
1793 38.0000000000
1841 39.0000000000
1855 40.0000000000
1874 41.0000000000
1930 42.0000000000
2009 43.0000000000
2025 46.0000000000
2061 47.0000000000
2115 49.0000000000
2118 50.0000000000
2174 51.0000000000
2177 55.0000000000
2241 58.0000000000
2312 59.0000000000
2507 60.0000000000
2631 61.0000000000
2667 62.0000000000
2668 63.0000000000
2720 65.0000000000
2783 68.0000000000
2856 70.0000000000
2866 71.0000000000
2869 73.0000000000
3122 74.0000000000
3141 78.0000000000
3185 79.0000000000
3192 81.0000000000
3578 82.0000000000
3686 84.0000000000
3715 86.0000000000
3726 89.0000000000
3782 92.0000000000
3821 93.0000000000
3977 94.0000000000
3983 95.0000000000
4071 99.0000000000
4164 100.0000000000
evaluations raw_y
1 4.0000000000
15 7.0000000000
53 8.0000000000
97 9.0000000000
116 10.0000000000
130 14.0000000000
132 15.0000000000
163 17.0000000000
257 22.0000000000
355 23.0000000000
444 24.0000000000
450 25.0000000000
486 26.0000000000
635 27.0000000000
790 28.0000000000
994 30.0000000000
1000 32.0000000000
1286 33.0000000000
1336 34.0000000000
1503 37.0000000000
1734 39.0000000000
2041 40.0000000000
2173 41.0000000000
2251 43.0000000000
2349 46.0000000000
2384 48.0000000000
2417 52.0000000000
2474 54.0000000000
2602 57.0000000000
2712 65.0000000000
2726 66.0000000000
2927 67.0000000000
2999 68.0000000000
3117 69.0000000000
3174 70.0000000000
3442 71.0000000000
4525 72.0000000000
4605 75.0000000000
4647 76.0000000000
4648 78.0000000000
4654 79.0000000000
4786 80.0000000000
4931 81.0000000000
4945 89.0000000000
5398 90.0000000000
5770 91.0000000000
6020 92.0000000000
6086 93.0000000000
6102 94.0000000000
6127 99.0000000000
6321 100.0000000000
evaluations raw_y
1 0.0000000000
2 4.0000000000
493 5.0000000000
596 7.0000000000
682 9.0000000000
729 10.0000000000
773 13.0000000000
874 16.0000000000
900 17.0000000000
945 20.0000000000
1025 22.0000000000
1125 24.0000000000
1288 27.0000000000
1614 29.0000000000
1686 32.0000000000
1789 33.0000000000
2033 35.0000000000
2034 37.0000000000
2136 40.0000000000
2175 41.0000000000
2302 42.0000000000
2793 43.0000000000
2838 45.0000000000
3148 48.0000000000
3536 49.0000000000
3575 50.0000000000
3681 52.0000000000
3697 56.0000000000
3865 58.0000000000
3998 63.0000000000
4011 64.0000000000
4439 66.0000000000
4543 74.0000000000
4645 76.0000000000
4735 78.0000000000
4768 79.0000000000
4914 80.0000000000
4969 83.0000000000
5140 86.0000000000
5181 90.0000000000
5275 91.0000000000
5277 93.0000000000
5281 94.0000000000
5436 95.0000000000
5568 97.0000000000
5623 98.0000000000
5867 100.0000000000
evaluations raw_y
1 2.0000000000
76 3.0000000000
84 5.0000000000
150 6.0000000000
277 7.0000000000
406 9.0000000000
475 10.0000000000
507 12.0000000000
517 16.0000000000
550 17.0000000000
607 22.0000000000
642 24.0000000000
1080 25.0000000000
1097 27.0000000000
1371 28.0000000000
1559 29.0000000000
1578 36.0000000000
1701 37.0000000000
1740 38.0000000000
1741 39.0000000000
1858 40.0000000000
1953 41.0000000000
2250 42.0000000000
2426 45.0000000000
2468 46.0000000000
2508 48.0000000000
2527 52.0000000000
2713 54.0000000000
2739 55.0000000000
2964 57.0000000000
2990 59.0000000000
3002 69.0000000000
3091 72.0000000000
3125 73.0000000000
3158 74.0000000000
3184 76.0000000000
3233 77.0000000000
