evaluations raw_y
1 2844.0000000000
2 2916.0000000000
4 2953.0000000000
14 3019.0000000000
16 3091.0000000000
20 3157.0000000000
22 3248.0000000000
28 3313.0000000000
30 3433.0000000000
33 3446.0000000000
34 3494.0000000000
35 3616.0000000000
41 3637.0000000000
52 3662.0000000000
53 3709.0000000000
58 3733.0000000000
60 3812.0000000000
62 3886.0000000000
64 3967.0000000000
65 4003.0000000000
68 4012.0000000000
71 4034.0000000000
78 4061.0000000000
83 4079.0000000000
85 4190.0000000000
92 4278.0000000000
93 4287.0000000000
119 4343.0000000000
138 4389.0000000000
165 4407.0000000000
170 4422.0000000000
174 4455.0000000000
207 4495.0000000000
238 4506.0000000000
250 4508.0000000000
265 4533.0000000000
269 4570.0000000000
285 4610.0000000000
299 4629.0000000000
319 4662.0000000000
321 4707.0000000000
332 4785.0000000000
339 4792.0000000000
387 4856.0000000000
401 4862.0000000000
417 4893.0000000000
431 4907.0000000000
475 4925.0000000000
554 4942.0000000000
690 4952.0000000000
756 4964.0000000000
908 4990.0000000000
963 5010.0000000000
1055 5050.0000000000
evaluations raw_y
1 2712.0000000000
3 2717.0000000000
4 2734.0000000000
6 2822.0000000000
10 2901.0000000000
16 2906.0000000000
22 2968.0000000000
23 3006.0000000000
46 3085.0000000000
47 3209.0000000000
48 3268.0000000000
54 3341.0000000000
60 3440.0000000000
62 3497.0000000000
72 3630.0000000000
77 3651.0000000000
83 3727.0000000000
84 3729.0000000000
91 3771.0000000000
93 3827.0000000000
99 3861.0000000000
109 3864.0000000000
111 3955.0000000000
115 4009.0000000000
121 4030.0000000000
141 4066.0000000000
146 4106.0000000000
174 4179.0000000000
199 4271.0000000000
212 4286.0000000000
218 4350.0000000000
245 4442.0000000000
269 4520.0000000000
270 4589.0000000000
332 4599.0000000000
356 4635.0000000000
363 4641.0000000000
385 4667.0000000000
462 4690.0000000000
484 4712.0000000000
494 4737.0000000000
496 4797.0000000000
526 4846.0000000000
541 4917.0000000000
616 4929.0000000000
619 4937.0000000000
626 4951.0000000000
735 5012.0000000000
803 5025.0000000000
1127 5050.0000000000
evaluations raw_y
1 2416.0000000000
5 2581.0000000000
8 2704.0000000000
10 2740.0000000000
15 2838.0000000000
18 2881.0000000000
22 2941.0000000000
25 3030.0000000000
38 3081.0000000000
42 3107.0000000000
48 3174.0000000000
50 3201.0000000000
52 3204.0000000000
55 3266.0000000000
62 3299.0000000000
63 3311.0000000000
66 3367.0000000000
67 3371.0000000000
73 3463.0000000000
74 3481.0000000000
76 3490.0000000000
78 3514.0000000000
86 3594.0000000000
91 3666.0000000000
94 3699.0000000000
105 3796.0000000000
106 3799.0000000000
109 3814.0000000000
112 3834.0000000000
119 3837.0000000000
126 3906.0000000000
127 3958.0000000000
129 4057.0000000000
133 4089.0000000000
135 4182.0000000000
141 4199.0000000000
183 4272.0000000000
184 4306.0000000000
188 4308.0000000000
193 4386.0000000000
232 4393.0000000000
275 4445.0000000000
281 4465.0000000000
297 4520.0000000000
322 4604.0000000000
330 4614.0000000000
354 4675.0000000000
359 4692.0000000000
371 4708.0000000000
373 4723.0000000000
386 4748.0000000000
389 4833.0000000000
394 4841.0000000000
407 4850.0000000000
409 4859.0000000000
415 4863.0000000000
417 4884.0000000000
483 4888.0000000000
485 4914.0000000000
496 4944.0000000000
512 4951.0000000000
549 4961.0000000000
553 4975.0000000000
764 5006.0000000000
823 5050.0000000000
evaluations raw_y
1 3179.0000000000
5 3224.0000000000
10 3235.0000000000
16 3241.0000000000
20 3337.0000000000
22 3374.0000000000
24 3384.0000000000
29 3466.0000000000
36 3573.0000000000
38 3610.0000000000
58 3672.0000000000
60 3724.0000000000
61 3759.0000000000
70 3859.0000000000
72 3883.0000000000
73 3903.0000000000
75 3947.0000000000
78 3948.0000000000
80 3986.0000000000
81 4034.0000000000
93 4050.0000000000
96 4058.0000000000
99 4112.0000000000
100 4233.0000000000
126 4259.0000000000
127 4302.0000000000
142 4336.0000000000
148 4345.0000000000
173 4347.0000000000
176 4407.0000000000
191 4469.0000000000
192 4486.0000000000
199 4490.0000000000
211 4509.0000000000
217 4617.0000000000
235 4670.0000000000
262 4692.0000000000
263 4734.0000000000
296 4775.0000000000
316 4778.0000000000
330 4807.0000000000
343 4870.0000000000
356 4874.0000000000
388 4888.0000000000
414 4891.0000000000
440 4942.0000000000
589 4997.0000000000
600 5001.0000000000
604 5026.0000000000
662 5032.0000000000
700 5050.0000000000
evaluations raw_y
1 2848.0000000000
3 2948.0000000000
4 2964.0000000000
7 3000.0000000000
10 3030.0000000000
15 3043.0000000000
16 3053.0000000000
20 3144.0000000000
21 3202.0000000000
34 3277.0000000000
37 3311.0000000000
45 3361.0000000000
46 3433.0000000000
55 3525.0000000000
70 3608.0000000000
75 3614.0000000000
82 3712.0000000000
83 3750.0000000000
84 3753.0000000000
90 3812.0000000000
94 3860.0000000000
96 3944.0000000000
97 3964.0000000000
99 4056.0000000000
100 4115.0000000000
104 4159.0000000000
125 4182.0000000000
140 4252.0000000000
146 4330.0000000000
160 4355.0000000000
180 4436.0000000000
186 4472.0000000000
215 4513.0000000000
230 4561.0000000000
242 4605.0000000000
254 4612.0000000000
272 4648.0000000000
289 4696.0000000000
293 4701.0000000000
301 4713.0000000000
329 4754.0000000000
339 4767.0000000000
350 4779.0000000000
357 4781.0000000000
387 4807.0000000000
414 4826.0000000000
460 4832.0000000000
478 4887.0000000000
485 4927.0000000000
494 4937.0000000000
548 4950.0000000000
584 4952.0000000000
704 4981.0000000000
823 4999.0000000000
1264 5050.0000000000
evaluations raw_y
1 2026.0000000000
2 2084.0000000000
3 2178.0000000000
4 2235.0000000000
6 2373.0000000000
7 2480.0000000000
10 2493.0000000000
11 2628.0000000000
12 2711.0000000000
18 2780.0000000000
19 2846.0000000000
20 2880.0000000000
21 2987.0000000000
23 3018.0000000000
25 3118.0000000000
26 3153.0000000000
34 3169.0000000000
40 3262.0000000000
41 3304.0000000000
44 3381.0000000000
54 3431.0000000000
55 3455.0000000000
64 3473.0000000000
68 3536.0000000000
76 3542.0000000000
77 3583.0000000000
79 3639.0000000000
84 3700.0000000000
86 3756.0000000000
88 3828.0000000000
90 3855.0000000000
97 3917.0000000000
98 4010.0000000000
115 4021.0000000000
119 4022.0000000000
126 4067.0000000000
150 4105.0000000000
158 4156.0000000000
159 4160.0000000000
162 4175.0000000000
163 4187.0000000000
166 4220.0000000000
173 4273.0000000000
194 4276.0000000000
200 4313.0000000000
220 4322.0000000000
227 4375.0000000000
236 4401.0000000000
247 4452.0000000000
250 4473.0000000000
260 4479.0000000000
262 4523.0000000000
276 4603.0000000000
290 4641.0000000000
294 4699.0000000000
296 4717.0000000000
320 4772.0000000000
357 4803.0000000000
359 4833.0000000000
360 4853.0000000000
364 4870.0000000000
380 4876.0000000000
478 4925.0000000000
519 4949.0000000000
705 5013.0000000000
716 5018.0000000000
780 5042.0000000000
965 5043.0000000000
979 5050.0000000000
evaluations raw_y
1 2742.0000000000
3 2777.0000000000
10 2857.0000000000
22 2926.0000000000
24 2943.0000000000
27 2969.0000000000
28 2996.0000000000
30 3035.0000000000
31 3102.0000000000
33 3135.0000000000
35 3197.0000000000
36 3262.0000000000
40 3312.0000000000
45 3417.0000000000
48 3493.0000000000
53 3530.0000000000
61 3717.0000000000
67 3816.0000000000
71 3839.0000000000
78 3883.0000000000
83 3902.0000000000
103 3920.0000000000
104 4011.0000000000
129 4067.0000000000
136 4089.0000000000
159 4144.0000000000
165 4202.0000000000
195 4214.0000000000
201 4215.0000000000
208 4251.0000000000
211 4281.0000000000
216 4360.0000000000
227 4508.0000000000
230 4554.0000000000
275 4564.0000000000
278 4595.0000000000
286 4677.0000000000
329 4793.0000000000
331 4814.0000000000
352 4823.0000000000
355 4826.0000000000
374 4854.0000000000
375 4913.0000000000
410 4926.0000000000
456 4961.0000000000
476 4969.0000000000
510 4972.0000000000
533 4983.0000000000
645 4984.0000000000
660 4999.0000000000
930 5050.0000000000
evaluations raw_y
1 2294.0000000000
3 2319.0000000000
4 2400.0000000000
5 2443.0000000000
9 2446.0000000000
14 2483.0000000000
17 2573.0000000000
18 2631.0000000000
20 2734.0000000000
22 2864.0000000000
24 2915.0000000000
32 2964.0000000000
39 3072.0000000000
42 3169.0000000000
45 3174.0000000000
46 3195.0000000000
53 3269.0000000000
56 3335.0000000000
60 3371.0000000000
65 3378.0000000000
69 3401.0000000000
83 3488.0000000000
111 3575.0000000000
113 3589.0000000000
114 3654.0000000000
119 3655.0000000000
129 3666.0000000000
140 3675.0000000000
156 3692.0000000000
171 3780.0000000000
174 3871.0000000000
187 3978.0000000000
189 4082.0000000000
204 4098.0000000000
211 4171.0000000000
219 4180.0000000000
222 4195.0000000000
227 4217.0000000000
234 4273.0000000000
236 4299.0000000000
239 4317.0000000000
249 4322.0000000000
268 4335.0000000000
279 4380.0000000000
285 4447.0000000000
298 4480.0000000000
317 4573.0000000000
360 4666.0000000000
414 4743.0000000000
423 4753.0000000000
453 4800.0000000000
466 4804.0000000000
487 4813.0000000000
707 4832.0000000000
841 4835.0000000000
870 4836.0000000000
943 4871.0000000000
956 4909.0000000000
1111 4939.0000000000
1402 4955.0000000000
1570 4970.0000000000
1675 4993.0000000000
1680 5004.0000000000
1778 5015.0000000000
1933 5048.0000000000
1986 5050.0000000000
evaluations raw_y
1 2989.0000000000
4 3068.0000000000
7 3132.0000000000
12 3140.0000000000
13 3169.0000000000
17 3202.0000000000
20 3240.0000000000
23 3274.0000000000
27 3301.0000000000
30 3318.0000000000
33 3374.0000000000
35 3390.0000000000
37 3432.0000000000
44 3521.0000000000
45 3546.0000000000
46 3607.0000000000
49 3680.0000000000
58 3693.0000000000
63 3719.0000000000
64 3729.0000000000
71 3749.0000000000
73 3751.0000000000
76 3762.0000000000
90 3812.0000000000
94 3848.0000000000
105 3941.0000000000
109 4015.0000000000
113 4076.0000000000
115 4098.0000000000
118 4108.0000000000
120 4123.0000000000
124 4183.0000000000
125 4252.0000000000
147 4293.0000000000
151 4489.0000000000
153 4543.0000000000
162 4557.0000000000
171 4592.0000000000
179 4620.0000000000
196 4711.0000000000
197 4751.0000000000
206 4809.0000000000
229 4829.0000000000
290 4859.0000000000
350 4874.0000000000
353 4881.0000000000
387 4899.0000000000
400 4944.0000000000
403 4963.0000000000
576 4967.0000000000
696 4990.0000000000
798 5002.0000000000
1061 5050.0000000000
evaluations raw_y
1 2889.0000000000
7 2950.0000000000
16 3023.0000000000
19 3070.0000000000
20 3137.0000000000
21 3160.0000000000
22 3307.0000000000
24 3322.0000000000
27 3406.0000000000
29 3422.0000000000
35 3464.0000000000
39 3551.0000000000
45 3607.0000000000
47 3608.0000000000
50 3622.0000000000
54 3638.0000000000
56 3671.0000000000
64 3716.0000000000
73 3757.0000000000
75 3762.0000000000
76 3785.0000000000
80 3801.0000000000
87 3803.0000000000
100 3849.0000000000
106 3856.0000000000
119 3875.0000000000
127 3954.0000000000
132 4047.0000000000
138 4104.0000000000
146 4167.0000000000
156 4187.0000000000
165 4246.0000000000
171 4345.0000000000
177 4382.0000000000
203 4408.0000000000
214 4449.0000000000
223 4505.0000000000
243 4542.0000000000
248 4552.0000000000
274 4553.0000000000
291 4617.0000000000
314 4623.0000000000
333 4642.0000000000
346 4645.0000000000
384 4662.0000000000
432 4705.0000000000
433 4719.0000000000
439 4722.0000000000
500 4776.0000000000
542 4799.0000000000
546 4812.0000000000
614 4823.0000000000
679 4844.0000000000
693 4872.0000000000
747 4879.0000000000
775 4903.0000000000
850 4929.0000000000
854 4943.0000000000
886 5020.0000000000
1095 5027.0000000000
1563 5050.0000000000
