evaluations raw_y
1 2359.0000000000
2 2366.0000000000
3 2641.0000000000
4 2857.0000000000
5 2971.0000000000
14 3024.0000000000
90 3164.0000000000
153 3211.0000000000
424 3306.0000000000
560 3353.0000000000
1174 3403.0000000000
2593 3472.0000000000
9667 3710.0000000000
83049 3717.0000000000
100001 3224.0000000000
evaluations raw_y
1 2058.0000000000
2 2122.0000000000
3 2474.0000000000
4 2710.0000000000
6 2735.0000000000
9 3085.0000000000
71 3157.0000000000
150 3160.0000000000
255 3380.0000000000
375 3440.0000000000
2357 3784.0000000000
26998 3829.0000000000
100001 2471.0000000000
evaluations raw_y
1 1915.0000000000
2 1937.0000000000
3 2499.0000000000
4 3032.0000000000
18 3040.0000000000
116 3047.0000000000
155 3207.0000000000
425 3241.0000000000
543 3264.0000000000
579 3281.0000000000
865 3438.0000000000
1655 3561.0000000000
7403 3673.0000000000
37212 3679.0000000000
81386 3725.0000000000
100001 2501.0000000000
evaluations raw_y
1 2419.0000000000
2 2631.0000000000
4 2658.0000000000
8 2729.0000000000
11 2977.0000000000
68 3108.0000000000
80 3271.0000000000
251 3386.0000000000
963 3722.0000000000
48572 3815.0000000000
100001 2311.0000000000
evaluations raw_y
1 2746.0000000000
3 2771.0000000000
6 2775.0000000000
10 2922.0000000000
41 3042.0000000000
55 3119.0000000000
57 3134.0000000000
103 3320.0000000000
277 3391.0000000000
1064 3580.0000000000
3879 3661.0000000000
45932 3727.0000000000
77504 3746.0000000000
100001 2702.0000000000
evaluations raw_y
1 2640.0000000000
4 3190.0000000000
144 3226.0000000000
463 3339.0000000000
756 3477.0000000000
875 3666.0000000000
22128 3705.0000000000
39715 3846.0000000000
100001 2354.0000000000
evaluations raw_y
1 2895.0000000000
4 2987.0000000000
25 3061.0000000000
47 3149.0000000000
340 3201.0000000000
713 3224.0000000000
816 3240.0000000000
888 3346.0000000000
1764 3648.0000000000
6646 3960.0000000000
100001 2346.0000000000
evaluations raw_y
1 2232.0000000000
2 2304.0000000000
3 2564.0000000000
6 2783.0000000000
8 2792.0000000000
15 2907.0000000000
54 3015.0000000000
92 3026.0000000000
96 3078.0000000000
108 3088.0000000000
186 3240.0000000000
333 3287.0000000000
368 3312.0000000000
1419 3477.0000000000
2705 3494.0000000000
3175 3596.0000000000
31903 3625.0000000000
32775 3723.0000000000
100001 2645.0000000000
evaluations raw_y
1 2473.0000000000
2 2581.0000000000
6 2606.0000000000
8 2703.0000000000
9 3123.0000000000
84 3142.0000000000
150 3195.0000000000
156 3293.0000000000
190 3363.0000000000
1404 3453.0000000000
2196 3465.0000000000
3625 3469.0000000000
7645 3655.0000000000
14553 3657.0000000000
25447 3712.0000000000
94024 3870.0000000000
100001 2722.0000000000
evaluations raw_y
1 2189.0000000000
2 2680.0000000000
10 2949.0000000000
26 3150.0000000000
31 3330.0000000000
442 3428.0000000000
1268 3456.0000000000
5353 3577.0000000000
10180 3592.0000000000
24660 3711.0000000000
100001 3017.0000000000
