evaluations raw_y
1 2797.0000000000
2 2816.0000000000
9 2854.0000000000
10 2928.0000000000
11 2954.0000000000
13 2987.0000000000
16 3077.0000000000
21 3170.0000000000
22 3227.0000000000
26 3239.0000000000
27 3243.0000000000
30 3291.0000000000
33 3333.0000000000
41 3335.0000000000
43 3369.0000000000
45 3451.0000000000
49 3454.0000000000
51 3548.0000000000
53 3553.0000000000
54 3624.0000000000
57 3660.0000000000
71 3745.0000000000
76 3812.0000000000
77 3881.0000000000
78 3921.0000000000
107 4008.0000000000
115 4069.0000000000
116 4087.0000000000
117 4131.0000000000
141 4208.0000000000
142 4286.0000000000
145 4365.0000000000
158 4431.0000000000
169 4444.0000000000
171 4512.0000000000
182 4582.0000000000
194 4604.0000000000
202 4643.0000000000
204 4684.0000000000
205 4705.0000000000
255 4713.0000000000
264 4756.0000000000
314 4851.0000000000
391 4915.0000000000
415 4987.0000000000
547 5050.0000000000
evaluations raw_y
1 3299.0000000000
3 3322.0000000000
4 3342.0000000000
6 3373.0000000000
8 3376.0000000000
11 3446.0000000000
13 3531.0000000000
14 3589.0000000000
15 3630.0000000000
17 3638.0000000000
19 3657.0000000000
29 3717.0000000000
37 3772.0000000000
43 3865.0000000000
46 3866.0000000000
49 3888.0000000000
52 3977.0000000000
54 4063.0000000000
63 4111.0000000000
65 4143.0000000000
74 4190.0000000000
76 4234.0000000000
83 4283.0000000000
103 4375.0000000000
109 4453.0000000000
111 4522.0000000000
112 4562.0000000000
117 4612.0000000000
121 4658.0000000000
132 4753.0000000000
144 4769.0000000000
145 4776.0000000000
153 4803.0000000000
157 4876.0000000000
167 4909.0000000000
173 4935.0000000000
186 4940.0000000000
191 4954.0000000000
195 4971.0000000000
200 5046.0000000000
263 5050.0000000000
evaluations raw_y
1 2589.0000000000
3 2652.0000000000
5 2659.0000000000
6 2674.0000000000
13 2763.0000000000
16 2809.0000000000
18 2897.0000000000
19 2931.0000000000
20 2992.0000000000
26 2996.0000000000
32 3081.0000000000
34 3153.0000000000
35 3174.0000000000
44 3218.0000000000
51 3261.0000000000
53 3316.0000000000
60 3367.0000000000
63 3453.0000000000
65 3491.0000000000
66 3585.0000000000
68 3595.0000000000
70 3628.0000000000
71 3710.0000000000
78 3715.0000000000
82 3796.0000000000
86 3835.0000000000
91 3934.0000000000
97 3999.0000000000
100 4036.0000000000
120 4045.0000000000
129 4099.0000000000
135 4159.0000000000
144 4226.0000000000
146 4306.0000000000
148 4334.0000000000
158 4391.0000000000
177 4421.0000000000
180 4521.0000000000
181 4537.0000000000
187 4621.0000000000
198 4717.0000000000
209 4743.0000000000
271 4783.0000000000
279 4810.0000000000
285 4907.0000000000
299 4984.0000000000
684 5050.0000000000
evaluations raw_y
1 2952.0000000000
2 2994.0000000000
5 3001.0000000000
11 3096.0000000000
12 3104.0000000000
13 3184.0000000000
17 3251.0000000000
19 3339.0000000000
28 3355.0000000000
30 3451.0000000000
31 3452.0000000000
36 3508.0000000000
40 3557.0000000000
42 3626.0000000000
45 3677.0000000000
50 3681.0000000000
53 3747.0000000000
56 3808.0000000000
73 3871.0000000000
75 3964.0000000000
84 3982.0000000000
87 4030.0000000000
93 4130.0000000000
99 4183.0000000000
104 4216.0000000000
111 4237.0000000000
129 4320.0000000000
137 4377.0000000000
154 4458.0000000000
166 4544.0000000000
170 4635.0000000000
171 4661.0000000000
188 4725.0000000000
191 4769.0000000000
194 4867.0000000000
203 4882.0000000000
230 4967.0000000000
276 5019.0000000000
376 5050.0000000000
evaluations raw_y
1 2276.0000000000
2 2298.0000000000
7 2389.0000000000
9 2413.0000000000
10 2463.0000000000
12 2477.0000000000
14 2572.0000000000
15 2669.0000000000
17 2723.0000000000
19 2762.0000000000
21 2855.0000000000
22 2901.0000000000
24 2919.0000000000
33 3003.0000000000
39 3022.0000000000
40 3093.0000000000
42 3161.0000000000
43 3237.0000000000
47 3311.0000000000
48 3370.0000000000
50 3423.0000000000
55 3521.0000000000
59 3588.0000000000
62 3624.0000000000
64 3693.0000000000
65 3776.0000000000
70 3816.0000000000
71 3877.0000000000
73 3962.0000000000
75 4061.0000000000
77 4121.0000000000
78 4168.0000000000
80 4246.0000000000
83 4321.0000000000
106 4349.0000000000
107 4413.0000000000
110 4434.0000000000
113 4442.0000000000
114 4465.0000000000
115 4553.0000000000
119 4560.0000000000
123 4641.0000000000
137 4690.0000000000
143 4741.0000000000
168 4756.0000000000
177 4798.0000000000
184 4843.0000000000
195 4854.0000000000
201 4941.0000000000
203 5030.0000000000
432 5050.0000000000
evaluations raw_y
1 2353.0000000000
2 2400.0000000000
4 2406.0000000000
7 2494.0000000000
8 2579.0000000000
9 2588.0000000000
12 2620.0000000000
14 2649.0000000000
17 2682.0000000000
19 2778.0000000000
20 2809.0000000000
23 2891.0000000000
24 2917.0000000000
25 3016.0000000000
26 3070.0000000000
28 3090.0000000000
29 3104.0000000000
30 3182.0000000000
32 3233.0000000000
34 3298.0000000000
41 3321.0000000000
42 3332.0000000000
44 3426.0000000000
45 3462.0000000000
50 3537.0000000000
51 3596.0000000000
60 3686.0000000000
69 3759.0000000000
80 3804.0000000000
86 3885.0000000000
88 3974.0000000000
92 4069.0000000000
99 4111.0000000000
115 4132.0000000000
118 4193.0000000000
119 4239.0000000000
120 4282.0000000000
122 4307.0000000000
133 4387.0000000000
134 4455.0000000000
152 4519.0000000000
161 4585.0000000000
173 4623.0000000000
217 4675.0000000000
255 4758.0000000000
257 4760.0000000000
264 4827.0000000000
353 4903.0000000000
361 4922.0000000000
371 5015.0000000000
443 5050.0000000000
evaluations raw_y
1 2513.0000000000
4 2607.0000000000
5 2659.0000000000
6 2716.0000000000
7 2776.0000000000
8 2852.0000000000
13 2866.0000000000
14 2959.0000000000
16 3017.0000000000
19 3061.0000000000
22 3101.0000000000
26 3156.0000000000
29 3206.0000000000
30 3269.0000000000
36 3322.0000000000
37 3392.0000000000
42 3451.0000000000
43 3460.0000000000
45 3465.0000000000
52 3471.0000000000
54 3473.0000000000
56 3542.0000000000
57 3560.0000000000
63 3581.0000000000
67 3596.0000000000
71 3612.0000000000
76 3660.0000000000
77 3705.0000000000
82 3748.0000000000
85 3759.0000000000
87 3820.0000000000
93 3846.0000000000
97 3945.0000000000
102 3955.0000000000
104 4046.0000000000
106 4097.0000000000
117 4181.0000000000
120 4269.0000000000
139 4346.0000000000
142 4442.0000000000
160 4506.0000000000
165 4568.0000000000
196 4663.0000000000
208 4704.0000000000
211 4751.0000000000
216 4830.0000000000
286 4928.0000000000
302 4956.0000000000
304 4969.0000000000
315 5050.0000000000
