submodular_value,neg_cost,run
293810.89870732906,-562,1
301158.73546279117,-570,1
319471.50864375493,-594,1
316706.0406794077,-589,1
322727.9461857679,-599,1
307753.0626266462,-578,1
331817.3280050086,-614,1
331319.2687614515,-613,1
338716.81671721506,-631,1
307753.0626266462,-578,1
307753.0626266462,-578,1
293810.89870732906,-562,1
308171.51777724066,-579,1
319656.85135791,-595,1
318418.04755852546,-592,1
322811.73062040523,-600,1
321942.41307431314,-597,1
288964.2347944288,-557,1
313986.068088144,-585,1
327338.64554791624,-604,1
306268.3313731305,-576,1
325810.05363803403,-601,1
319656.85135791,-595,1
316706.0406794077,-589,1
319656.85135791,-595,1
307753.0626266462,-578,1
309206.45034183876,-580,1
320347.6625028041,-596,1
338615.3230694415,-626,1
330987.68685327435,-612,1
305272.7314372247,-574,1
338716.6498251547,-627,1
320347.6625028041,-596,1
314777.2153942468,-586,1
291767.01650808327,-558,1
326401.87633725756,-603,1
299696.88223085494,-568,1
305272.7314372247,-574,1
331319.2687614515,-613,1
307753.0626266462,-578,1
334950.0099368184,-618,1
330987.68685327435,-612,1
303616.0230307664,-572,1
287621.3876349876,-555,1
330461.7959838836,-610,1
322727.9461857679,-599,1
334470.9761563712,-616,1
305754.2626465935,-575,1
309206.45034183876,-580,1
310935.60332250403,-583,1
316706.0406794077,-589,1
338350.6857005747,-625,1
319656.85135791,-595,1
340698.18902944954,-633,1
298591.273996984,-566,1
305272.7314372247,-574,1
299439.7672212914,-567,1
319656.85135791,-595,1
337407.1923672713,-621,1
337785.6410854147,-622,1
319471.50864375493,-594,1
310612.586347817,-582,1
293810.89870732906,-562,1
298591.273996984,-566,1
318418.04755852546,-592,1
305754.2626465935,-575,1
340698.18902944954,-633,1
299439.7672212914,-567,1
318098.5407751074,-591,1
292590.6532896975,-560,1
322712.56029462174,-598,1
316706.0406794077,-589,1
296735.25890731736,-564,1
329500.1574457161,-608,1
296301.7501898128,-563,1
322727.9461857679,-599,1
328267.7936455884,-605,1
319471.50864375493,-594,1
307202.9446589178,-577,1
293810.89870732906,-562,1
313641.8464799667,-584,1
293810.89870732906,-562,1
320347.6625028041,-596,1
316539.194701016,-588,1
338350.6857005747,-625,1
319656.85135791,-595,1
309452.3008426366,-581,1
292218.3328407906,-559,1
326194.64758138015,-602,1
331817.3280050086,-614,1
296301.7501898128,-563,1
305272.7314372247,-574,1
331319.2687614515,-613,1
319471.50864375493,-594,1
322712.56029462174,-598,1
320347.6625028041,-596,1
304824.05856797885,-573,1
317715.10958846903,-590,1
296301.7501898128,-563,1
300088.3130410654,-569,1
334223.3523491031,-615,1
297866.71667025157,-565,1
293650.0935756217,-561,1
337134.9492822236,-619,1
293810.89870732906,-562,1
291767.01650808327,-558,1
303561.2061420452,-571,1
319012.28369962476,-593,1
305754.2626465935,-575,1
328747.96398475504,-606,1
293650.0935756217,-561,1
315568.95733228716,-587,1
304260.28078237013,-581,2
288976.4623349043,-558,2
297508.5611834676,-572,2
301216.51471829455,-579,2
311058.91395586176,-585,2
291397.55770311685,-561,2
301216.51471829455,-579,2
305093.2632224457,-583,2
339259.71717063145,-633,2
291172.3669698172,-560,2
293768.26146175375,-567,2
297508.5611834676,-572,2
297508.5611834676,-572,2
336165.2601328334,-623,2
328168.08600569173,-614,2
330727.3054168114,-617,2
317052.54703731503,-596,2
303512.63191703055,-580,2
291397.55770311685,-561,2
331010.3170512804,-618,2
291397.55770311685,-561,2
316731.5512683552,-595,2
319112.6260647864,-599,2
291397.55770311685,-561,2
293768.26146175375,-567,2
329265.74793767306,-615,2
331889.7064862889,-619,2
335380.4878770856,-622,2
311356.2740509682,-586,2
337048.30893678876,-624,2
297508.5611834676,-572,2
296772.0341223019,-570,2
331889.7064862889,-619,2
295972.3653506355,-569,2
319383.88700469566,-600,2
322392.75719344884,-603,2
293768.26146175375,-567,2
291397.55770311685,-561,2
293768.26146175375,-567,2
299429.54107893026,-574,2
293768.26146175375,-567,2
318641.9577146623,-598,2
293269.6092328321,-564,2
299429.54107893026,-574,2
300629.42349334573,-577,2
328168.08600569173,-614,2
328168.08600569173,-614,2
291397.55770311685,-561,2
328168.08600569173,-614,2
315722.9948311444,-592,2
