evaluations raw_y
1 -1910.0000000000
40 -1904.0000000000
41 -1887.0000000000
142 -1886.0000000000
144 -1885.0000000000
159 -1883.0000000000
231 -1881.0000000000
245 -1880.0000000000
305 -1878.0000000000
329 -1877.0000000000
379 -1876.0000000000
423 -1875.0000000000
433 -1873.0000000000
484 -1872.0000000000
486 -1867.0000000000
528 -1866.0000000000
535 -1865.0000000000
554 -1864.0000000000
589 -1863.0000000000
649 -1862.0000000000
654 -1861.0000000000
690 -1858.0000000000
730 -1856.0000000000
745 -1855.0000000000
789 -1854.0000000000
803 -1853.0000000000
811 -1852.0000000000
846 -1851.0000000000
874 -1850.0000000000
883 -1849.0000000000
917 -1848.0000000000
931 -1847.0000000000
932 -1846.0000000000
986 -1845.0000000000
1006 -1844.0000000000
1044 -1843.0000000000
1065 -1842.0000000000
1123 -1841.0000000000
1149 -1840.0000000000
1158 -1839.0000000000
1199 -1838.0000000000
1228 -1837.0000000000
1277 -1836.0000000000
1291 -1834.0000000000
1321 -1833.0000000000
1384 -1832.0000000000
1405 -1831.0000000000
1428 -1830.0000000000
1500 -1828.0000000000
1526 -1827.0000000000
1529 -1826.0000000000
1559 -1824.0000000000
1606 -1823.0000000000
1614 -1822.0000000000
1633 -1821.0000000000
1653 -1820.0000000000
1658 -1819.0000000000
1687 -1818.0000000000
1754 -1817.0000000000
1756 -1816.0000000000
1794 -1815.0000000000
1835 -1814.0000000000
1860 -1813.0000000000
1878 -1811.0000000000
1911 -1810.0000000000
1916 -1809.0000000000
1941 -1808.0000000000
1991 -1805.0000000000
2035 -1804.0000000000
2082 -1803.0000000000
2083 -1802.0000000000
2127 -1801.0000000000
2160 -1800.0000000000
2177 -1799.0000000000
2193 -1798.0000000000
2213 -1797.0000000000
2238 -1796.0000000000
2243 -1795.0000000000
2257 -1794.0000000000
2302 -1792.0000000000
2314 -1791.0000000000
2368 -1790.0000000000
2374 -1789.0000000000
2422 -1788.0000000000
2429 -1787.0000000000
2471 -1785.0000000000
2474 -1783.0000000000
2492 -1782.0000000000
2557 -1781.0000000000
2581 -1780.0000000000
2642 -1779.0000000000
2665 -1778.0000000000
2701 -1777.0000000000
2730 -1775.0000000000
2746 -1774.0000000000
2774 -1773.0000000000
2789 -1772.0000000000
2824 -1771.0000000000
2873 -1769.0000000000
2913 -1768.0000000000
2926 -1765.0000000000
3010 -1764.0000000000
3066 -1763.0000000000
3074 -1762.0000000000
3105 -1761.0000000000
3122 -1759.0000000000
3150 -1758.0000000000
3155 -1757.0000000000
3167 -1755.0000000000
3213 -1754.0000000000
3231 -1753.0000000000
3283 -1752.0000000000
3301 -1751.0000000000
3320 -1749.0000000000
3371 -1748.0000000000
3420 -1747.0000000000
3442 -1746.0000000000
3460 -1743.0000000000
3506 -1742.0000000000
3553 -1741.0000000000
3554 -1740.0000000000
3628 -1739.0000000000
3648 -1738.0000000000
3687 -1737.0000000000
3723 -1736.0000000000
3734 -1735.0000000000
3777 -1734.0000000000
3806 -1732.0000000000
3862 -1731.0000000000
3908 -1730.0000000000
3936 -1729.0000000000
3961 -1728.0000000000
4007 -1726.0000000000
4059 -1725.0000000000
4125 -1724.0000000000
4145 -1723.0000000000
4175 -1722.0000000000
4192 -1721.0000000000
4226 -1719.0000000000
4308 -1718.0000000000
4331 -1717.0000000000
4341 -1716.0000000000
4394 -1715.0000000000
4461 -1714.0000000000
4481 -1713.0000000000
4517 -1712.0000000000
4526 -1711.0000000000
4535 -1710.0000000000
4577 -1709.0000000000
4628 -1708.0000000000
4636 -1707.0000000000
4639 -1705.0000000000
4689 -1704.0000000000
4710 -1703.0000000000
4717 -1702.0000000000
4765 -1701.0000000000
4783 -1699.0000000000
4794 -1697.0000000000
4826 -1696.0000000000
4894 -1695.0000000000
4904 -1694.0000000000
4965 -1693.0000000000
4980 -1692.0000000000
4991 -1691.0000000000
5052 -1689.0000000000
5102 -1688.0000000000
5108 -1687.0000000000
5182 -1686.0000000000
5221 -1685.0000000000
5260 -1684.0000000000
5273 -1683.0000000000
5287 -1682.0000000000
5352 -1681.0000000000
5367 -1680.0000000000
5416 -1678.0000000000
5473 -1677.0000000000
5498 -1675.0000000000
5528 -1674.0000000000
5566 -1673.0000000000
5624 -1672.0000000000
5644 -1670.0000000000
5651 -1669.0000000000
5667 -1668.0000000000
5742 -1667.0000000000
5767 -1666.0000000000
5783 -1665.0000000000
5820 -1663.0000000000
5877 -1662.0000000000
5901 -1661.0000000000
5914 -1660.0000000000
5941 -1658.0000000000
5947 -1657.0000000000
5986 -1656.0000000000
6002 -1655.0000000000
6046 -1654.0000000000
6062 -1653.0000000000
6109 -1652.0000000000
6120 -1651.0000000000
6163 -1650.0000000000
6218 -1649.0000000000
6227 -1648.0000000000
6287 -1647.0000000000
6308 -1646.0000000000
