run,value,neg_cost,evaluations
1,-1861.0,-1961,10
1,-1861.0,-1961,12
1,-1861.0,-1961,12
1,-1861.0,-1961,14
1,-1861.0,-1961,14
1,-1861.0,-1961,16
1,-1861.0,-1961,16
1,-1861.0,-1961,18
1,-1861.0,-1961,18
1,-1861.0,-1961,18
1,-1861.0,-1961,18
1,-1859.0,-1959,20
1,-1859.0,-1959,22
1,-1859.0,-1959,22
1,-1859.0,-1959,24
1,-1859.0,-1959,24
1,-1859.0,-1959,26
1,-1859.0,-1959,26
1,-1859.0,-1959,28
1,-1859.0,-1959,28
1,-1859.0,-1959,28
1,-1859.0,-1959,30
1,-1859.0,-1959,30
1,-1859.0,-1959,30
1,-1858.0,-1958,32
1,-1858.0,-1958,34
1,-1858.0,-1958,36
1,-1858.0,-1958,38
1,-1858.0,-1958,38
1,-1858.0,-1958,40
1,-1858.0,-1958,40
1,-1858.0,-1958,42
1,-1858.0,-1958,42
1,-1858.0,-1958,42
1,-1857.0,-1957,44
1,-1857.0,-1957,46
1,-1857.0,-1957,46
1,-1857.0,-1957,48
1,-1857.0,-1957,48
1,-1857.0,-1957,48
1,-1857.0,-1957,50
1,-1857.0,-1957,50
1,-1857.0,-1957,50
1,-1856.0,-1956,52
1,-1856.0,-1956,54
1,-1856.0,-1956,56
1,-1856.0,-1956,58
1,-1856.0,-1956,60
1,-1856.0,-1956,60
1,-1856.0,-1956,62
1,-1856.0,-1956,62
1,-1856.0,-1956,64
1,-1856.0,-1956,64
1,-1856.0,-1956,64
1,-1856.0,-1956,66
1,-1856.0,-1956,66
1,-1856.0,-1956,66
1,-1856.0,-1956,68
1,-1856.0,-1956,68
1,-1856.0,-1956,68
1,-1855.0,-1955,70
1,-1855.0,-1955,72
1,-1854.0,-1954,74
1,-1854.0,-1954,76
1,-1853.0,-1953,78
1,-1853.0,-1953,80
1,-1853.0,-1953,82
1,-1853.0,-1953,84
1,-1853.0,-1953,86
1,-1853.0,-1953,86
1,-1853.0,-1953,88
1,-1853.0,-1953,88
1,-1853.0,-1953,90
1,-1853.0,-1953,90
1,-1853.0,-1953,92
1,-1853.0,-1953,92
1,-1853.0,-1953,92
1,-1853.0,-1953,94
1,-1853.0,-1953,94
1,-1853.0,-1953,94
1,-1853.0,-1953,94
1,-1853.0,-1953,96
1,-1853.0,-1953,96
1,-1853.0,-1953,96
1,-1853.0,-1953,96
1,-1853.0,-1953,96
1,-1852.0,-1952,98
1,-1852.0,-1952,100
1,-1852.0,-1952,100
1,-1852.0,-1952,102
1,-1852.0,-1952,102
1,-1852.0,-1952,104
1,-1852.0,-1952,104
1,-1852.0,-1952,106
1,-1852.0,-1952,106
1,-1852.0,-1952,106
1,-1851.0,-1951,108
1,-1851.0,-1951,108
1,-1851.0,-1951,110
1,-1851.0,-1951,110
1,-1851.0,-1951,110
1,-1851.0,-1951,112
1,-1851.0,-1951,112
1,-1851.0,-1951,112
1,-1851.0,-1951,112
1,-1851.0,-1951,112
1,-1849.0,-1949,114
1,-1849.0,-1949,116
1,-1849.0,-1949,116
1,-1848.0,-1948,118
1,-1848.0,-1948,120
1,-1848.0,-1948,120
1,-1848.0,-1948,122
1,-1848.0,-1948,122
1,-1848.0,-1948,122
1,-1848.0,-1948,124
1,-1848.0,-1948,124
1,-1848.0,-1948,124
1,-1847.0,-1947,126
1,-1847.0,-1947,128
1,-1847.0,-1947,130
1,-1847.0,-1947,130
1,-1847.0,-1947,132
1,-1847.0,-1947,132
1,-1847.0,-1947,134
1,-1847.0,-1947,134
1,-1847.0,-1947,136
1,-1847.0,-1947,136
1,-1847.0,-1947,136
1,-1847.0,-1947,138
1,-1847.0,-1947,138
1,-1847.0,-1947,138
1,-1846.0,-1946,140
1,-1845.0,-1945,142
1,-1845.0,-1945,144
1,-1845.0,-1945,144
1,-1845.0,-1945,144
1,-1845.0,-1945,146
1,-1845.0,-1945,146
1,-1845.0,-1945,146
1,-1845.0,-1945,148
1,-1845.0,-1945,148
1,-1845.0,-1945,148
1,-1845.0,-1945,148
1,-1845.0,-1945,150
1,-1845.0,-1945,150
1,-1845.0,-1945,150
1,-1845.0,-1945,150
1,-1845.0,-1945,152
1,-1845.0,-1945,152
1,-1845.0,-1945,152
1,-1845.0,-1945,152
1,-1844.0,-1944,154
1,-1844.0,-1944,156
1,-1844.0,-1944,156
1,-1844.0,-1944,158
1,-1844.0,-1944,158
1,-1844.0,-1944,160
1,-1844.0,-1944,160
1,-1844.0,-1944,160
1,-1844.0,-1944,162
1,-1844.0,-1944,162
1,-1844.0,-1944,162
1,-1844.0,-1944,162
1,-1844.0,-1944,162
1,-1844.0,-1944,164
1,-1844.0,-1944,164
1,-1844.0,-1944,164
1,-1844.0,-1944,164
1,-1844.0,-1944,164
1,-1844.0,-1944,164
1,-1843.0,-1943,166
1,-1843.0,-1943,168
1,-1843.0,-1943,168
1,-1843.0,-1943,170
1,-1843.0,-1943,170
1,-1843.0,-1943,172
1,-1843.0,-1943,172
1,-1843.0,-1943,174
1,-1843.0,-1943,174
1,-1843.0,-1943,174
1,-1843.0,-1943,176
1,-1843.0,-1943,176
1,-1843.0,-1943,176
1,-1843.0,-1943,176
1,-1843.0,-1943,178
1,-1843.0,-1943,178
1,-1843.0,-1943,178
1,-1843.0,-1943,178
1,-1843.0,-1943,178
1,-1842.0,-1942,180
1,-1842.0,-1942,182
1,-1842.0,-1942,184
1,-1842.0,-1942,184
1,-1842.0,-1942,186
1,-1842.0,-1942,186
1,-1842.0,-1942,188
1,-1842.0,-1942,188
1,-1842.0,-1942,190
1,-1842.0,-1942,190
1,-1842.0,-1942,192
1,-1842.0,-1942,192
1,-1842.0,-1942,194
1,-1842.0,-1942,194
1,-1842.0,-1942,194
1,-1842.0,-1942,196
1,-1842.0,-1942,196
1,-1842.0,-1942,196
1,-1842.0,-1942,196
1,-1842.0,-1942,196
1,-1842.0,-1942,198
1,-1842.0,-1942,198
1,-1842.0,-1942,198
1,-1842.0,-1942,198
1,-1842.0,-1942,198
1,-1840.0,-1940,200
1,-1840.0,-1940,202
1,-1840.0,-1940,204
1,-1840.0,-1940,204
1,-1840.0,-1940,206
1,-1840.0,-1940,206
1,-1838.0,-1938,208
1,-1838.0,-1938,210
1,-1838.0,-1938,212
1,-1838.0,-1938,212
1,-1838.0,-1938,214
1,-1838.0,-1938,214
1,-1838.0,-1938,216
1,-1838.0,-1938,216
1,-1837.0,-1937,218
1,-1837.0,-1937,220
1,-1837.0,-1937,220
1,-1837.0,-1937,222
1,-1837.0,-1937,222
1,-1837.0,-1937,222
1,-1837.0,-1937,224
1,-1837.0,-1937,224
1,-1837.0,-1937,224
1,-1837.0,-1937,224
1,-1835.0,-1935,226
1,-1835.0,-1935,228
1,-1835.0,-1935,228
1,-1835.0,-1935,230
1,-1835.0,-1935,230
1,-1835.0,-1935,230
1,-1835.0,-1935,232
1,-1835.0,-1935,232
1,-1835.0,-1935,232
1,-1835.0,-1935,232
1,-1835.0,-1935,234
1,-1835.0,-1935,234
1,-1835.0,-1935,234
1,-1835.0,-1935,234
1,-1835.0,-1935,236
1,-1835.0,-1935,236
1,-1835.0,-1935,236
1,-1835.0,-1935,236
1,-1835.0,-1935,238
1,-1835.0,-1935,238
1,-1835.0,-1935,238
1,-1835.0,-1935,238
1,-1835.0,-1935,240
1,-1835.0,-1935,240
1,-1835.0,-1935,240
1,-1835.0,-1935,240
1,-1835.0,-1935,240
1,-1835.0,-1935,242
1,-1835.0,-1935,242
1,-1835.0,-1935,242
1,-1835.0,-1935,242
1,-1835.0,-1935,242
1,-1835.0,-1935,244
1,-1835.0,-1935,244
1,-1835.0,-1935,244
1,-1835.0,-1935,244
1,-1835.0,-1935,244
1,-1835.0,-1935,244
1,-1835.0,-1935,246
1,-1835.0,-1935,246
