evaluations raw_y
1 1.0068465566
2 1.2671059301
4 1.4132278123
17 1.8208302986
82 1.8341892883
87 1.9394879752
102 2.0408163265
112 2.0678246485
124 2.1349274125
144 2.1872265967
163 2.2182786158
167 2.3696682464
303 2.6343519494
378 2.6737967914
382 2.6910656620
497 2.7203482046
538 2.7502750275
575 2.7932960894
590 2.8571428571
609 3.0084235860
678 3.0599755202
713 3.0902348578
849 3.1289111389
907 3.3200531208
1330 3.4387895461
100010 3.4387895461
evaluations raw_y
1 1.0989010989
2 1.8024513338
29 1.8288222385
54 2.0308692120
100 2.1240441801
128 2.2421524664
151 2.3386342376
167 2.3877745941
209 2.4875621891
289 2.5025025025
346 2.6567481403
393 2.7085590466
449 2.7262813522
509 2.7563395810
518 2.7932960894
589 2.8506271380
630 2.9308323564
652 2.9515938607
703 2.9868578256
732 3.1289111389
1037 3.2509752926
1316 3.4387895461
1511 3.6496350365
1836 3.7481259370
2184 3.9494470774
100010 3.1928480204
evaluations raw_y
1 0.9120758847
2 1.4645577036
20 1.4997000600
54 1.5365703749
66 1.7018379850
105 1.7593244194
120 1.9215987702
139 1.9888623707
140 2.1240441801
176 2.1645021645
205 2.2747952684
235 2.4342745862
401 2.6288117771
521 2.7995520717
681 3.0674846626
1312 3.0750307503
1363 3.1133250311
1365 3.3025099075
1836 3.4013605442
1871 3.4387895461
3014 3.4674063800
3443 3.5971223022
3984 3.7593984962
100010 3.7593984962
evaluations raw_y
1 0.8594018563
2 1.0084711577
4 1.7593244194
149 1.8181818182
166 1.8867924528
203 2.0746887967
227 2.1570319241
256 2.1645021645
264 2.3212627669
277 2.3741690408
286 2.4061597690
294 2.4248302619
309 2.4925224327
356 2.6910656620
480 2.6968716289
531 3.0376670717
716 3.0450669915
866 3.0525030525
1131 3.1210986267
1209 3.1289111389
1321 3.1847133758
1384 3.1928480204
1402 3.5161744023
1505 3.6284470247
30910 3.7369207773
31145 3.7707390649
31197 3.7821482602
36215 3.8520801233
36273 3.8880248834
36464 3.9001560062
36772 3.9619651347
100010 3.9619651347
evaluations raw_y
1 0.9201324991
2 1.1317338162
5 1.3304949441
18 1.3835085778
22 1.4577259475
27 1.6035920462
44 1.6181229773
50 1.6523463318
53 1.7111567420
56 1.7844396859
75 1.7921146953
87 1.9364833462
111 1.9577133908
136 2.0610057708
142 2.1276595745
154 2.1645021645
247 2.2624434389
298 2.6232948583
331 2.6511134677
364 2.6567481403
372 2.6795284030
376 2.7995520717
697 2.8184892897
852 2.8506271380
1175 2.8835063437
1196 2.9446407538
1453 2.9940119760
1456 3.1766200762
1587 3.1847133758
1726 3.2010243278
1742 3.2851511170
1748 3.3647375505
2221 3.5460992908
100010 3.5460992908
evaluations raw_y
1 1.1473152822
2 1.4836795252
7 1.4997000600
23 1.5179113540
31 1.6835016835
35 1.7998560115
64 1.8953752843
116 2.0145044319
143 2.0644095789
162 2.0885547201
188 2.4437927664
244 2.5176233635
247 2.6343519494
261 2.6968716289
316 2.7685492802
329 2.8121484814
330 2.9446407538
389 3.1446540881
539 3.2341526520
628 3.3288948069
776 3.3377837116
906 3.3467202142
1281 3.4867503487
1625 3.5360678925
1628 3.8639876352
1698 3.9246467818
100010 3.9246467818
evaluations raw_y
1 1.1473152822
3 1.2581781580
5 1.2906556531
6 1.3728720483
7 1.4594279043
14 1.4801657786
61 1.5852885225
72 1.5913430936
101 1.6501650165
105 1.6677785190
115 1.7253278123
118 1.8234865062
125 1.8670649739
129 1.9888623707
143 2.0576131687
156 2.1168501270
163 2.1276595745
205 2.3212627669
356 2.5746652935
447 2.6680896478
633 2.7808676307
681 2.9036004646
783 3.1133250311
896 3.2175032175
981 3.3112582781
1042 3.3557046980
1232 3.5260930889
1255 3.8520801233
1273 4.0650406504
1519 4.0916530278
1912 4.1050903120
2155 4.2589437819
100010 4.2589437819
evaluations raw_y
1 0.5685694792
2 1.2960082945
9 1.4212620807
12 1.5499070056
19 1.6880486158
33 1.7618040874
42 1.7972681524
46 1.8315018315
76 1.9040365575
156 1.9127773527
157 1.9305019305
213 1.9455252918
223 2.1910604733
277 2.2261798753
325 2.2872827081
372 2.3696682464
378 2.3786869648
400 2.4201355276
418 2.5278058645
435 2.5641025641
450 2.7870680045
606 2.9377203290
681 2.9868578256
699 3.1055900621
708 3.2594524120
857 3.3557046980
887 3.4387895461
939 3.5663338088
1071 3.7037037037
1409 3.9745627981
68083 4.0000000000
100010 2.7027027027
evaluations raw_y
1 0.9619084263
3 1.3054830287
39 1.5124016939
64 1.7018379850
104 2.0885547201
149 2.1385799829
207 2.2026431718
216 2.2831050228
235 2.4727992087
354 2.5693730730
446 2.7322404372
501 2.9239766082
538 3.0012004802
671 3.0084235860
821 3.0750307503
984 3.0826140567
1223 3.1525851198
1277 3.2938076416
1736 3.3025099075
2357 3.4578146611
2421 3.4674063800
2471 3.8639876352
2758 3.9494470774
100010 3.9494470774
evaluations raw_y
1 1.2013455070
5 1.3728720483
10 1.4594279043
32 1.5499070056
36 1.6181229773
71 1.6286644951
83 1.6545334216
93 1.8129079043
116 1.8504811251
128 1.8698578908
129 2.0242914980
132 2.0374898126
147 2.1422450728
155 2.2182786158
158 2.2301516503
163 2.3786869648
188 2.4295432459
207 2.7685492802
279 2.8248587571
454 2.8571428571
477 2.8968713789
518 2.9868578256
613 3.0450669915
631 3.3112582781
676 3.3377837116
830 3.8167938931
26879 3.9872408293
100010 3.9872408293
