evaluations raw_y
1 -1215.0000000000
12 -1206.0000000000
14 -1147.0000000000
19 -1108.0000000000
23 -1079.0000000000
26 -943.0000000000
40 -904.0000000000
50 -894.0000000000
51 -865.0000000000
54 -797.0000000000
59 -777.0000000000
60 -748.0000000000
79 -680.0000000000
94 -602.0000000000
113 -544.0000000000
136 -515.0000000000
150 -486.0000000000
163 -447.0000000000
172 -418.0000000000
179 -389.0000000000
203 -360.0000000000
207 -350.0000000000
220 -331.0000000000
238 -292.0000000000
297 -273.0000000000
312 -254.0000000000
335 -244.0000000000
349 -225.0000000000
400 -167.0000000000
424 -128.0000000000
426 -109.0000000000
450 -99.0000000000
456 -90.0000000000
517 -89.0000000000
650 -70.0000000000
676 -69.0000000000
727 -60.0000000000
754 -51.0000000000
781 -42.0000000000
865 -41.0000000000
901 -13.0000000000
928 -12.0000000000
953 -11.0000000000
1184 -2.0000000000
1236 7.0000000000
1492 8.0000000000
3990 9.0000000000
100010 8.0000000000
evaluations raw_y
1 -1605.0000000000
2 -1507.0000000000
3 -1108.0000000000
24 -962.0000000000
33 -952.0000000000
44 -923.0000000000
46 -913.0000000000
50 -875.0000000000
56 -738.0000000000
75 -719.0000000000
77 -680.0000000000
80 -670.0000000000
103 -651.0000000000
112 -641.0000000000
127 -622.0000000000
129 -612.0000000000
130 -583.0000000000
143 -554.0000000000
165 -544.0000000000
166 -515.0000000000
176 -505.0000000000
200 -476.0000000000
235 -447.0000000000
237 -408.0000000000
242 -379.0000000000
248 -369.0000000000
261 -301.0000000000
293 -272.0000000000
301 -253.0000000000
305 -233.0000000000
323 -224.0000000000
334 -214.0000000000
342 -185.0000000000
357 -166.0000000000
447 -127.0000000000
472 -118.0000000000
477 -108.0000000000
501 -89.0000000000
538 -80.0000000000
554 -61.0000000000
563 -52.0000000000
565 -51.0000000000
587 -50.0000000000
602 -42.0000000000
629 -41.0000000000
668 -22.0000000000
680 -21.0000000000
819 -12.0000000000
899 -3.0000000000
953 6.0000000000
1001 7.0000000000
1290 8.0000000000
10855 9.0000000000
100010 -49.0000000000
evaluations raw_y
1 -1595.0000000000
2 -1352.0000000000
4 -1254.0000000000
11 -1147.0000000000
20 -1118.0000000000
31 -1030.0000000000
32 -884.0000000000
44 -797.0000000000
53 -787.0000000000
57 -748.0000000000
58 -719.0000000000
76 -699.0000000000
78 -690.0000000000
81 -602.0000000000
85 -593.0000000000
96 -592.0000000000
97 -573.0000000000
98 -534.0000000000
127 -505.0000000000
138 -485.0000000000
161 -456.0000000000
174 -437.0000000000
189 -418.0000000000
192 -408.0000000000
225 -379.0000000000
239 -360.0000000000
265 -341.0000000000
275 -321.0000000000
290 -312.0000000000
308 -293.0000000000
328 -283.0000000000
333 -254.0000000000
383 -235.0000000000
401 -216.0000000000
402 -215.0000000000
413 -196.0000000000
421 -167.0000000000
484 -138.0000000000
512 -119.0000000000
552 -80.0000000000
