evaluations raw_y
1 4.8000000000
2 7.6000000000
7 8.0000000000
12 8.4000000000
15 10.2000000000
72 10.4000000000
83 10.6000000000
105 11.0000000000
132 11.6000000000
155 11.8000000000
170 12.0000000000
189 12.2000000000
192 12.4000000000
193 12.6000000000
237 12.8000000000
261 13.0000000000
338 13.2000000000
432 13.4000000000
485 13.6000000000
513 13.8000000000
520 14.0000000000
553 14.2000000000
568 14.4000000000
584 14.6000000000
617 14.8000000000
672 15.0000000000
685 15.2000000000
714 15.4000000000
897 15.6000000000
939 15.8000000000
1097 16.0000000000
1402 16.2000000000
1689 16.4000000000
100010 16.4000000000
evaluations raw_y
1 6.2000000000
2 6.8000000000
6 7.2000000000
7 7.6000000000
13 7.8000000000
26 8.4000000000
35 8.6000000000
38 9.6000000000
48 10.0000000000
86 10.2000000000
98 10.4000000000
101 10.6000000000
123 11.6000000000
158 11.8000000000
171 12.0000000000
217 12.4000000000
264 12.6000000000
265 12.8000000000
274 13.0000000000
291 13.2000000000
293 13.4000000000
313 13.6000000000
321 13.8000000000
341 14.0000000000
376 14.2000000000
386 14.8000000000
520 15.0000000000
580 15.2000000000
615 15.4000000000
667 15.6000000000
734 15.8000000000
779 16.0000000000
891 16.2000000000
953 16.4000000000
100010 16.4000000000
evaluations raw_y
1 7.0000000000
3 9.6000000000
34 10.4000000000
51 10.8000000000
87 11.0000000000
95 11.4000000000
100 11.6000000000
125 11.8000000000
143 12.0000000000
156 12.2000000000
174 12.4000000000
177 12.6000000000
216 12.8000000000
231 13.0000000000
259 13.2000000000
276 13.4000000000
281 13.6000000000
325 13.8000000000
341 14.0000000000
380 14.2000000000
407 14.4000000000
472 14.6000000000
512 14.8000000000
556 15.0000000000
586 15.2000000000
617 15.4000000000
709 15.6000000000
759 15.8000000000
910 16.0000000000
1404 16.2000000000
1535 16.4000000000
100010 16.4000000000
evaluations raw_y
1 6.8000000000
3 8.2000000000
10 9.2000000000
41 9.4000000000
44 9.6000000000
52 10.0000000000
59 10.4000000000
66 10.6000000000
77 10.8000000000
98 11.4000000000
120 11.6000000000
126 11.8000000000
156 12.0000000000
170 12.2000000000
189 12.4000000000
199 12.6000000000
248 12.8000000000
261 13.0000000000
292 13.2000000000
297 13.4000000000
314 13.6000000000
325 13.8000000000
361 14.0000000000
372 14.2000000000
409 14.4000000000
443 14.6000000000
525 14.8000000000
553 15.0000000000
603 15.2000000000
712 15.4000000000
878 15.6000000000
1035 15.8000000000
1066 16.0000000000
1172 16.2000000000
1753 16.4000000000
100010 15.8000000000
evaluations raw_y
1 6.4000000000
2 7.6000000000
14 7.8000000000
21 8.0000000000
23 8.6000000000
25 9.0000000000
28 9.4000000000
65 9.8000000000
68 10.0000000000
96 10.2000000000
102 10.4000000000
114 10.6000000000
136 11.0000000000
147 11.2000000000
170 11.4000000000
190 11.8000000000
203 12.0000000000
207 12.2000000000
239 12.4000000000
255 12.6000000000
271 12.8000000000
288 13.2000000000
307 13.4000000000
333 13.6000000000
341 13.8000000000
357 14.0000000000
378 14.2000000000
386 14.4000000000
410 14.8000000000
449 15.0000000000
485 15.2000000000
569 15.4000000000
579 15.6000000000
656 15.8000000000
801 16.0000000000
876 16.2000000000
936 16.4000000000
100010 16.4000000000
evaluations raw_y
1 7.2000000000
11 8.6000000000
17 8.8000000000
21 9.0000000000
47 9.2000000000
72 10.2000000000
84 10.4000000000
95 10.6000000000
98 11.0000000000
99 11.6000000000
145 11.8000000000
148 12.0000000000
179 12.2000000000
193 12.4000000000
211 12.6000000000
251 12.8000000000
272 13.0000000000
275 13.2000000000
286 13.4000000000
329 13.6000000000
376 13.8000000000
404 14.0000000000
426 14.2000000000
460 14.4000000000
466 14.6000000000
483 14.8000000000
498 15.0000000000
536 15.2000000000
574 15.4000000000
585 15.6000000000
668 15.8000000000
708 16.0000000000
748 16.2000000000
783 16.4000000000
989 16.6000000000
1276 16.8000000000
100010 16.4000000000
