evaluations raw_y
1 -0.4892881153
6 -0.4887565855
10 -0.4704677233
23 -0.4691261746
25 -0.4649316923
29 -0.4421762321
39 -0.4406629861
41 -0.4227673648
75 -0.4181587949
85 -0.4087992412
92 -0.3987851062
104 -0.3960194780
122 -0.3903245589
133 -0.3898810742
135 -0.3878645536
144 -0.3780816514
166 -0.3768932874
179 -0.3755463466
188 -0.3726482579
201 -0.3706478434
203 -0.3687755878
208 -0.3641168946
209 -0.3636147452
220 -0.3633503517
221 -0.3600516297
229 -0.3571928739
257 -0.3565720752
286 -0.3560021912
352 -0.3552787356
362 -0.3544360793
387 -0.3470270034
409 -0.3451393945
432 -0.3438862909
449 -0.3381686537
461 -0.3376041565
470 -0.3375465266
482 -0.3310507978
508 -0.3295768032
520 -0.3265938920
524 -0.3265369102
529 -0.3250629156
542 -0.3229209340
581 -0.3216804004
739 -0.3210638181
758 -0.3208569086
826 -0.3208485234
970 -0.3201524726
978 -0.3200375987
1002 -0.3199602912
1004 -0.3193415479
1007 -0.3155219905
1043 -0.3153298091
1624 -0.3114451286
40585 -0.3104264111
40623 -0.3098565271
41280 -0.3097301217
41603 -0.3044104858
100010 -0.3044104858
evaluations raw_y
1 -0.4748132250
14 -0.4737467437
17 -0.4465829478
28 -0.4335772521
39 -0.4291246791
49 -0.4191518838
74 -0.4164490108
96 -0.4161921525
105 -0.4143070292
111 -0.4133696435
114 -0.4092053162
149 -0.4059550954
155 -0.4050177097
171 -0.4033666115
181 -0.4024292258
205 -0.4009552313
219 -0.3966271592
249 -0.3951531647
265 -0.3890887773
266 -0.3890105211
274 -0.3876147827
275 -0.3867988904
284 -0.3826615202
298 -0.3814813848
304 -0.3800073902
310 -0.3750195301
324 -0.3734849518
336 -0.3676250594
341 -0.3649709294
357 -0.3633547804
368 -0.3615306402
385 -0.3607525486
408 -0.3601359663
422 -0.3568739191
443 -0.3545944707
454 -0.3519539448
471 -0.3516223707
497 -0.3509558943
509 -0.3454577090
520 -0.3447912326
537 -0.3435988025
554 -0.3425897906
569 -0.3354719347
669 -0.3236797799
739 -0.3222057853
772 -0.3198454552
806 -0.3195214169
1030 -0.3195130318
1057 -0.3177184645
1151 -0.3171018822
1198 -0.3133377893
1260 -0.3058168156
1280 -0.3058084304
1353 -0.3045781403
56779 -0.3044603327
57670 -0.2991011370
80920 -0.2975125356
81095 -0.2973861301
81635 -0.2920664943
100010 -0.2920664943
evaluations raw_y
1 -0.4743809990
9 -0.4627180824
17 -0.4398927557
32 -0.4247075740
58 -0.4226711107
71 -0.4177648207
76 -0.4167568476
78 -0.4043651991
86 -0.4032368976
93 -0.3914707621
112 -0.3906106107
118 -0.3811999409
150 -0.3809100025
160 -0.3793969885
193 -0.3760622795
220 -0.3750532676
231 -0.3734737956
280 -0.3729897530
283 -0.3717687329
287 -0.3616816408
354 -0.3610962021
359 -0.3573164550
381 -0.3554013545
383 -0.3544006015
397 -0.3500924786
413 -0.3482535056
422 -0.3438883198
440 -0.3384674888
472 -0.3358133588
490 -0.3351173080
530 -0.3346371880
572 -0.3298256565
586 -0.3288166447
630 -0.3257603916
640 -0.3235589496
676 -0.3220849551
731 -0.3214683728
