evaluations raw_y
1 0.0000000000
3 1.0000000000
4 3.0000000000
8 4.0000000000
296 14.0000000000
306 15.0000000000
355 16.0000000000
374 19.0000000000
414 20.0000000000
886 21.0000000000
1099 51.0000000000
2188 100.0000000000
evaluations raw_y
1 2.0000000000
2 3.0000000000
101 5.0000000000
153 11.0000000000
271 25.0000000000
448 28.0000000000
1052 52.0000000000
1075 53.0000000000
1168 62.0000000000
1340 65.0000000000
1370 100.0000000000
evaluations raw_y
1 0.0000000000
2 4.0000000000
39 10.0000000000
145 11.0000000000
495 27.0000000000
776 34.0000000000
938 44.0000000000
949 61.0000000000
954 70.0000000000
1393 87.0000000000
1740 100.0000000000
evaluations raw_y
1 1.0000000000
6 3.0000000000
26 4.0000000000
76 5.0000000000
176 24.0000000000
225 25.0000000000
469 29.0000000000
563 33.0000000000
818 61.0000000000
914 79.0000000000
962 87.0000000000
1145 88.0000000000
1197 93.0000000000
1218 94.0000000000
1435 100.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
5 2.0000000000
13 5.0000000000
175 10.0000000000
362 12.0000000000
427 15.0000000000
1153 64.0000000000
1511 69.0000000000
1622 90.0000000000
1712 100.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
6 2.0000000000
9 3.0000000000
14 4.0000000000
21 7.0000000000
174 8.0000000000
632 46.0000000000
846 59.0000000000
1284 87.0000000000
1296 95.0000000000
1436 100.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
6 6.0000000000
18 7.0000000000
42 9.0000000000
171 11.0000000000
184 16.0000000000
493 32.0000000000
818 52.0000000000
839 61.0000000000
1125 74.0000000000
1263 78.0000000000
1270 81.0000000000
1391 91.0000000000
1804 96.0000000000
2183 100.0000000000
evaluations raw_y
1 2.0000000000
7 3.0000000000
11 4.0000000000
32 5.0000000000
35 6.0000000000
675 31.0000000000
696 34.0000000000
723 35.0000000000
1253 50.0000000000
1461 51.0000000000
1472 93.0000000000
3135 100.0000000000
evaluations raw_y
1 0.0000000000
9 1.0000000000
36 2.0000000000
61 11.0000000000
80 12.0000000000
259 13.0000000000
312 14.0000000000
462 23.0000000000
1198 57.0000000000
1212 88.0000000000
2009 93.0000000000
2156 100.0000000000
evaluations raw_y
1 0.0000000000
3 2.0000000000
8 4.0000000000
19 6.0000000000
21 7.0000000000
24 9.0000000000
144 20.0000000000
164 21.0000000000
276 23.0000000000
460 47.0000000000
488 56.0000000000
645 71.0000000000
684 73.0000000000
898 74.0000000000
1123 86.0000000000
1373 93.0000000000
1486 95.0000000000
2321 100.0000000000
