evaluations raw_y
1 2561.0000000000
2 3165.0000000000
17 3203.0000000000
20 3262.0000000000
34 3265.0000000000
35 3429.0000000000
43 3442.0000000000
48 3600.0000000000
61 3758.0000000000
62 3793.0000000000
66 3907.0000000000
71 3976.0000000000
79 4018.0000000000
87 4097.0000000000
97 4143.0000000000
98 4208.0000000000
100 4222.0000000000
102 4290.0000000000
122 4328.0000000000
127 4345.0000000000
128 4363.0000000000
131 4383.0000000000
133 4387.0000000000
147 4423.0000000000
159 4472.0000000000
164 4478.0000000000
210 4483.0000000000
223 4508.0000000000
228 4518.0000000000
231 4529.0000000000
242 4603.0000000000
259 4616.0000000000
269 4650.0000000000
282 4671.0000000000
288 4681.0000000000
306 4696.0000000000
318 4714.0000000000
322 4761.0000000000
344 4774.0000000000
354 4821.0000000000
360 4827.0000000000
405 4841.0000000000
430 4850.0000000000
475 4862.0000000000
478 4893.0000000000
507 4947.0000000000
569 4951.0000000000
586 4963.0000000000
592 4967.0000000000
605 4972.0000000000
620 4994.0000000000
667 4997.0000000000
717 5023.0000000000
847 5035.0000000000
1209 5036.0000000000
1389 5039.0000000000
1392 5047.0000000000
1400 5050.0000000000
evaluations raw_y
1 2787.0000000000
7 2894.0000000000
10 3035.0000000000
37 3081.0000000000
38 3217.0000000000
40 3265.0000000000
46 3268.0000000000
51 3270.0000000000
56 3281.0000000000
67 3426.0000000000
86 3433.0000000000
92 3542.0000000000
108 3576.0000000000
115 3591.0000000000
116 3600.0000000000
121 3623.0000000000
131 3633.0000000000
134 3636.0000000000
137 3688.0000000000
150 3692.0000000000
152 3717.0000000000
156 3742.0000000000
161 3783.0000000000
163 3797.0000000000
174 3837.0000000000
176 3931.0000000000
185 3933.0000000000
190 4037.0000000000
204 4063.0000000000
209 4064.0000000000
213 4073.0000000000
219 4108.0000000000
233 4143.0000000000
237 4179.0000000000
241 4215.0000000000
254 4236.0000000000
257 4328.0000000000
294 4345.0000000000
299 4360.0000000000
309 4375.0000000000
313 4402.0000000000
328 4407.0000000000
329 4418.0000000000
337 4420.0000000000
346 4450.0000000000
368 4452.0000000000
372 4475.0000000000
378 4490.0000000000
380 4546.0000000000
392 4575.0000000000
425 4604.0000000000
455 4607.0000000000
491 4608.0000000000
496 4702.0000000000
528 4731.0000000000
541 4732.0000000000
555 4738.0000000000
648 4777.0000000000
667 4815.0000000000
693 4829.0000000000
725 4868.0000000000
745 4878.0000000000
753 4890.0000000000
836 4911.0000000000
872 4950.0000000000
890 4977.0000000000
1090 5025.0000000000
1205 5047.0000000000
1942 5050.0000000000
evaluations raw_y
1 2286.0000000000
2 2465.0000000000
5 2751.0000000000
10 2939.0000000000
13 2990.0000000000
24 3090.0000000000
31 3247.0000000000
35 3348.0000000000
39 3426.0000000000
50 3431.0000000000
55 3463.0000000000
58 3487.0000000000
59 3669.0000000000
88 3706.0000000000
93 3780.0000000000
116 3831.0000000000
127 3864.0000000000
137 3891.0000000000
146 4013.0000000000
149 4016.0000000000
180 4096.0000000000
204 4158.0000000000
218 4184.0000000000
252 4224.0000000000
253 4250.0000000000
259 4270.0000000000
269 4313.0000000000
273 4366.0000000000
276 4419.0000000000
323 4428.0000000000
331 4439.0000000000
344 4491.0000000000
357 4502.0000000000
363 4527.0000000000
372 4547.0000000000
379 4583.0000000000
405 4627.0000000000
426 4639.0000000000
444 4647.0000000000
459 4681.0000000000
501 4687.0000000000
507 4694.0000000000
517 4729.0000000000
524 4764.0000000000
531 4818.0000000000
543 4852.0000000000
578 4895.0000000000
644 4931.0000000000
647 4942.0000000000
669 4959.0000000000
720 4965.0000000000
736 4987.0000000000
800 5018.0000000000
967 5024.0000000000
1055 5036.0000000000
1525 5050.0000000000
evaluations raw_y
1 2935.0000000000
3 3295.0000000000
16 3335.0000000000
21 3371.0000000000
28 3397.0000000000
35 3680.0000000000
36 3779.0000000000
55 3906.0000000000
59 4008.0000000000
76 4069.0000000000
87 4074.0000000000
90 4085.0000000000
108 4088.0000000000
113 4157.0000000000
125 4178.0000000000
144 4289.0000000000
149 4302.0000000000
175 4314.0000000000
185 4403.0000000000
187 4435.0000000000
190 4448.0000000000
209 4472.0000000000
226 4511.0000000000
238 4533.0000000000
251 4536.0000000000
256 4548.0000000000
271 4560.0000000000
277 4587.0000000000
291 4592.0000000000
292 4657.0000000000
322 4660.0000000000
344 4677.0000000000
348 4682.0000000000
396 4702.0000000000
398 4728.0000000000
403 4735.0000000000
441 4753.0000000000
502 4765.0000000000
519 4796.0000000000
536 4808.0000000000
568 4813.0000000000
573 4825.0000000000
591 4835.0000000000
601 4837.0000000000
603 4849.0000000000
635 4862.0000000000
665 4874.0000000000
703 4928.0000000000
791 5009.0000000000
848 5020.0000000000
895 5028.0000000000
1291 5050.0000000000
evaluations raw_y
1 2650.0000000000
4 2728.0000000000
5 2791.0000000000
6 2806.0000000000
14 2849.0000000000
19 3035.0000000000
24 3154.0000000000
29 3160.0000000000
36 3258.0000000000
39 3270.0000000000
41 3360.0000000000
48 3446.0000000000
55 3448.0000000000
66 3454.0000000000
79 3461.0000000000
84 3570.0000000000
90 3574.0000000000
92 3592.0000000000
93 3638.0000000000
97 3643.0000000000
106 3737.0000000000
111 3840.0000000000
137 3842.0000000000
146 3852.0000000000
150 3901.0000000000
151 3904.0000000000
153 3983.0000000000
161 4030.0000000000
166 4063.0000000000
168 4127.0000000000
174 4130.0000000000
183 4207.0000000000
195 4225.0000000000
221 4227.0000000000
235 4242.0000000000
238 4245.0000000000
242 4263.0000000000
253 4363.0000000000
287 4405.0000000000
293 4420.0000000000
306 4422.0000000000
347 4438.0000000000
359 4484.0000000000
384 4574.0000000000
405 4619.0000000000
442 4692.0000000000
478 4721.0000000000
499 4724.0000000000
536 4810.0000000000
570 4848.0000000000
581 4889.0000000000
710 4896.0000000000
750 4905.0000000000
761 4919.0000000000
765 4933.0000000000
776 4945.0000000000
893 4974.0000000000
940 4992.0000000000
965 5008.0000000000
1238 5027.0000000000
1282 5050.0000000000
evaluations raw_y
1 2985.0000000000
26 3054.0000000000
32 3111.0000000000
35 3213.0000000000
39 3277.0000000000
44 3448.0000000000
52 3457.0000000000
55 3510.0000000000
70 3616.0000000000
78 3661.0000000000
86 3682.0000000000
89 3686.0000000000
96 3723.0000000000
111 3762.0000000000
122 3854.0000000000
141 3872.0000000000
145 3930.0000000000
146 3931.0000000000
149 3988.0000000000
150 3991.0000000000
165 3993.0000000000
177 3994.0000000000
179 4091.0000000000
198 4163.0000000000
219 4176.0000000000
233 4182.0000000000
237 4338.0000000000
264 4339.0000000000
267 4428.0000000000
295 4477.0000000000
296 4501.0000000000
301 4502.0000000000
325 4575.0000000000
341 4587.0000000000
369 4607.0000000000
391 4638.0000000000
393 4698.0000000000
406 4700.0000000000
412 4717.0000000000
416 4730.0000000000
430 4760.0000000000
453 4779.0000000000
534 4792.0000000000
538 4794.0000000000
558 4800.0000000000
562 4867.0000000000
590 4880.0000000000
663 4885.0000000000
689 4902.0000000000
715 4947.0000000000
755 4962.0000000000
828 4971.0000000000
905 5024.0000000000
915 5030.0000000000
977 5031.0000000000
1036 5037.0000000000
1196 5048.0000000000
1516 5050.0000000000
evaluations raw_y
1 2189.0000000000
2 2504.0000000000
3 3114.0000000000
26 3186.0000000000
37 3210.0000000000
40 3337.0000000000
51 3374.0000000000
53 3384.0000000000
56 3422.0000000000
58 3502.0000000000
73 3548.0000000000
85 3562.0000000000
90 3582.0000000000
91 3610.0000000000
95 3645.0000000000
97 3683.0000000000
103 3707.0000000000
112 3812.0000000000
125 3870.0000000000
129 3891.0000000000
145 3964.0000000000
171 3976.0000000000
181 4017.0000000000
185 4048.0000000000
197 4088.0000000000
217 4118.0000000000
221 4170.0000000000
256 4239.0000000000
258 4246.0000000000
264 4315.0000000000
281 4336.0000000000
294 4344.0000000000
303 4365.0000000000
312 4432.0000000000
322 4460.0000000000
339 4464.0000000000
343 4511.0000000000
350 4550.0000000000
410 4556.0000000000
419 4564.0000000000
441 4607.0000000000
452 4627.0000000000
453 4630.0000000000
454 4637.0000000000
469 4647.0000000000
473 4657.0000000000
491 4674.0000000000
497 4676.0000000000
515 4699.0000000000
532 4721.0000000000
543 4728.0000000000
588 4734.0000000000
605 4749.0000000000
606 4794.0000000000
679 4807.0000000000
685 4848.0000000000
736 4869.0000000000
793 4881.0000000000
801 4883.0000000000
854 4943.0000000000
949 4971.0000000000
1017 4984.0000000000
1042 4999.0000000000
1064 5007.0000000000
1082 5035.0000000000
1120 5043.0000000000
1214 5044.0000000000
1691 5050.0000000000
evaluations raw_y
1 2787.0000000000
6 2970.0000000000
23 3075.0000000000
32 3340.0000000000
40 3352.0000000000
51 3416.0000000000
53 3491.0000000000
72 3494.0000000000
75 3520.0000000000
77 3538.0000000000
79 3539.0000000000
81 3545.0000000000
83 3658.0000000000
110 3660.0000000000
115 3665.0000000000
116 3855.0000000000
131 3869.0000000000
138 3871.0000000000
146 3880.0000000000
162 3930.0000000000
166 3937.0000000000
171 3941.0000000000
173 3966.0000000000
186 4039.0000000000
215 4050.0000000000
245 4090.0000000000
258 4101.0000000000
268 4133.0000000000
274 4137.0000000000
280 4139.0000000000
293 4163.0000000000
295 4195.0000000000
297 4245.0000000000
302 4303.0000000000
327 4332.0000000000
350 4360.0000000000
354 4362.0000000000
356 4366.0000000000
365 4402.0000000000
378 4425.0000000000
389 4431.0000000000
400 4495.0000000000
444 4560.0000000000
461 4566.0000000000
469 4581.0000000000
484 4669.0000000000
514 4677.0000000000
525 4720.0000000000
540 4758.0000000000
581 4773.0000000000
594 4800.0000000000
596 4806.0000000000
669 4822.0000000000
793 4876.0000000000
903 4886.0000000000
939 4889.0000000000
998 4913.0000000000
1005 4917.0000000000
1030 4920.0000000000
1052 4924.0000000000
1089 4926.0000000000
1230 4954.0000000000
1376 4969.0000000000
1402 4988.0000000000
1462 5001.0000000000
1833 5050.0000000000
evaluations raw_y
1 2867.0000000000
3 2878.0000000000
5 2902.0000000000
14 2944.0000000000
21 3224.0000000000
37 3258.0000000000
44 3326.0000000000
46 3377.0000000000
48 3533.0000000000
68 3566.0000000000
72 3579.0000000000
74 3585.0000000000
77 3804.0000000000
96 3839.0000000000
100 3910.0000000000
120 3921.0000000000
126 3930.0000000000
133 4050.0000000000
145 4079.0000000000
159 4110.0000000000
171 4123.0000000000
178 4125.0000000000
183 4131.0000000000
185 4138.0000000000
196 4154.0000000000
212 4159.0000000000
221 4209.0000000000
238 4236.0000000000
246 4239.0000000000
250 4241.0000000000
255 4247.0000000000
257 4315.0000000000
262 4353.0000000000
285 4427.0000000000
307 4430.0000000000
310 4474.0000000000
311 4546.0000000000
337 4557.0000000000
339 4586.0000000000
350 4603.0000000000
382 4609.0000000000
390 4614.0000000000
391 4637.0000000000
406 4649.0000000000
436 4662.0000000000
441 4741.0000000000
452 4758.0000000000
474 4763.0000000000
484 4780.0000000000
490 4794.0000000000
491 4826.0000000000
498 4884.0000000000
560 4924.0000000000
593 4962.0000000000
673 4964.0000000000
755 4972.0000000000
816 4999.0000000000
925 5005.0000000000
980 5007.0000000000
987 5010.0000000000
1591 5029.0000000000
1631 5038.0000000000
1938 5049.0000000000
1960 5050.0000000000
evaluations raw_y
1 2302.0000000000
3 2535.0000000000
4 2856.0000000000
18 2915.0000000000
21 3014.0000000000
26 3106.0000000000
42 3142.0000000000
44 3148.0000000000
48 3216.0000000000
52 3359.0000000000
58 3544.0000000000
66 3573.0000000000
73 3632.0000000000
85 3686.0000000000
102 3731.0000000000
111 3738.0000000000
125 3758.0000000000
130 3796.0000000000
131 3802.0000000000
134 3809.0000000000
135 3810.0000000000
140 3868.0000000000
157 3965.0000000000
187 4008.0000000000
196 4123.0000000000
250 4163.0000000000
287 4182.0000000000
292 4225.0000000000
297 4266.0000000000
298 4329.0000000000
300 4341.0000000000
315 4435.0000000000
320 4477.0000000000
354 4588.0000000000
375 4593.0000000000
386 4611.0000000000
392 4618.0000000000
416 4664.0000000000
442 4706.0000000000
481 4739.0000000000
511 4782.0000000000
527 4807.0000000000
539 4829.0000000000
555 4875.0000000000
587 4878.0000000000
621 4908.0000000000
694 4920.0000000000
706 4947.0000000000
710 4959.0000000000
762 4973.0000000000
1042 4976.0000000000
1101 5020.0000000000
1164 5026.0000000000
1370 5045.0000000000
1705 5050.0000000000
