evaluations raw_y
1 1.1655011655
4 1.2285012285
5 1.3609145346
18 1.4196479273
21 1.4560279557
35 1.6436554898
116 1.6567263088
117 1.7667844523
210 1.7818959373
272 1.8288222385
292 1.9157088123
316 1.9334880124
336 1.9920318725
363 2.0048115477
374 2.4925224327
581 2.5641025641
681 2.5853154085
705 2.5960539979
778 2.7382256298
1038 3.0303030303
1084 3.1133250311
1363 3.1289111389
1603 3.1446540881
1732 3.1525851198
1801 3.2175032175
2687 3.3288948069
2813 3.3738191633
2818 3.5063113604
2995 3.5765379113
3855 3.7593984962
4735 3.7707390649
4965 3.7936267071
5122 3.8284839204
13950 3.8520801233
18358 3.9123630673
100010 3.9123630673
evaluations raw_y
1 0.7732755954
2 0.9980039920
3 1.1096316023
6 1.1600928074
9 1.2370113805
13 1.6371971185
76 1.7182130584
133 1.7895490336
155 1.9952114924
222 2.1385799829
248 2.2143489814
262 2.4154589372
279 2.4630541872
332 2.5025025025
381 2.8506271380
401 3.1525851198
422 3.3288948069
795 3.3738191633
882 3.5868005739
1015 3.7481259370
1863 3.7707390649
1884 3.8759689922
52803 3.8880248834
54453 4.1876046901
54877 4.2444821732
55033 4.2589437819
55117 4.3630017452
55237 4.3782837128
66958 4.4404973357
67186 4.5871559633
100010 4.5871559633
evaluations raw_y
1 0.9054690330
2 1.5673981191
20 1.5733165513
41 1.6244314490
129 1.6307893020
142 1.8076644975
154 2.1834061135
208 2.2624434389
241 2.2747952684
271 2.4108003857
298 2.6014568158
318 2.6123301985
406 2.7746947836
843 2.8636884307
1039 2.8835063437
1046 2.9171528588
1469 2.9377203290
1491 3.0599755202
1703 3.2175032175
1956 3.2594524120
2336 3.4013605442
2568 3.5663338088
49078 3.5971223022
51050 3.6496350365
100010 2.4582104228
evaluations raw_y
1 0.6715014773
2 1.1473152822
5 1.3713658804
27 1.3912075682
85 1.5142337977
104 1.5346838551
113 1.6812373907
116 1.7946877243
200 1.9731649566
220 1.9888623707
226 2.1097046414
294 2.1349274125
335 2.1570319241
338 2.1645021645
387 2.2301516503
396 2.2542831380
398 2.3518344309
429 2.3651844844
444 2.4108003857
515 2.4295432459
546 2.5906735751
565 2.8835063437
574 3.0978934325
839 3.1605562579
920 3.5063113604
1051 3.5161744023
1219 3.5360678925
1565 3.6284470247
2058 3.7257824143
3219 3.7369207773
3990 4.0128410915
4672 4.0783034258
100010 2.0210185934
evaluations raw_y
1 1.5576323988
18 1.6350555919
71 1.6722408027
138 1.8315018315
154 1.8698578908
249 1.9920318725
265 2.1061499579
277 2.2956841139
355 2.5906735751
409 2.7382256298
627 2.9103608847
917 2.9940119760
1060 3.1525851198
1170 3.3377837116
1756 3.5971223022
2115 3.6710719530
18368 3.7821482602
33772 3.8284839204
100010 2.1720243267
evaluations raw_y
1 0.8454514711
2 1.0068465566
3 1.2431626057
4 1.2531328321
7 1.2960082945
9 1.3220518244
18 1.4148273911
30 1.5384615385
46 1.5479876161
54 1.6589250166
89 1.8982536067
105 2.1168501270
174 2.2747952684
216 2.4727992087
356 2.5746652935
444 2.6680896478
659 2.7563395810
977 2.8184892897
994 2.9377203290
1137 2.9655990510
1235 3.0450669915
1456 3.0674846626
2137 3.1055900621
2695 3.2425421530
3008 3.3025099075
3234 3.3112582781
3322 3.3200531208
3422 3.4199726402
3723 3.4482758621
3785 3.6496350365
3987 3.7037037037
4930 3.9001560062
34759 3.9246467818
35151 4.0916530278
100010 2.2261798753
evaluations raw_y
1 0.9877518767
2 1.0789814415
3 1.1317338162
4 1.1698642957
7 1.2345679012
10 1.4021312395
29 1.4492753623
43 1.5234613041
45 1.5290519878
52 1.6789791807
82 1.9069412662
205 1.9364833462
252 1.9577133908
274 2.0080321285
277 2.1097046414
294 2.5960539979
417 2.6343519494
447 2.7085590466
630 2.7995520717
929 2.9940119760
930 3.0978934325
1086 3.2851511170
2082 3.3112582781
2122 3.4674063800
4155 3.6390101892
4734 3.6927621861
100010 2.3430178069
evaluations raw_y
1 1.2827090816
10 1.3027618551
16 1.6015374760
62 1.8102824041
140 1.8395879323
170 1.9888623707
320 2.1949078139
324 2.5432349949
730 2.5641025641
930 2.5746652935
997 2.6343519494
1140 2.8636884307
1266 3.0376670717
1310 3.3829499323
1428 3.5971223022
1689 3.6927621861
2409 3.7707390649
3292 3.9246467818
3303 4.1736227045
100010 2.2301516503
evaluations raw_y
1 1.1887779363
8 1.2001920307
22 1.2025012025
23 1.2893243940
24 1.3192612137
60 1.4310246136
61 1.5537600994
63 1.6139444803
68 1.7397355602
69 2.0048115477
154 2.0475020475
217 2.1276595745
218 2.2341376229
243 2.2914757104
311 2.3832221163
339 2.4437927664
373 2.7322404372
429 2.8441410694
485 2.8636884307
511 3.0376670717
559 3.1133250311
567 3.3377837116
927 3.4199726402
1036 3.5868005739
1287 3.6390101892
1530 3.6496350365
1767 3.6710719530
1781 3.9123630673
1787 4.1322314050
2223 4.2016806723
10599 4.2301184433
12055 4.3327556326
23720 4.3936731107
100010 1.5346838551
evaluations raw_y
1 0.9800078401
4 1.1956001913
6 1.3912075682
10 1.5954052329
59 1.9011406844
109 1.9546520719
141 1.9638648861
147 2.0374898126
180 2.1168501270
194 2.5329280648
253 2.7382256298
399 2.7932960894
419 3.4199726402
706 3.4867503487
1076 3.6603221083
2077 3.7821482602
15181 3.9494470774
21706 3.9745627981
23106 3.9872408293
100010 2.6232948583
