evaluations raw_y
1 45.0000000000
3 58.0000000000
14 59.0000000000
18 60.0000000000
27 62.0000000000
28 65.0000000000
42 67.0000000000
65 68.0000000000
75 69.0000000000
109 70.0000000000
115 71.0000000000
126 74.0000000000
162 75.0000000000
165 76.0000000000
174 77.0000000000
187 78.0000000000
190 79.0000000000
220 80.0000000000
252 82.0000000000
283 83.0000000000
301 84.0000000000
323 86.0000000000
340 87.0000000000
345 88.0000000000
414 90.0000000000
446 91.0000000000
477 93.0000000000
541 94.0000000000
623 95.0000000000
670 96.0000000000
705 99.0000000000
783 100.0000000000
evaluations raw_y
1 52.0000000000
5 60.0000000000
28 62.0000000000
36 64.0000000000
51 65.0000000000
67 67.0000000000
79 68.0000000000
87 71.0000000000
110 72.0000000000
132 74.0000000000
150 75.0000000000
156 78.0000000000
184 79.0000000000
195 80.0000000000
218 82.0000000000
289 83.0000000000
318 84.0000000000
348 87.0000000000
417 88.0000000000
446 89.0000000000
484 90.0000000000
498 91.0000000000
503 92.0000000000
554 93.0000000000
604 94.0000000000
613 96.0000000000
645 97.0000000000
776 98.0000000000
849 99.0000000000
897 100.0000000000
evaluations raw_y
1 54.0000000000
10 59.0000000000
14 64.0000000000
52 66.0000000000
58 67.0000000000
69 69.0000000000
76 70.0000000000
91 71.0000000000
95 73.0000000000
97 74.0000000000
110 75.0000000000
118 77.0000000000
125 78.0000000000
143 79.0000000000
184 82.0000000000
193 83.0000000000
195 85.0000000000
238 86.0000000000
242 89.0000000000
291 91.0000000000
301 93.0000000000
375 95.0000000000
409 96.0000000000
437 97.0000000000
554 98.0000000000
613 99.0000000000
902 100.0000000000
evaluations raw_y
1 49.0000000000
4 51.0000000000
6 53.0000000000
7 54.0000000000
10 58.0000000000
16 59.0000000000
26 60.0000000000
48 62.0000000000
63 65.0000000000
79 66.0000000000
88 67.0000000000
100 68.0000000000
107 69.0000000000
111 70.0000000000
127 71.0000000000
131 74.0000000000
164 78.0000000000
178 79.0000000000
195 80.0000000000
203 81.0000000000
212 82.0000000000
213 83.0000000000
226 85.0000000000
277 87.0000000000
333 89.0000000000
374 91.0000000000
383 92.0000000000
411 93.0000000000
472 94.0000000000
508 95.0000000000
549 96.0000000000
667 97.0000000000
775 98.0000000000
980 99.0000000000
1916 100.0000000000
evaluations raw_y
1 47.0000000000
2 50.0000000000
3 52.0000000000
6 56.0000000000
18 57.0000000000
29 59.0000000000
36 62.0000000000
41 63.0000000000
47 65.0000000000
49 66.0000000000
57 67.0000000000
69 69.0000000000
73 71.0000000000
93 72.0000000000
95 75.0000000000
123 79.0000000000
172 81.0000000000
197 82.0000000000
198 83.0000000000
229 84.0000000000
238 86.0000000000
254 87.0000000000
266 88.0000000000
301 89.0000000000
344 90.0000000000
353 91.0000000000
365 93.0000000000
484 95.0000000000
585 96.0000000000
651 97.0000000000
674 98.0000000000
724 99.0000000000
923 100.0000000000
evaluations raw_y
1 53.0000000000
3 56.0000000000
12 58.0000000000
33 59.0000000000
41 60.0000000000
45 61.0000000000
54 62.0000000000
60 63.0000000000
64 64.0000000000
68 65.0000000000
73 66.0000000000
91 70.0000000000
112 71.0000000000
116 73.0000000000
120 75.0000000000
144 77.0000000000
178 79.0000000000
203 80.0000000000
239 81.0000000000
249 84.0000000000
262 85.0000000000
303 86.0000000000
335 87.0000000000
355 89.0000000000
360 90.0000000000
446 92.0000000000
569 95.0000000000
632 96.0000000000
720 97.0000000000
867 98.0000000000
878 100.0000000000
evaluations raw_y
1 55.0000000000
18 56.0000000000
23 60.0000000000
36 66.0000000000
63 67.0000000000
74 69.0000000000
77 70.0000000000
94 71.0000000000
100 72.0000000000
116 73.0000000000
126 74.0000000000
136 76.0000000000
162 77.0000000000
163 79.0000000000
179 82.0000000000
183 83.0000000000
212 84.0000000000
231 85.0000000000
241 87.0000000000
276 88.0000000000
296 92.0000000000
330 93.0000000000
382 94.0000000000
461 97.0000000000
501 98.0000000000
843 99.0000000000
1158 100.0000000000
evaluations raw_y
1 55.0000000000
9 57.0000000000
20 61.0000000000
40 62.0000000000
42 68.0000000000
58 69.0000000000
85 70.0000000000
89 71.0000000000
94 72.0000000000
106 74.0000000000
129 75.0000000000
138 77.0000000000
165 80.0000000000
167 81.0000000000
176 82.0000000000
188 84.0000000000
205 85.0000000000
264 86.0000000000
283 87.0000000000
287 89.0000000000
329 90.0000000000
362 91.0000000000
389 93.0000000000
490 94.0000000000
558 95.0000000000
627 96.0000000000
640 97.0000000000
714 98.0000000000
772 99.0000000000
911 100.0000000000
evaluations raw_y
1 55.0000000000
13 57.0000000000
17 61.0000000000
51 63.0000000000
55 65.0000000000
58 67.0000000000
63 68.0000000000
75 70.0000000000
82 71.0000000000
83 72.0000000000
92 73.0000000000
126 74.0000000000
131 76.0000000000
145 78.0000000000
163 81.0000000000
177 85.0000000000
207 86.0000000000
224 87.0000000000
232 88.0000000000
242 90.0000000000
246 91.0000000000
278 92.0000000000
280 94.0000000000
313 95.0000000000
405 96.0000000000
486 98.0000000000
572 99.0000000000
614 100.0000000000
evaluations raw_y
1 46.0000000000
2 58.0000000000
7 62.0000000000
9 65.0000000000
30 66.0000000000
33 68.0000000000
53 69.0000000000
68 72.0000000000
83 74.0000000000
92 75.0000000000
104 77.0000000000
109 80.0000000000
134 82.0000000000
167 83.0000000000
174 85.0000000000
186 88.0000000000
221 89.0000000000
228 91.0000000000
259 92.0000000000
328 93.0000000000
336 94.0000000000
359 95.0000000000
377 96.0000000000
492 98.0000000000
667 99.0000000000
700 100.0000000000
