evaluations raw_y
1 -1050.0000000000
8 -1001.0000000000
15 -953.0000000000
23 -797.0000000000
54 -768.0000000000
71 -690.0000000000
99 -632.0000000000
105 -622.0000000000
114 -612.0000000000
123 -544.0000000000
135 -486.0000000000
139 -428.0000000000
148 -408.0000000000
156 -331.0000000000
165 -311.0000000000
172 -302.0000000000
190 -225.0000000000
219 -215.0000000000
226 -205.0000000000
252 -167.0000000000
283 -166.0000000000
288 -158.0000000000
324 -149.0000000000
329 -139.0000000000
339 -138.0000000000
350 -119.0000000000
367 -108.0000000000
374 -100.0000000000
381 -99.0000000000
391 -71.0000000000
412 -69.0000000000
425 -62.0000000000
453 -24.0000000000
471 -14.0000000000
480 -13.0000000000
483 -6.0000000000
506 -5.0000000000
514 3.0000000000
643 6.0000000000
864 7.0000000000
1217 8.0000000000
100010 -41.0000000000
evaluations raw_y
1 -1332.0000000000
7 -1128.0000000000
22 -1021.0000000000
39 -904.0000000000
45 -836.0000000000
59 -817.0000000000
68 -758.0000000000
71 -680.0000000000
74 -661.0000000000
75 -583.0000000000
85 -486.0000000000
95 -398.0000000000
108 -350.0000000000
119 -331.0000000000
142 -312.0000000000
169 -263.0000000000
194 -176.0000000000
202 -167.0000000000
226 -148.0000000000
246 -138.0000000000
256 -108.0000000000
291 -100.0000000000
314 -90.0000000000
333 -89.0000000000
360 -53.0000000000
397 -43.0000000000
431 -42.0000000000
456 -24.0000000000
489 -23.0000000000
493 -15.0000000000
508 -14.0000000000
531 -7.0000000000
535 5.0000000000
827 6.0000000000
931 7.0000000000
1319 8.0000000000
2747 9.0000000000
100010 -127.0000000000
evaluations raw_y
1 -1410.0000000000
5 -1273.0000000000
10 -1059.0000000000
35 -1040.0000000000
38 -1010.0000000000
46 -855.0000000000
55 -835.0000000000
58 -826.0000000000
63 -787.0000000000
66 -758.0000000000
75 -729.0000000000
79 -563.0000000000
109 -525.0000000000
120 -524.0000000000
124 -515.0000000000
127 -486.0000000000
128 -466.0000000000
135 -379.0000000000
157 -370.0000000000
158 -302.0000000000
177 -254.0000000000
196 -225.0000000000
219 -215.0000000000
226 -214.0000000000
239 -176.0000000000
256 -167.0000000000
267 -128.0000000000
268 -119.0000000000
304 -109.0000000000
313 -100.0000000000
329 -61.0000000000
335 -52.0000000000
346 -42.0000000000
419 -32.0000000000
454 -23.0000000000
475 -14.0000000000
516 -12.0000000000
584 -4.0000000000
586 -3.0000000000
665 4.0000000000
693 5.0000000000
1114 6.0000000000
1377 7.0000000000
1683 8.0000000000
1851 9.0000000000
100010 -10.0000000000
evaluations raw_y
1 -1537.0000000000
4 -1390.0000000000
12 -1118.0000000000
36 -894.0000000000
50 -777.0000000000
80 -718.0000000000
81 -680.0000000000
85 -631.0000000000
112 -583.0000000000
113 -554.0000000000
131 -485.0000000000
132 -466.0000000000
135 -456.0000000000
140 -360.0000000000
156 -350.0000000000
164 -349.0000000000
178 -331.0000000000
183 -330.0000000000
200 -329.0000000000
202 -320.0000000000
211 -311.0000000000
218 -291.0000000000
220 -272.0000000000
234 -263.0000000000
236 -243.0000000000
253 -234.0000000000
256 -175.0000000000
317 -166.0000000000
322 -137.0000000000
360 -118.0000000000
364 -69.0000000000
466 -40.0000000000
570 -12.0000000000
709 6.0000000000
878 7.0000000000
1358 8.0000000000
11530 9.0000000000
100010 -40.0000000000
evaluations raw_y
1 -1381.0000000000
2 -1137.0000000000
27 -1001.0000000000
28 -923.0000000000
54 -884.0000000000
55 -816.0000000000
57 -777.0000000000
83 -689.0000000000
86 -602.0000000000
94 -592.0000000000
124 -583.0000000000
134 -535.0000000000
138 -525.0000000000
143 -505.0000000000
149 -496.0000000000
151 -466.0000000000
162 -438.0000000000
173 -418.0000000000
175 -389.0000000000
195 -380.0000000000
200 -341.0000000000
209 -205.0000000000
215 -196.0000000000
245 -157.0000000000
249 -147.0000000000
263 -128.0000000000
323 -99.0000000000
331 -90.0000000000
335 -70.0000000000
355 -24.0000000000
405 -14.0000000000
482 6.0000000000
1062 7.0000000000
1312 8.0000000000
12168 9.0000000000
100010 -39.0000000000
evaluations raw_y
1 -1449.0000000000
4 -1050.0000000000
33 -826.0000000000
47 -787.0000000000
60 -758.0000000000
72 -749.0000000000
73 -738.0000000000
75 -660.0000000000
94 -622.0000000000
101 -603.0000000000
