evaluations raw_y
1 6.6000000000
2 8.2000000000
3 9.0000000000
30 10.0000000000
42 10.4000000000
65 11.0000000000
90 11.4000000000
111 11.6000000000
133 11.8000000000
135 12.2000000000
173 12.4000000000
202 12.8000000000
229 13.4000000000
301 13.6000000000
325 13.8000000000
341 14.0000000000
346 14.4000000000
357 14.6000000000
429 15.0000000000
457 15.4000000000
601 15.6000000000
612 15.8000000000
636 16.0000000000
645 16.2000000000
855 16.4000000000
1261 16.6000000000
100010 15.8000000000
evaluations raw_y
1 6.8000000000
3 7.6000000000
6 8.2000000000
27 8.4000000000
31 8.6000000000
41 9.0000000000
53 9.2000000000
56 9.6000000000
76 10.0000000000
94 10.2000000000
95 11.0000000000
98 11.2000000000
121 11.6000000000
131 11.8000000000
133 12.0000000000
150 12.2000000000
151 12.6000000000
186 12.8000000000
215 13.0000000000
233 13.2000000000
257 13.4000000000
264 13.8000000000
310 14.0000000000
358 14.2000000000
370 14.4000000000
446 14.6000000000
474 14.8000000000
482 15.0000000000
559 15.4000000000
590 15.6000000000
911 15.8000000000
1108 16.0000000000
1782 16.2000000000
1892 16.4000000000
100010 14.8000000000
evaluations raw_y
1 6.6000000000
3 8.2000000000
7 8.8000000000
16 9.0000000000
24 9.2000000000
39 9.4000000000
42 9.8000000000
57 10.0000000000
61 10.8000000000
107 11.4000000000
136 11.8000000000
163 12.2000000000
184 12.4000000000
188 12.6000000000
232 13.2000000000
259 13.4000000000
271 13.6000000000
302 14.0000000000
316 14.2000000000
329 14.4000000000
342 14.6000000000
360 15.0000000000
392 15.2000000000
415 15.4000000000
428 15.8000000000
490 16.0000000000
512 16.2000000000
703 16.4000000000
741 16.6000000000
798 16.8000000000
100010 13.2000000000
evaluations raw_y
1 9.2000000000
38 10.2000000000
65 11.4000000000
82 11.6000000000
83 12.4000000000
100 12.6000000000
140 13.6000000000
203 13.8000000000
228 14.2000000000
280 14.6000000000
381 14.8000000000
433 15.0000000000
490 15.2000000000
558 15.4000000000
597 15.6000000000
649 15.8000000000
759 16.2000000000
855 16.4000000000
1212 16.6000000000
100010 16.4000000000
evaluations raw_y
1 7.2000000000
4 8.0000000000
44 8.4000000000
49 9.2000000000
56 9.4000000000
73 10.0000000000
81 10.4000000000
115 11.0000000000
140 11.2000000000
144 11.8000000000
163 12.0000000000
164 12.4000000000
183 12.8000000000
209 13.0000000000
227 13.2000000000
263 13.6000000000
315 14.0000000000
319 14.4000000000
364 14.6000000000
427 14.8000000000
454 15.0000000000
482 15.2000000000
563 15.4000000000
673 15.6000000000
719 15.8000000000
725 16.2000000000
965 16.4000000000
100010 15.8000000000
evaluations raw_y
1 6.0000000000
2 7.6000000000
9 8.0000000000
18 9.2000000000
44 10.0000000000
51 10.2000000000
55 10.8000000000
81 11.4000000000
91 11.8000000000
104 12.0000000000
132 12.6000000000
189 12.8000000000
219 13.2000000000
231 13.4000000000
250 13.6000000000
254 13.8000000000
278 14.2000000000
324 14.4000000000
363 14.6000000000
426 15.2000000000
550 15.4000000000
581 15.6000000000
751 15.8000000000
875 16.0000000000
1090 16.2000000000
2266 16.4000000000
100010 14.6000000000
evaluations raw_y
1 5.8000000000
2 6.6000000000
6 9.8000000000
52 10.0000000000
59 10.2000000000
104 10.4000000000
116 10.6000000000
136 11.0000000000
154 11.2000000000
186 12.2000000000
194 12.8000000000
224 13.0000000000
226 13.4000000000
268 13.6000000000
286 14.0000000000
293 14.2000000000
354 14.4000000000
393 14.6000000000
394 14.8000000000
463 15.0000000000
467 15.2000000000
501 15.4000000000
594 15.6000000000
636 15.8000000000
683 16.0000000000
695 16.2000000000
804 16.4000000000
873 16.6000000000
875 17.0000000000
100010 16.4000000000
evaluations raw_y
1 6.2000000000
2 8.4000000000
8 9.8000000000
41 10.0000000000
83 10.4000000000
92 10.6000000000
96 11.0000000000
104 11.2000000000
109 11.4000000000
133 11.6000000000
144 12.2000000000
166 12.4000000000
194 12.8000000000
224 13.0000000000
225 13.4000000000
285 13.6000000000
311 14.0000000000
351 14.2000000000
381 14.6000000000
383 15.0000000000
513 15.2000000000
522 15.4000000000
565 15.6000000000
626 15.8000000000
635 16.0000000000
743 16.4000000000
1322 16.6000000000
100010 16.4000000000
evaluations raw_y
1 6.6000000000
2 6.8000000000
3 8.0000000000
15 8.8000000000
19 9.6000000000
41 9.8000000000
61 10.2000000000
80 11.0000000000
99 11.4000000000
119 11.8000000000
139 12.0000000000
159 12.2000000000
169 12.4000000000
197 13.0000000000
248 13.4000000000
332 13.8000000000
371 14.0000000000
425 14.2000000000
458 14.8000000000
539 15.0000000000
586 15.2000000000
638 15.4000000000
657 15.6000000000
716 15.8000000000
915 16.0000000000
1023 16.2000000000
1035 16.4000000000
2360 16.6000000000
100010 16.2000000000
evaluations raw_y
1 5.6000000000
2 6.2000000000
3 7.0000000000
6 7.6000000000
7 7.8000000000
16 8.8000000000
41 9.0000000000
47 9.4000000000
75 9.6000000000
83 10.4000000000
85 10.8000000000
118 11.4000000000
120 11.6000000000
162 11.8000000000
167 12.8000000000
217 13.0000000000
222 13.2000000000
241 13.4000000000
271 13.6000000000
318 13.8000000000
334 14.4000000000
429 14.6000000000
472 14.8000000000
495 15.0000000000
518 15.2000000000
645 15.4000000000
678 15.8000000000
797 16.0000000000
874 16.2000000000
962 16.4000000000
100010 15.4000000000
