evaluations raw_y
1 -0.5024737548
3 -0.4929068784
5 -0.4806751212
19 -0.4769976511
24 -0.4612804460
32 -0.4554023471
34 -0.4522484341
35 -0.4240876478
55 -0.4232220267
64 -0.4198206831
72 -0.4121903601
90 -0.4036156680
98 -0.4008435320
102 -0.3999749425
119 -0.3960489200
130 -0.3886445850
132 -0.3776812048
149 -0.3643999035
169 -0.3634000531
173 -0.3596313776
193 -0.3581027275
196 -0.3529878588
257 -0.3495596852
287 -0.3481200161
293 -0.3362215648
354 -0.3337138615
365 -0.3245897554
527 -0.3218128141
653 -0.3157910637
694 -0.3151291135
895 -0.3150020026
908 -0.3145218825
960 -0.3138683175
1100 -0.3137419120
1296 -0.3099438146
1399 -0.3096122405
1436 -0.3084222762
1553 -0.3080907022
1637 -0.3037940335
1650 -0.3034624595
1715 -0.3033222986
1792 -0.3029823395
1988 -0.3024614191
2059 -0.3019812991
2065 -0.3000911452
2425 -0.2990901048
2769 -0.2990330420
2829 -0.2963676537
3099 -0.2961623150
3153 -0.2955087499
41381 -0.2948798601
41764 -0.2941704445
41828 -0.2935538622
100010 -0.3163932637
evaluations raw_y
1 -0.5015090593
2 -0.4775932175
3 -0.4616321007
23 -0.4292337693
59 -0.4186095820
72 -0.4130810102
87 -0.4119374529
99 -0.4088395874
112 -0.4081006209
113 -0.4019474082
137 -0.4007995651
139 -0.3872072988
160 -0.3871436250
167 -0.3833168395
169 -0.3818174487
193 -0.3740294195
221 -0.3528394549
290 -0.3510614663
324 -0.3450932787
345 -0.3422108678
409 -0.3421600625
411 -0.3420896039
413 -0.3390540990
436 -0.3371780605
440 -0.3370515342
479 -0.3347684617
512 -0.3346889133
514 -0.3276835230
568 -0.3246197746
584 -0.3241576827
616 -0.3237670936
620 -0.3233795911
622 -0.3211814094
686 -0.3204855064
761 -0.3195183695
879 -0.3181014378
887 -0.3159153084
977 -0.3157811181
1015 -0.3119996051
1123 -0.3108155601
1145 -0.3099680255
1836 -0.3073055103
2151 -0.3054344911
2221 -0.3047893111
2229 -0.3047809260
3030 -0.3036455587
3141 -0.3035968810
3177 -0.3035884959
19693 -0.3019998944
20113 -0.3018734890
20942 -0.2965538531
100010 -0.3083460080
evaluations raw_y
1 -0.5285313222
2 -0.4976862551
4 -0.4830220131
9 -0.4764036490
14 -0.4624125872
16 -0.4613084367
25 -0.4575817568
35 -0.4568850925
36 -0.4447494570
40 -0.4432816173
42 -0.4122616604
105 -0.4063334637
106 -0.4023059985
136 -0.3982565743
146 -0.3961803622
152 -0.3864536983
160 -0.3851520409
162 -0.3782992028
179 -0.3643560936
208 -0.3595467709
232 -0.3515543487
258 -0.3466428873
263 -0.3424386884
295 -0.3406271976
339 -0.3403916742
354 -0.3341587273
403 -0.3314581530
436 -0.3278913537
454 -0.3276993795
465 -0.3269719085
483 -0.3189502536
492 -0.3181098110
567 -0.3171473012
570 -0.3158267386
613 -0.3149891651
733 -0.3131862127
841 -0.3114811500
847 -0.3087375393
939 -0.3085610921
1031 -0.3069345869
1034 -0.3057042967
1110 -0.3056219538
1149 -0.3044671571
1176 -0.3038158158
1190 -0.3028147754
1208 -0.3021981931
1270 -0.3020444368
1308 -0.3015235164
1336 -0.3007118224
1519 -0.3007034372
1522 -0.3004184290
1772 -0.3000952401
1808 -0.3000868550
2732 -0.2993245572
6317 -0.2992405543
6452 -0.2976883557
6693 -0.2970717734
6754 -0.2964168474
6781 -0.2958002651
100010 -0.3147700426
evaluations raw_y
1 -0.5516326928
2 -0.5233390167
3 -0.4869960569
5 -0.4439392243
32 -0.4356383308
38 -0.4355818875
41 -0.4284021355
48 -0.4276951031
66 -0.4163806916
85 -0.4141974531
91 -0.4069489983
99 -0.4020506171
102 -0.4015552338
112 -0.3938685521
116 -0.3879163369
127 -0.3853227428
144 -0.3844354679
146 -0.3769184801
163 -0.3714291084
167 -0.3678085595
224 -0.3623575627
258 -0.3602155811
260 -0.3550100898
289 -0.3529271435
295 -0.3462460790
345 -0.3406350372
350 -0.3399448803
378 -0.3393537257
405 -0.3383089586
413 -0.3345471235
435 -0.3342238906
454 -0.3305147178
460 -0.3256618919
467 -0.3248893600
479 -0.3247893742
485 -0.3215518232
501 -0.3211959456
505 -0.3200778286
570 -0.3183016023
575 -0.3176281992
668 -0.3130565560
748 -0.3090207162
778 -0.3078237111
792 -0.3075467216
850 -0.3060850218
915 -0.3057738448
927 -0.3048697304
1030 -0.3048556088
1059 -0.3043134543
1166 -0.3026547185
1323 -0.3023128893
1332 -0.3017430054
1410 -0.3016859426
1700 -0.3010323775
1943 -0.3005606426
2068 -0.3005522575
2978 -0.2994069528
3425 -0.2976040004
4410 -0.2968945847
4749 -0.2962780025
23889 -0.2928002742
100010 -0.2928002742
evaluations raw_y
1 -0.5035926060
18 -0.4832126150
20 -0.4585255496
39 -0.4450200790
56 -0.4245411519
70 -0.4206729300
82 -0.4205172637
89 -0.4184370244
95 -0.4179818434
106 -0.4067320126
115 -0.4015549724
118 -0.4004890601
130 -0.4003746464
141 -0.3999798051
153 -0.3950662357
162 -0.3872199116
190 -0.3853628221
216 -0.3836535689
218 -0.3756140639
238 -0.3741667955
239 -0.3722278343
253 -0.3720049021
262 -0.3665826946
281 -0.3601228501
295 -0.3570544860
296 -0.3568939633
310 -0.3545855516
332 -0.3543386681
339 -0.3513888142
349 -0.3463242637
364 -0.3422284908
445 -0.3417516650
489 -0.3409593096
490 -0.3391958359
503 -0.3370919282
521 -0.3346708164
553 -0.3336095115
556 -0.3270297004
569 -0.3258945492
644 -0.3221041172
680 -0.3215412800
718 -0.3200672854
739 -0.3198011455
776 -0.3175985083
784 -0.3159452794
877 -0.3157881007
883 -0.3157380911
933 -0.3152772924
965 -0.3146149918
973 -0.3141348718
1126 -0.3127019412
1159 -0.3091236480
1307 -0.3084700829
1399 -0.3083455564
1489 -0.3077740321
1598 -0.3069959405
1943 -0.3069509740
2086 -0.3062549231
2225 -0.3057104403
2317 -0.3050143895
3098 -0.3046828155
3110 -0.3043978072
3487 -0.3040662332
7077 -0.3024776318
8361 -0.3023512263
8769 -0.3005111450
9017 -0.2977276413
9591 -0.2970315905
33452 -0.2940339822
33520 -0.2935538622
100010 -0.2997580209
evaluations raw_y
1 -0.5203374939
3 -0.4812371553
10 -0.4760394366
20 -0.4715442509
22 -0.4656819706
26 -0.4623982706
30 -0.4498639965
49 -0.4489120812
56 -0.4466129142
57 -0.4228452923
95 -0.4120600912
100 -0.4047331508
113 -0.4032871428
127 -0.3960364208
141 -0.3902920107
162 -0.3882136963
175 -0.3865670807
202 -0.3836223202
206 -0.3791361923
221 -0.3781029275
226 -0.3760210642
237 -0.3615847826
267 -0.3483654568
324 -0.3415226564
382 -0.3391439612
394 -0.3360426518
410 -0.3338773077
427 -0.3299707441
456 -0.3285983677
490 -0.3251580785
509 -0.3227460474
557 -0.3200919173
628 -0.3197988827
629 -0.3174672079
682 -0.3149375129
706 -0.3147253874
707 -0.3141964956
730 -0.3139235464
763 -0.3132855824
824 -0.3119449966
847 -0.3097398821
1100 -0.3085974616
1120 -0.3085095920
1216 -0.3055224441
1369 -0.3055140590
1538 -0.3047122180
2205 -0.3040586529
10697 -0.3024700515
11007 -0.3023436461
11156 -0.2970240102
14047 -0.2963951205
17006 -0.2962994127
17053 -0.2950691225
25645 -0.2950313934
26153 -0.2943353426
56018 -0.2928200823
100010 -0.2928200823
evaluations raw_y
1 -0.5192189604
2 -0.4835672325
7 -0.4704896162
11 -0.4624520927
16 -0.4599940323
21 -0.4496460361
23 -0.4378727132
34 -0.4369280864
35 -0.4344249319
52 -0.4265413541
62 -0.4176081181
75 -0.4073654422
81 -0.3826857567
148 -0.3795051518
177 -0.3731455444
196 -0.3636780329
276 -0.3583635461
288 -0.3578912616
289 -0.3578747760
294 -0.3469108182
317 -0.3435673516
347 -0.3382046083
416 -0.3356118773
418 -0.3339965755
469 -0.3307813054
514 -0.3254616696
613 -0.3230403726
652 -0.3219334374
692 -0.3202225419
708 -0.3176969064
756 -0.3165923357
812 -0.3139652084
814 -0.3135683314
828 -0.3115322446
958 -0.3106723716
994 -0.3096644315
1059 -0.3092527962
1072 -0.3086362140
1109 -0.3077349055
1129 -0.3065303737
1393 -0.3065219886
1405 -0.3059054063
1641 -0.3058567287
2306 -0.3058483435
2917 -0.3056937054
3302 -0.3049314076
4179 -0.3047244981
4464 -0.3008398175
5218 -0.2995734553
5866 -0.2991726413
6194 -0.2979321077
6656 -0.2973155254
6968 -0.2958002651
100010 -0.3068420347
evaluations raw_y
1 -0.5426648970
2 -0.5083981843
3 -0.4823193843
4 -0.4737303017
18 -0.4716497770
23 -0.4712652933
27 -0.4658817935
35 -0.4580029091
47 -0.4477622762
49 -0.4463335498
51 -0.4371033812
57 -0.4150090666
81 -0.4112380128
106 -0.4031708029
114 -0.4029593730
118 -0.3907236850
134 -0.3901749760
139 -0.3738754697
174 -0.3734674298
175 -0.3698984432
189 -0.3514415548
212 -0.3470857774
228 -0.3420697740
265 -0.3389486634
266 -0.3324083409
270 -0.3311896903
281 -0.3150440348
443 -0.3143269765
444 -0.3120266085
475 -0.3117260534
534 -0.3104561015
581 -0.3077612741
776 -0.3074734398
788 -0.3074297001
828 -0.3071384519
832 -0.3064780456
848 -0.3057370283
857 -0.3052146881
939 -0.3037829137
1030 -0.3037472691
1065 -0.3036931497
1244 -0.3035669829
1335 -0.3035585977
1368 -0.3025169789
1710 -0.3025085938
5941 -0.3008338179
6054 -0.2990308655
8870 -0.2989130580
9623 -0.2941237462
9698 -0.2938854363
9732 -0.2935538622
100010 -0.3024330566
evaluations raw_y
1 -0.5040098710
2 -0.4901638734
7 -0.4714125645
22 -0.4633725476
39 -0.4605564388
41 -0.4512669628
45 -0.4412899311
52 -0.4392290344
53 -0.4387417132
58 -0.4356792986
62 -0.4272287488
76 -0.4190274559
94 -0.4155756025
104 -0.4003093651
121 -0.3979732297
127 -0.3940166297
132 -0.3935419113
137 -0.3916707617
143 -0.3889136134
148 -0.3844409677
151 -0.3765673902
194 -0.3758347763
196 -0.3741246859
