evaluations raw_y
1 3.0000000000
24 4.0000000000
36 9.0000000000
52 12.0000000000
132 15.0000000000
398 29.0000000000
602 35.0000000000
607 38.0000000000
692 47.0000000000
724 49.0000000000
840 52.0000000000
983 60.0000000000
1008 61.0000000000
1039 62.0000000000
1583 86.0000000000
1879 89.0000000000
2109 92.0000000000
2222 97.0000000000
3008 98.0000000000
3031 100.0000000000
evaluations raw_y
1 1.0000000000
7 2.0000000000
30 3.0000000000
93 7.0000000000
112 8.0000000000
119 9.0000000000
162 11.0000000000
296 17.0000000000
319 24.0000000000
519 36.0000000000
551 39.0000000000
630 40.0000000000
680 43.0000000000
954 45.0000000000
1001 49.0000000000
1067 52.0000000000
1157 69.0000000000
1249 70.0000000000
1380 71.0000000000
1545 75.0000000000
1637 76.0000000000
1669 78.0000000000
1721 79.0000000000
1857 80.0000000000
2064 81.0000000000
2484 99.0000000000
2742 100.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
10 4.0000000000
30 6.0000000000
80 11.0000000000
107 12.0000000000
108 14.0000000000
254 16.0000000000
277 18.0000000000
278 21.0000000000
281 22.0000000000
487 32.0000000000
512 38.0000000000
645 46.0000000000
847 51.0000000000
917 59.0000000000
942 60.0000000000
1537 71.0000000000
1868 72.0000000000
2693 77.0000000000
2725 90.0000000000
2756 96.0000000000
3493 98.0000000000
4019 100.0000000000
evaluations raw_y
1 1.0000000000
3 4.0000000000
6 5.0000000000
76 10.0000000000
104 12.0000000000
110 16.0000000000
211 27.0000000000
281 28.0000000000
342 29.0000000000
706 47.0000000000
824 48.0000000000
917 50.0000000000
1070 53.0000000000
1089 57.0000000000
1123 58.0000000000
1276 65.0000000000
1308 70.0000000000
1542 71.0000000000
2252 74.0000000000
2448 82.0000000000
2711 88.0000000000
3127 89.0000000000
3253 91.0000000000
3360 92.0000000000
4076 100.0000000000
evaluations raw_y
1 0.0000000000
4 3.0000000000
10 6.0000000000
28 9.0000000000
91 13.0000000000
116 19.0000000000
129 23.0000000000
188 34.0000000000
284 35.0000000000
432 37.0000000000
495 42.0000000000
508 44.0000000000
562 49.0000000000
581 51.0000000000
586 54.0000000000
691 56.0000000000
735 57.0000000000
858 58.0000000000
1097 61.0000000000
1889 63.0000000000
1931 67.0000000000
2095 71.0000000000
2193 77.0000000000
2252 82.0000000000
2271 83.0000000000
2364 90.0000000000
3355 94.0000000000
3462 97.0000000000
3666 100.0000000000
evaluations raw_y
1 0.0000000000
3 3.0000000000
4 4.0000000000
25 5.0000000000
27 6.0000000000
73 7.0000000000
104 12.0000000000
233 22.0000000000
245 27.0000000000
287 29.0000000000
322 33.0000000000
398 34.0000000000
527 36.0000000000
552 38.0000000000
605 41.0000000000
649 42.0000000000
780 45.0000000000
1048 47.0000000000
1436 66.0000000000
1619 67.0000000000
2036 76.0000000000
2518 82.0000000000
2896 89.0000000000
2999 91.0000000000
3735 93.0000000000
3796 100.0000000000
evaluations raw_y
1 1.0000000000
5 2.0000000000
14 3.0000000000
24 4.0000000000
167 21.0000000000
170 23.0000000000
260 26.0000000000
299 28.0000000000
326 31.0000000000
541 41.0000000000
587 44.0000000000
611 47.0000000000
987 48.0000000000
1056 51.0000000000
1139 55.0000000000
1169 58.0000000000
1661 70.0000000000
1777 71.0000000000
2247 72.0000000000
2357 75.0000000000
2466 76.0000000000
2503 80.0000000000
2552 81.0000000000
2585 87.0000000000
3127 89.0000000000
3253 90.0000000000
3400 92.0000000000
3704 94.0000000000
5827 100.0000000000
evaluations raw_y
1 2.0000000000
4 4.0000000000
6 8.0000000000
60 9.0000000000
68 13.0000000000
74 14.0000000000
158 17.0000000000
266 22.0000000000
288 31.0000000000
336 34.0000000000
347 35.0000000000
784 43.0000000000
849 47.0000000000
886 48.0000000000
891 62.0000000000
1060 63.0000000000
1266 65.0000000000
1288 70.0000000000
1630 72.0000000000
2024 78.0000000000
2057 80.0000000000
2271 86.0000000000
3563 89.0000000000
4142 100.0000000000
evaluations raw_y
1 0.0000000000
8 1.0000000000
10 2.0000000000
32 7.0000000000
50 8.0000000000
52 9.0000000000
54 10.0000000000
102 12.0000000000
114 13.0000000000
248 27.0000000000
347 30.0000000000
412 33.0000000000
533 34.0000000000
555 38.0000000000
619 41.0000000000
703 44.0000000000
816 50.0000000000
894 54.0000000000
1308 57.0000000000
1376 61.0000000000
2789 81.0000000000
2800 86.0000000000
2879 94.0000000000
3598 100.0000000000
evaluations raw_y
1 4.0000000000
5 5.0000000000
62 7.0000000000
105 9.0000000000
124 15.0000000000
192 16.0000000000
228 19.0000000000
254 22.0000000000
285 24.0000000000
312 30.0000000000
364 31.0000000000
525 33.0000000000
592 34.0000000000
670 39.0000000000
706 41.0000000000
772 42.0000000000
827 45.0000000000
1055 50.0000000000
1351 56.0000000000
1445 57.0000000000
1504 62.0000000000
1519 66.0000000000
1645 67.0000000000
2210 77.0000000000
2394 79.0000000000
2473 80.0000000000
2964 89.0000000000
3038 91.0000000000
3151 92.0000000000
3355 95.0000000000
3792 96.0000000000
4191 100.0000000000
