evaluations raw_y
1 2642.0000000000
5 2959.0000000000
10 3168.0000000000
15 3194.0000000000
16 3286.0000000000
30 3352.0000000000
40 3527.0000000000
55 3603.0000000000
68 3827.0000000000
75 3828.0000000000
79 3901.0000000000
89 4049.0000000000
93 4065.0000000000
95 4094.0000000000
121 4173.0000000000
126 4306.0000000000
160 4406.0000000000
170 4464.0000000000
182 4490.0000000000
222 4637.0000000000
249 4681.0000000000
303 4747.0000000000
348 4787.0000000000
378 4795.0000000000
437 4796.0000000000
453 4803.0000000000
487 4863.0000000000
541 4886.0000000000
611 4887.0000000000
624 4905.0000000000
635 4911.0000000000
647 4923.0000000000
666 4940.0000000000
743 4948.0000000000
903 4955.0000000000
906 4984.0000000000
927 4999.0000000000
949 5016.0000000000
1014 5024.0000000000
1051 5036.0000000000
1272 5039.0000000000
1288 5043.0000000000
1438 5046.0000000000
1585 5050.0000000000
evaluations raw_y
1 3021.0000000000
26 3163.0000000000
38 3176.0000000000
43 3182.0000000000
46 3271.0000000000
48 3498.0000000000
55 3752.0000000000
88 3768.0000000000
101 3776.0000000000
111 3793.0000000000
117 3796.0000000000
123 3946.0000000000
124 4034.0000000000
141 4140.0000000000
161 4339.0000000000
184 4511.0000000000
244 4573.0000000000
253 4694.0000000000
281 4713.0000000000
306 4759.0000000000
321 4795.0000000000
363 4827.0000000000
387 4858.0000000000
442 4892.0000000000
528 4931.0000000000
578 4944.0000000000
758 4946.0000000000
763 4954.0000000000
828 5021.0000000000
992 5026.0000000000
1221 5032.0000000000
1301 5037.0000000000
1469 5038.0000000000
1490 5044.0000000000
1660 5048.0000000000
1990 5050.0000000000
evaluations raw_y
1 2485.0000000000
4 2522.0000000000
5 2601.0000000000
6 2777.0000000000
9 3084.0000000000
12 3132.0000000000
20 3199.0000000000
25 3248.0000000000
30 3279.0000000000
35 3372.0000000000
37 3434.0000000000
52 3486.0000000000
58 3578.0000000000
71 3660.0000000000
78 3796.0000000000
85 3880.0000000000
87 3923.0000000000
99 3965.0000000000
102 3978.0000000000
109 4017.0000000000
122 4208.0000000000
136 4417.0000000000
168 4443.0000000000
174 4455.0000000000
177 4548.0000000000
180 4564.0000000000
194 4596.0000000000
195 4613.0000000000
204 4647.0000000000
239 4740.0000000000
292 4764.0000000000
352 4784.0000000000
357 4793.0000000000
363 4797.0000000000
367 4821.0000000000
405 4851.0000000000
415 4854.0000000000
453 4859.0000000000
456 4872.0000000000
465 4918.0000000000
531 4919.0000000000
533 4921.0000000000
588 4923.0000000000
640 4927.0000000000
670 4940.0000000000
764 4945.0000000000
782 4949.0000000000
869 4974.0000000000
934 5007.0000000000
1053 5009.0000000000
1164 5023.0000000000
1213 5029.0000000000
1324 5034.0000000000
1341 5037.0000000000
1366 5039.0000000000
1371 5041.0000000000
1464 5043.0000000000
2034 5044.0000000000
3721 5050.0000000000
evaluations raw_y
1 3090.0000000000
21 3176.0000000000
24 3297.0000000000
25 3351.0000000000
29 3473.0000000000
32 3488.0000000000
57 3564.0000000000
70 3570.0000000000
78 3589.0000000000
79 3621.0000000000
81 3625.0000000000
84 3660.0000000000
93 3799.0000000000
126 3897.0000000000
131 3939.0000000000
137 3944.0000000000
147 4111.0000000000
163 4138.0000000000
183 4145.0000000000
188 4200.0000000000
199 4335.0000000000
203 4341.0000000000
234 4431.0000000000
262 4479.0000000000
287 4501.0000000000
315 4597.0000000000
340 4610.0000000000
377 4638.0000000000
387 4692.0000000000
424 4701.0000000000
440 4796.0000000000
546 4828.0000000000
555 4848.0000000000
663 4859.0000000000
684 4860.0000000000
699 4877.0000000000
724 4887.0000000000
758 4895.0000000000
765 4905.0000000000
800 4906.0000000000
811 4907.0000000000
816 4960.0000000000
920 4991.0000000000
996 4994.0000000000
1118 5014.0000000000
1132 5016.0000000000
1139 5020.0000000000
1155 5040.0000000000
1347 5050.0000000000
evaluations raw_y
1 2417.0000000000
2 2551.0000000000
4 2707.0000000000
5 2763.0000000000
7 2804.0000000000
10 2882.0000000000
15 2956.0000000000
16 2965.0000000000
24 3038.0000000000
30 3177.0000000000
42 3333.0000000000
47 3354.0000000000
62 3407.0000000000
75 3454.0000000000
87 3507.0000000000
101 3532.0000000000
106 3570.0000000000
108 3660.0000000000
118 3789.0000000000
128 3805.0000000000
132 3998.0000000000
146 4027.0000000000
154 4074.0000000000
177 4170.0000000000
192 4216.0000000000
195 4256.0000000000
205 4353.0000000000
220 4377.0000000000
223 4391.0000000000
236 4418.0000000000
244 4435.0000000000
246 4520.0000000000
280 4557.0000000000
319 4610.0000000000
348 4626.0000000000
370 4698.0000000000
414 4706.0000000000
434 4707.0000000000
455 4720.0000000000
460 4758.0000000000
476 4779.0000000000
500 4788.0000000000
506 4816.0000000000
645 4821.0000000000
648 4842.0000000000
662 4852.0000000000
725 4873.0000000000
741 4888.0000000000
769 4898.0000000000
830 4918.0000000000
875 4951.0000000000
926 4957.0000000000
971 4960.0000000000
1021 4991.0000000000
1128 4993.0000000000
1184 4994.0000000000
1187 4999.0000000000
1249 5000.0000000000
1265 5001.0000000000
1275 5005.0000000000
1292 5010.0000000000
1300 5015.0000000000
1325 5020.0000000000
1359 5022.0000000000
1387 5033.0000000000
1407 5037.0000000000
1612 5038.0000000000
2017 5050.0000000000
evaluations raw_y
1 2769.0000000000
3 2809.0000000000
12 2871.0000000000
21 2917.0000000000
22 2971.0000000000
26 2999.0000000000
31 3052.0000000000
35 3110.0000000000
38 3112.0000000000
40 3130.0000000000
42 3225.0000000000
46 3241.0000000000
48 3358.0000000000
54 3515.0000000000
58 3529.0000000000
87 3590.0000000000
98 3599.0000000000
105 3602.0000000000
108 3648.0000000000
116 3657.0000000000
126 3674.0000000000
129 3699.0000000000
132 3713.0000000000
163 3884.0000000000
191 3992.0000000000
210 3999.0000000000
220 4067.0000000000
245 4123.0000000000
264 4151.0000000000
268 4203.0000000000
284 4206.0000000000
285 4261.0000000000
286 4368.0000000000
294 4395.0000000000
323 4396.0000000000
327 4414.0000000000
350 4497.0000000000
398 4535.0000000000
411 4557.0000000000
415 4564.0000000000
435 4638.0000000000
458 4667.0000000000
462 4741.0000000000
469 4755.0000000000
539 4773.0000000000
543 4779.0000000000
587 4797.0000000000
591 4798.0000000000
597 4807.0000000000
599 4808.0000000000
633 4812.0000000000
644 4838.0000000000
647 4850.0000000000
667 4874.0000000000
719 4883.0000000000
764 4888.0000000000
790 4893.0000000000
808 4901.0000000000
830 4931.0000000000
840 4933.0000000000
883 4940.0000000000
935 4959.0000000000
963 4961.0000000000
967 4975.0000000000
1000 4976.0000000000
1075 4995.0000000000
1079 5003.0000000000
1175 5019.0000000000
1319 5020.0000000000
1374 5023.0000000000
1401 5030.0000000000
1459 5038.0000000000
1549 5044.0000000000
2211 5050.0000000000
evaluations raw_y
1 2805.0000000000
2 3442.0000000000
40 3488.0000000000
41 3657.0000000000
55 3691.0000000000
56 3702.0000000000
63 3716.0000000000
69 3785.0000000000
75 3855.0000000000
76 4088.0000000000
97 4093.0000000000
103 4197.0000000000
117 4307.0000000000
120 4374.0000000000
146 4382.0000000000
160 4404.0000000000
161 4414.0000000000
174 4416.0000000000
200 4484.0000000000
252 4493.0000000000
318 4497.0000000000
342 4509.0000000000
357 4530.0000000000
367 4559.0000000000
402 4590.0000000000
441 4610.0000000000
448 4646.0000000000
482 4688.0000000000
519 4717.0000000000
548 4722.0000000000
565 4756.0000000000
606 4764.0000000000
664 4805.0000000000
693 4829.0000000000
740 4832.0000000000
817 4857.0000000000
860 4868.0000000000
862 4887.0000000000
925 4895.0000000000
992 4931.0000000000
1119 4939.0000000000
1133 4942.0000000000
1135 4947.0000000000
1210 4963.0000000000
1270 4964.0000000000
1298 4978.0000000000
1388 4985.0000000000
1429 4986.0000000000
1461 4993.0000000000
1559 5003.0000000000
1575 5015.0000000000
1699 5022.0000000000
1761 5040.0000000000
2068 5041.0000000000
2089 5049.0000000000
2619 5050.0000000000
evaluations raw_y
1 2549.0000000000
3 2885.0000000000
5 3064.0000000000
24 3087.0000000000
29 3171.0000000000
36 3522.0000000000
62 3574.0000000000
64 3652.0000000000
69 3786.0000000000
100 3829.0000000000
115 3875.0000000000
125 3994.0000000000
126 4049.0000000000
143 4173.0000000000
162 4204.0000000000
168 4231.0000000000
177 4311.0000000000
180 4340.0000000000
200 4371.0000000000
207 4491.0000000000
248 4496.0000000000
261 4502.0000000000
265 4510.0000000000
276 4524.0000000000
285 4537.0000000000
299 4564.0000000000
311 4573.0000000000
316 4593.0000000000
318 4601.0000000000
364 4613.0000000000
372 4626.0000000000
382 4642.0000000000
390 4646.0000000000
410 4657.0000000000
425 4690.0000000000
429 4761.0000000000
492 4796.0000000000
573 4811.0000000000
584 4858.0000000000
591 4860.0000000000
640 4910.0000000000
672 4953.0000000000
716 4964.0000000000
723 4983.0000000000
825 4984.0000000000
897 4987.0000000000
914 4990.0000000000
993 4998.0000000000
1135 5003.0000000000
1167 5019.0000000000
1272 5028.0000000000
1349 5031.0000000000
1392 5033.0000000000
1485 5040.0000000000
2502 5050.0000000000
evaluations raw_y
1 2280.0000000000
3 2723.0000000000
9 2807.0000000000
21 2861.0000000000
22 3064.0000000000
44 3201.0000000000
54 3315.0000000000
59 3478.0000000000
67 3516.0000000000
74 3639.0000000000
85 3795.0000000000
105 3844.0000000000
122 3892.0000000000
133 3907.0000000000
138 3931.0000000000
150 4066.0000000000
170 4102.0000000000
183 4147.0000000000
200 4208.0000000000
202 4229.0000000000
222 4256.0000000000
230 4305.0000000000
241 4416.0000000000
271 4597.0000000000
349 4601.0000000000
373 4638.0000000000
381 4656.0000000000
427 4726.0000000000
440 4794.0000000000
508 4814.0000000000
527 4828.0000000000
534 4906.0000000000
795 4923.0000000000
915 4930.0000000000
920 4962.0000000000
1022 4973.0000000000
1077 4982.0000000000
1277 5002.0000000000
1349 5012.0000000000
1493 5038.0000000000
1849 5048.0000000000
1908 5050.0000000000
evaluations raw_y
1 2950.0000000000
20 3071.0000000000
28 3152.0000000000
30 3246.0000000000
38 3557.0000000000
64 3596.0000000000
68 3630.0000000000
70 3636.0000000000
72 3871.0000000000
104 3883.0000000000
115 3999.0000000000
141 4006.0000000000
154 4090.0000000000
157 4163.0000000000
176 4268.0000000000
204 4301.0000000000
218 4336.0000000000
256 4392.0000000000
266 4394.0000000000
317 4491.0000000000
340 4506.0000000000
357 4529.0000000000
374 4565.0000000000
382 4599.0000000000
388 4607.0000000000
397 4634.0000000000
411 4650.0000000000
424 4655.0000000000
434 4677.0000000000
459 4682.0000000000
463 4699.0000000000
498 4759.0000000000
500 4797.0000000000
507 4800.0000000000
532 4849.0000000000
541 4853.0000000000
567 4885.0000000000
585 4888.0000000000
623 4892.0000000000
638 4897.0000000000
652 4906.0000000000
667 4911.0000000000
687 4916.0000000000
689 4920.0000000000
713 4980.0000000000
809 4998.0000000000
1008 5013.0000000000
1135 5015.0000000000
1147 5019.0000000000
1270 5020.0000000000
1288 5043.0000000000
1317 5050.0000000000
