submodular_value,neg_cost,run
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
420.0,-8,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
420.0,-8,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
420.0,-8,1
384.0,-6,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
384.0,-6,1
384.0,-6,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
420.0,-8,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
384.0,-6,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
117.0,-1,1
384.0,-6,1
117.0,-1,1
