evaluations raw_y
1 0.9754194304
2 1.4979029359
28 1.5654351910
121 1.6545334216
180 1.7301038062
240 1.8129079043
311 1.8754688672
319 1.9920318725
374 2.1097046414
405 2.3430178069
471 2.4390243902
515 2.4485798237
549 2.5125628141
638 2.7144408252
748 2.8121484814
756 2.8506271380
817 3.1766200762
843 3.4578146611
949 3.5161744023
960 3.7037037037
1108 3.8051750381
1521 4.0650406504
100001 4.0650406504
evaluations raw_y
1 0.8744316194
2 1.3819789939
11 1.5403573629
67 1.5713387806
118 1.7253278123
229 1.7717930546
276 2.0475020475
297 2.0712510356
317 2.3386342376
409 2.4061597690
418 2.6232948583
482 2.7563395810
538 2.9655990510
758 3.0599755202
768 3.1055900621
799 3.1446540881
913 3.3647375505
918 3.3921302578
1181 3.7481259370
1558 3.8051750381
1648 3.8167938931
1691 3.9001560062
2195 4.0128410915
2243 4.0518638574
2349 4.2444821732
2790 4.3029259897
2964 4.4091710758
100001 2.4777006938
evaluations raw_y
1 0.8787346221
2 0.9107468124
3 1.4180374362
18 1.4359563469
36 1.4475969890
54 1.4784151390
67 1.5253203173
71 1.5913430936
173 1.6589250166
240 1.7818959373
281 1.9098548510
468 2.2222222222
521 2.3696682464
574 2.4108003857
629 2.4630541872
684 2.5588536336
732 2.6288117771
745 2.7932960894
792 3.0084235860
845 3.0303030303
973 3.2425421530
1917 3.2509752926
2169 3.2938076416
2904 3.3025099075
3034 3.3647375505
3153 3.7593984962
3187 3.8639876352
3341 3.9246467818
100001 3.9246467818
evaluations raw_y
1 0.8341675008
2 1.1910433540
9 1.1944577162
11 1.3774104683
19 1.5994881638
63 1.6307893020
65 1.7895490336
224 1.8642803878
261 1.8754688672
264 2.0475020475
316 2.3299161230
386 2.4437927664
401 2.5693730730
514 2.8571428571
557 2.9103608847
571 2.9797377831
584 3.1525851198
1558 3.2425421530
1710 3.2679738562
1760 3.2851511170
1795 3.4387895461
1797 3.4770514604
1917 3.5663338088
2450 3.6075036075
2777 3.6603221083
4993 3.7936267071
5414 3.8284839204
6303 4.0128410915
29057 4.0387722132
49527 4.0650406504
49647 4.0783034258
100001 2.5380710660
evaluations raw_y
1 0.9523809524
2 1.1266336187
4 1.1676786548
10 1.3477088949
24 1.5994881638
33 1.7421602787
166 1.8587360595
218 1.8839487566
302 1.9069412662
307 1.9762845850
355 1.9952114924
357 2.2341376229
363 2.2542831380
374 2.3212627669
387 2.6795284030
504 2.7322404372
588 3.0303030303
625 3.0376670717
675 3.0525030525
688 3.2092426187
838 3.3025099075
868 3.3112582781
869 3.3829499323
3103 3.4199726402
3307 3.6284470247
3925 3.6496350365
21278 3.7037037037
21360 3.8759689922
21509 4.1186161450
100001 3.3557046980
evaluations raw_y
1 1.1742602161
5 1.5033072760
36 1.5852885225
95 1.6926201760
148 1.7349063151
155 1.8698578908
303 2.0341741253
359 2.1533161068
403 2.6567481403
430 2.9446407538
504 2.9655990510
509 3.0156815440
538 3.0674846626
575 3.1605562579
689 3.2092426187
728 3.4199726402
898 3.4770514604
902 3.8759689922
8830 3.9001560062
9128 3.9872408293
100001 3.0303030303
evaluations raw_y
1 1.1145786893
3 1.3477088949
5 1.4961101137
14 1.4979029359
24 1.5422578655
53 1.5772870662
87 1.6265452180
129 1.7135023989
158 1.8341892883
201 1.8782870023
343 2.0955574183
368 2.2872827081
406 2.5380710660
525 2.7027027027
601 2.7144408252
646 2.7870680045
683 3.0674846626
885 3.1367628607
961 3.6390101892
1052 3.6710719530
1098 3.7147102526
1106 3.8284839204
1133 3.9872408293
1181 4.0387722132
1581 4.1050903120
100001 4.1050903120
evaluations raw_y
1 0.8570449092
2 1.3579576317
5 1.3653741125
9 1.4116318464
57 1.4180374362
112 1.4376078206
121 1.6744809109
199 1.7743080199
223 1.8181818182
355 1.9334880124
366 1.9920318725
394 2.0308692120
407 2.2301516503
480 2.3562676720
491 2.3651844844
532 2.3786869648
541 2.3832221163
548 2.3923444976
557 2.4015369837
627 2.4975024975
644 2.9308323564
758 2.9515938607
931 3.0674846626
934 3.2175032175
971 3.2938076416
1011 3.3025099075
1044 3.4387895461
1176 3.4482758621
1401 3.4578146611
1473 3.6284470247
1526 3.8639876352
100001 2.6455026455
evaluations raw_y
1 1.2444001991
6 1.3758943313
9 1.8341892883
140 2.0850708924
207 2.1720243267
352 2.1834061135
362 2.2706630336
418 2.3877745941
422 2.4015369837
443 2.4201355276
462 2.6178010471
531 2.6232948583
570 2.6968716289
632 2.7262813522
719 2.7685492802
848 2.8768699655
899 2.8835063437
976 3.1446540881
1016 3.2509752926
1290 3.3288948069
1461 3.3377837116
1486 3.5868005739
1519 3.5971223022
1852 3.6284470247
2350 3.6390101892
2427 3.6710719530
2450 3.7037037037
2543 3.9872408293
10192 4.0128410915
10687 4.1050903120
100001 4.1050903120
evaluations raw_y
1 0.6847439058
2 1.2619888945
3 1.4925373134
17 1.5537600994
85 1.5576323988
86 1.6056518947
180 1.6700066800
204 1.7349063151
286 1.8477457502
338 1.9069412662
373 1.9952114924
380 2.0542317173
404 2.4485798237
507 2.4925224327
559 2.5125628141
617 2.6014568158
654 2.6343519494
787 2.6399155227
797 2.9655990510
798 3.4965034965
1123 3.5260930889
1208 3.5765379113
1271 3.5868005739
1278 3.6179450072
1294 3.7147102526
1311 3.8880248834
8804 3.9619651347
9197 4.0518638574
9233 4.0650406504
9535 4.1876046901
100001 2.5799793602
