evaluations raw_y
1 1.0377750104
2 1.2774655084
9 1.5051173992
25 1.5253203173
28 1.8155410312
40 1.9069412662
46 1.9215987702
65 2.0177562550
72 2.1607605877
82 2.1720243267
93 2.4015369837
106 2.4925224327
120 2.5484199796
124 2.7203482046
228 2.8248587571
383 2.9446407538
389 3.0156815440
401 3.0978934325
428 3.1367628607
498 3.1605562579
575 3.1685678074
989 3.2092426187
1008 3.5663338088
1063 3.5765379113
1095 3.7593984962
1701 3.7707390649
4543 3.8639876352
4641 4.0387722132
5721 4.1050903120
100001 3.1605562579
evaluations raw_y
1 0.8659508140
3 0.9893153937
4 1.1368804002
14 1.5290519878
34 1.6286644951
41 1.8782870023
52 1.9305019305
54 1.9485580670
55 2.1132713440
70 2.3084025854
84 2.3741690408
107 2.4154589372
120 2.4437927664
124 2.5176233635
158 2.5278058645
164 2.6068821689
214 2.6910656620
329 2.7932960894
392 2.9036004646
425 2.9797377831
627 3.0229746070
631 3.0902348578
634 3.2175032175
986 3.4013605442
1153 3.4293552812
1161 3.5161744023
1234 3.5663338088
1453 3.7257824143
1594 3.9246467818
100001 2.8312570781
evaluations raw_y
1 0.9633911368
3 1.1155734047
9 1.2658227848
16 1.4662756598
18 1.6265452180
21 1.7494751575
30 1.7895490336
46 1.8982536067
52 2.0275750203
58 2.0610057708
87 2.1422450728
95 2.1758050479
121 2.3607176582
136 2.6343519494
162 2.6511134677
198 2.7027027027
212 2.7322404372
272 2.8768699655
284 2.8968713789
329 2.9171528588
354 2.9377203290
469 2.9585798817
566 2.9655990510
672 2.9726516052
749 2.9940119760
822 3.0450669915
843 3.0902348578
997 3.3112582781
1053 3.3557046980
1099 3.5161744023
1187 3.5460992908
1243 3.6818851252
2618 3.8639876352
2726 4.0000000000
100001 3.1766200762
evaluations raw_y
1 1.2607160867
4 1.2813941568
5 1.3234515617
8 1.3304949441
9 1.5752993069
20 2.0542317173
81 2.0576131687
82 2.1834061135
83 2.3696682464
100 2.5746652935
108 2.5853154085
145 2.6455026455
147 2.7144408252
189 3.0978934325
252 3.2509752926
382 3.3647375505
23482 3.4578146611
26875 3.5971223022
27657 3.6075036075
61747 3.7257824143
62992 3.7369207773
100001 3.0376670717
evaluations raw_y
1 1.2543903663
7 1.2735608762
10 1.4628437683
37 1.6035920462
40 1.6077170418
45 1.6118633140
46 1.7111567420
54 1.9011406844
72 1.9098548510
76 1.9425019425
82 2.0242914980
84 2.0475020475
89 2.0990764064
97 2.1533161068
132 2.2665457842
145 2.4295432459
155 2.4630541872
199 2.6343519494
276 2.7746947836
317 2.7808676307
385 2.7870680045
403 2.8312570781
416 2.8571428571
421 2.9239766082
423 3.0303030303
438 3.1210986267
451 3.1605562579
613 3.4106412005
622 3.4578146611
100001 2.4154589372
evaluations raw_y
1 0.6359704910
2 1.0012014417
3 1.2297097885
4 1.5179113540
13 1.6202203500
26 1.7818959373
31 1.8181818182
33 1.9455252918
43 1.9577133908
48 1.9857029388
51 2.0644095789
56 2.0955574183
57 2.1607605877
71 2.2104332449
82 2.2747952684
103 2.4015369837
119 2.6288117771
176 2.6795284030
201 2.7563395810
223 2.7746947836
261 2.9036004646
275 2.9515938607
280 3.1055900621
303 3.1605562579
311 3.2341526520
318 3.2765399738
361 3.3647375505
572 3.4106412005
1515 3.4199726402
1846 3.4293552812
2063 3.4387895461
2334 3.5161744023
2372 3.7369207773
2440 4.0916530278
2591 4.1876046901
26771 4.2158516020
100001 3.4578146611
evaluations raw_y
1 1.2272950417
3 1.3804527885
15 1.4731879788
27 1.5954052329
38 1.6655562958
62 1.6812373907
67 1.6972165648
75 1.7018379850
79 1.7325017325
80 2.0374898126
98 2.1459227468
134 2.2301516503
142 2.3386342376
168 2.6123301985
232 2.7685492802
362 2.9036004646
444 3.0376670717
493 3.1367628607
516 3.2425421530
560 3.3921302578
1782 3.4293552812
5501 3.4482758621
5549 3.4770514604
24774 3.5063113604
24963 3.5360678925
25210 3.5868005739
25292 3.7037037037
25532 3.9001560062
100001 2.8968713789
evaluations raw_y
1 1.1978917106
4 1.2059816691
6 1.5994881638
25 1.6223231668
38 1.7088174983
41 1.7543859649
44 1.7869907076
52 1.9888623707
63 1.9920318725
64 2.2222222222
135 2.4061597690
139 2.5176233635
171 2.5227043391
180 2.5906735751
196 2.7685492802
200 2.8312570781
301 2.8901734104
353 2.8968713789
438 2.9308323564
529 2.9377203290
602 3.0750307503
651 3.3112582781
714 3.4482758621
857 3.4965034965
892 3.5663338088
1188 3.6390101892
1202 3.8051750381
1268 4.1186161450
1370 4.3936731107
100001 3.3288948069
evaluations raw_y
1 1.0588733587
5 1.0883761428
9 1.2357884330
10 1.4310246136
21 1.4889815366
39 1.5576323988
42 1.6160310278
56 1.7494751575
68 1.7717930546
92 1.8234865062
98 1.9669551534
106 2.0308692120
111 2.2341376229
119 2.2831050228
125 2.6910656620
159 2.6968716289
167 2.7685492802
200 2.8901734104
278 2.9103608847
315 2.9726516052
501 3.0525030525
627 3.1210986267
672 3.2594524120
702 3.3921302578
1066 3.4199726402
10005 3.4965034965
100001 3.0902348578
evaluations raw_y
1 1.0526315789
2 1.1579434924
7 1.2036591237
9 1.4376078206
12 1.4766686356
23 1.6812373907
24 1.6995241332
34 1.8587360595
45 1.9215987702
49 1.9546520719
52 2.1910604733
66 2.3877745941
108 2.4777006938
115 2.5641025641
176 2.7085590466
198 2.8441410694
233 3.1685678074
404 3.3112582781
3398 3.3288948069
3454 3.4293552812
3585 3.7037037037
3695 3.8284839204
3914 4.2016806723
100001 4.2016806723
