evaluations raw_y
1 52.0000000000
2 54.0000000000
9 56.0000000000
18 60.0000000000
49 61.0000000000
60 64.0000000000
69 65.0000000000
72 67.0000000000
189 72.0000000000
240 74.0000000000
258 77.0000000000
285 78.0000000000
318 80.0000000000
363 82.0000000000
369 84.0000000000
436 87.0000000000
541 90.0000000000
551 92.0000000000
638 93.0000000000
712 94.0000000000
748 95.0000000000
841 96.0000000000
921 97.0000000000
1044 98.0000000000
1228 99.0000000000
1340 100.0000000000
100001 98.0000000000
evaluations raw_y
1 53.0000000000
4 54.0000000000
6 59.0000000000
48 60.0000000000
57 61.0000000000
59 62.0000000000
86 66.0000000000
99 68.0000000000
135 70.0000000000
151 71.0000000000
207 74.0000000000
249 76.0000000000
260 77.0000000000
296 80.0000000000
340 81.0000000000
368 82.0000000000
420 84.0000000000
474 86.0000000000
558 87.0000000000
620 89.0000000000
707 90.0000000000
722 91.0000000000
795 92.0000000000
861 93.0000000000
874 96.0000000000
1085 97.0000000000
1192 98.0000000000
1383 100.0000000000
100001 99.0000000000
evaluations raw_y
1 50.0000000000
8 51.0000000000
11 52.0000000000
13 55.0000000000
24 56.0000000000
25 66.0000000000
111 67.0000000000
149 72.0000000000
184 73.0000000000
198 76.0000000000
246 77.0000000000
294 80.0000000000
342 83.0000000000
373 84.0000000000
432 85.0000000000
465 89.0000000000
544 91.0000000000
582 92.0000000000
639 93.0000000000
718 94.0000000000
793 96.0000000000
886 97.0000000000
992 98.0000000000
1105 99.0000000000
1684 100.0000000000
100001 99.0000000000
evaluations raw_y
1 53.0000000000
17 57.0000000000
18 58.0000000000
50 59.0000000000
60 60.0000000000
74 61.0000000000
96 63.0000000000
103 66.0000000000
127 69.0000000000
160 71.0000000000
233 72.0000000000
258 76.0000000000
324 78.0000000000
373 80.0000000000
413 83.0000000000
452 86.0000000000
517 88.0000000000
550 89.0000000000
582 91.0000000000
606 92.0000000000
638 93.0000000000
679 94.0000000000
732 95.0000000000
776 96.0000000000
1009 97.0000000000
1115 98.0000000000
1462 99.0000000000
1496 100.0000000000
100001 99.0000000000
evaluations raw_y
1 49.0000000000
2 58.0000000000
22 61.0000000000
52 62.0000000000
64 63.0000000000
73 64.0000000000
77 65.0000000000
108 67.0000000000
137 72.0000000000
201 75.0000000000
215 76.0000000000
249 78.0000000000
291 79.0000000000
328 83.0000000000
407 84.0000000000
419 85.0000000000
457 86.0000000000
466 87.0000000000
489 88.0000000000
512 89.0000000000
546 90.0000000000
576 91.0000000000
594 92.0000000000
598 93.0000000000
623 94.0000000000
689 95.0000000000
732 96.0000000000
780 97.0000000000
875 98.0000000000
943 99.0000000000
1150 100.0000000000
100001 99.0000000000
evaluations raw_y
1 51.0000000000
5 52.0000000000
6 55.0000000000
8 56.0000000000
15 61.0000000000
23 62.0000000000
51 67.0000000000
122 69.0000000000
127 70.0000000000
145 72.0000000000
240 75.0000000000
282 76.0000000000
303 78.0000000000
364 81.0000000000
458 83.0000000000
483 84.0000000000
534 85.0000000000
578 86.0000000000
590 87.0000000000
608 88.0000000000
641 89.0000000000
696 90.0000000000
784 91.0000000000
846 93.0000000000
954 94.0000000000
1036 95.0000000000
1266 96.0000000000
1305 97.0000000000
1499 98.0000000000
1631 99.0000000000
1709 100.0000000000
100001 99.0000000000
evaluations raw_y
1 50.0000000000
6 53.0000000000
21 55.0000000000
32 57.0000000000
44 59.0000000000
48 61.0000000000
66 66.0000000000
137 68.0000000000
153 73.0000000000
223 74.0000000000
249 75.0000000000
273 76.0000000000
331 78.0000000000
344 80.0000000000
378 83.0000000000
433 84.0000000000
465 85.0000000000
471 86.0000000000
566 87.0000000000
602 90.0000000000
689 93.0000000000
814 94.0000000000
854 95.0000000000
952 96.0000000000
1073 97.0000000000
1476 98.0000000000
1544 99.0000000000
1853 100.0000000000
100001 97.0000000000
evaluations raw_y
1 51.0000000000
4 53.0000000000
6 56.0000000000
9 59.0000000000
19 62.0000000000
96 67.0000000000
121 70.0000000000
178 72.0000000000
200 77.0000000000
326 80.0000000000
384 81.0000000000
386 82.0000000000
416 83.0000000000
491 86.0000000000
548 87.0000000000
584 88.0000000000
627 90.0000000000
675 91.0000000000
769 93.0000000000
831 94.0000000000
911 95.0000000000
942 96.0000000000
1034 97.0000000000
1240 98.0000000000
1277 99.0000000000
1404 100.0000000000
100001 99.0000000000
evaluations raw_y
1 57.0000000000
10 58.0000000000
45 60.0000000000
48 61.0000000000
51 67.0000000000
128 70.0000000000
141 72.0000000000
146 73.0000000000
157 74.0000000000
204 76.0000000000
241 79.0000000000
251 80.0000000000
285 84.0000000000
329 85.0000000000
409 86.0000000000
430 87.0000000000
471 89.0000000000
547 91.0000000000
637 93.0000000000
667 94.0000000000
736 95.0000000000
795 96.0000000000
803 97.0000000000
903 98.0000000000
990 99.0000000000
1095 100.0000000000
100001 100.0000000000
evaluations raw_y
1 53.0000000000
3 58.0000000000
12 60.0000000000
25 62.0000000000
41 67.0000000000
91 68.0000000000
113 69.0000000000
139 70.0000000000
152 71.0000000000
165 73.0000000000
172 74.0000000000
215 76.0000000000
240 77.0000000000
244 78.0000000000
286 79.0000000000
295 84.0000000000
352 85.0000000000
423 86.0000000000
444 87.0000000000
451 88.0000000000
486 91.0000000000
600 92.0000000000
667 93.0000000000
688 94.0000000000
772 95.0000000000
810 96.0000000000
876 97.0000000000
932 98.0000000000
1107 99.0000000000
1145 100.0000000000
100001 100.0000000000
