evaluations raw_y
1 -1361.0000000000
3 -1206.0000000000
16 -1030.0000000000
57 -992.0000000000
60 -972.0000000000
73 -913.0000000000
74 -846.0000000000
115 -787.0000000000
163 -563.0000000000
192 -554.0000000000
239 -544.0000000000
252 -524.0000000000
261 -428.0000000000
289 -417.0000000000
328 -379.0000000000
332 -341.0000000000
378 -330.0000000000
384 -234.0000000000
406 -225.0000000000
464 -196.0000000000
485 -167.0000000000
511 -157.0000000000
565 -119.0000000000
610 -109.0000000000
614 -81.0000000000
656 -71.0000000000
658 -53.0000000000
678 -33.0000000000
720 -32.0000000000
734 -24.0000000000
739 -14.0000000000
743 -4.0000000000
858 -3.0000000000
862 5.0000000000
1028 6.0000000000
1096 7.0000000000
1339 8.0000000000
100001 8.0000000000
evaluations raw_y
1 -1419.0000000000
2 -1216.0000000000
3 -1186.0000000000
15 -1108.0000000000
26 -962.0000000000
34 -952.0000000000
51 -855.0000000000
72 -777.0000000000
120 -748.0000000000
129 -689.0000000000
151 -679.0000000000
158 -592.0000000000
195 -554.0000000000
223 -437.0000000000
257 -340.0000000000
328 -300.0000000000
342 -282.0000000000
371 -272.0000000000
379 -262.0000000000
387 -244.0000000000
405 -205.0000000000
470 -176.0000000000
474 -157.0000000000
478 -138.0000000000
525 -119.0000000000
586 -100.0000000000
613 -81.0000000000
687 -71.0000000000
702 -33.0000000000
844 -24.0000000000
876 -14.0000000000
905 -5.0000000000
930 -4.0000000000
977 5.0000000000
1194 6.0000000000
1331 7.0000000000
1420 8.0000000000
1533 9.0000000000
100001 -20.0000000000
evaluations raw_y
1 -1390.0000000000
6 -1293.0000000000
8 -1147.0000000000
16 -1118.0000000000
24 -1059.0000000000
30 -1039.0000000000
40 -932.0000000000
49 -855.0000000000
101 -757.0000000000
119 -729.0000000000
143 -718.0000000000
155 -690.0000000000
172 -602.0000000000
202 -515.0000000000
250 -379.0000000000
326 -320.0000000000
349 -282.0000000000
372 -262.0000000000
437 -253.0000000000
452 -243.0000000000
453 -194.0000000000
488 -175.0000000000
541 -128.0000000000
548 -127.0000000000
549 -90.0000000000
560 -89.0000000000
602 -69.0000000000
617 -62.0000000000
637 -61.0000000000
760 -32.0000000000
843 -23.0000000000
964 -13.0000000000
1022 -4.0000000000
1154 -3.0000000000
1218 5.0000000000
1312 6.0000000000
1396 7.0000000000
1419 8.0000000000
100001 -21.0000000000
evaluations raw_y
1 -1186.0000000000
9 -1000.0000000000
36 -913.0000000000
70 -894.0000000000
104 -767.0000000000
151 -709.0000000000
166 -544.0000000000
213 -534.0000000000
234 -504.0000000000
278 -466.0000000000
296 -456.0000000000
308 -398.0000000000
313 -339.0000000000
364 -300.0000000000
400 -273.0000000000
403 -253.0000000000
427 -252.0000000000
436 -233.0000000000
516 -194.0000000000
525 -184.0000000000
530 -175.0000000000
564 -128.0000000000
586 -127.0000000000
653 -108.0000000000
703 -89.0000000000
750 -42.0000000000
762 -41.0000000000
857 -3.0000000000
1097 -2.0000000000
1200 7.0000000000
61505 8.0000000000
62052 9.0000000000
100001 -136.0000000000
evaluations raw_y
1 -1313.0000000000
2 -1079.0000000000
6 -1030.0000000000
27 -855.0000000000
87 -835.0000000000
105 -797.0000000000
119 -719.0000000000
143 -699.0000000000
157 -681.0000000000
159 -613.0000000000
166 -603.0000000000
173 -496.0000000000
240 -476.0000000000
263 -350.0000000000
340 -321.0000000000
363 -302.0000000000
364 -195.0000000000
420 -175.0000000000
461 -166.0000000000
485 -157.0000000000
502 -147.0000000000
519 -118.0000000000
576 -99.0000000000
591 -98.0000000000
602 -80.0000000000
680 -61.0000000000
743 -51.0000000000
790 -42.0000000000
792 -33.0000000000
872 -4.0000000000
944 -3.0000000000
975 6.0000000000
1053 7.0000000000
1444 8.0000000000
1538 9.0000000000
100001 -39.0000000000
evaluations raw_y
1 -1361.0000000000
3 -1274.0000000000
11 -1088.0000000000
21 -1030.0000000000
27 -952.0000000000
60 -874.0000000000
71 -855.0000000000
95 -777.0000000000
99 -738.0000000000
131 -690.0000000000
158 -611.0000000000
225 -544.0000000000
237 -535.0000000000
246 -525.0000000000
269 -486.0000000000
288 -466.0000000000
301 -447.0000000000
302 -379.0000000000
332 -369.0000000000
354 -331.0000000000
395 -311.0000000000
413 -253.0000000000
427 -214.0000000000
451 -205.0000000000
464 -138.0000000000
543 -99.0000000000
644 -81.0000000000
651 -71.0000000000
721 -42.0000000000
806 -32.0000000000
812 -23.0000000000
873 -14.0000000000
888 -13.0000000000
905 -12.0000000000
949 -5.0000000000
965 -4.0000000000
997 6.0000000000
1092 7.0000000000
1168 8.0000000000
1253 9.0000000000
100001 9.0000000000
evaluations raw_y
1 -1264.0000000000
3 -1146.0000000000
21 -1137.0000000000
37 -884.0000000000
85 -816.0000000000
157 -767.0000000000
162 -748.0000000000
201 -651.0000000000
212 -572.0000000000
228 -389.0000000000
286 -379.0000000000
342 -331.0000000000
363 -330.0000000000
400 -282.0000000000
427 -273.0000000000
431 -254.0000000000
444 -213.0000000000
472 -205.0000000000
494 -185.0000000000
546 -176.0000000000
566 -157.0000000000
600 -109.0000000000
654 -90.0000000000
670 -80.0000000000
699 -72.0000000000
717 -71.0000000000
721 -52.0000000000
758 -51.0000000000
791 -43.0000000000
822 -33.0000000000
873 -32.0000000000
885 -5.0000000000
966 -4.0000000000
991 4.0000000000
1017 5.0000000000
1069 6.0000000000
1135 7.0000000000
1259 8.0000000000
100001 -21.0000000000
evaluations raw_y
1 -1440.0000000000
3 -1225.0000000000
16 -1147.0000000000
35 -1011.0000000000
47 -865.0000000000
88 -845.0000000000
105 -836.0000000000
117 -787.0000000000
135 -709.0000000000
148 -699.0000000000
166 -660.0000000000
172 -593.0000000000
180 -487.0000000000
257 -417.0000000000
272 -400.0000000000
276 -360.0000000000
293 -352.0000000000
318 -351.0000000000
324 -312.0000000000
333 -215.0000000000
447 -168.0000000000
453 -167.0000000000
460 -157.0000000000
505 -148.0000000000
518 -119.0000000000
565 -91.0000000000
611 -90.0000000000
637 -81.0000000000
688 -72.0000000000
770 -62.0000000000
785 -52.0000000000
791 -42.0000000000
834 -24.0000000000
859 -23.0000000000
860 -15.0000000000
878 -14.0000000000
987 -13.0000000000
1034 -4.0000000000
1068 -3.0000000000
1154 5.0000000000
1258 6.0000000000
1345 7.0000000000
1485 8.0000000000
1516 9.0000000000
1868 10.0000000000
100001 10.0000000000
evaluations raw_y
1 -1157.0000000000
11 -1107.0000000000
42 -963.0000000000
48 -933.0000000000
80 -914.0000000000
88 -894.0000000000
108 -827.0000000000
109 -749.0000000000
122 -661.0000000000
131 -660.0000000000
170 -593.0000000000
175 -544.0000000000
229 -534.0000000000
276 -525.0000000000
278 -476.0000000000
284 -428.0000000000
288 -360.0000000000
366 -292.0000000000
413 -253.0000000000
446 -234.0000000000
490 -167.0000000000
514 -148.0000000000
538 -128.0000000000
609 -109.0000000000
623 -99.0000000000
626 -70.0000000000
738 -43.0000000000
849 -42.0000000000
860 -33.0000000000
871 -25.0000000000
874 -14.0000000000
955 -5.0000000000
987 -4.0000000000
1000 4.0000000000
1079 5.0000000000
1155 6.0000000000
1339 7.0000000000
1613 8.0000000000
2210 9.0000000000
100001 -30.0000000000
evaluations raw_y
1 -1488.0000000000
2 -1186.0000000000
4 -1089.0000000000
15 -1059.0000000000
26 -855.0000000000
75 -641.0000000000
161 -592.0000000000
170 -408.0000000000
243 -370.0000000000
292 -350.0000000000
334 -243.0000000000
387 -185.0000000000
436 -176.0000000000
466 -166.0000000000
531 -157.0000000000
540 -139.0000000000
584 -129.0000000000
591 -128.0000000000
610 -118.0000000000
641 -109.0000000000
657 -80.0000000000
699 -72.0000000000
733 -71.0000000000
804 -61.0000000000
810 -52.0000000000
865 -33.0000000000
918 -23.0000000000
948 -5.0000000000
1025 -4.0000000000
1099 -3.0000000000
1192 5.0000000000
1293 7.0000000000
1496 8.0000000000
1644 9.0000000000
100001 -59.0000000000
