evaluations raw_y
1 -1819.0000000000
2 -1800.0000000000
3 -1351.0000000000
4 -1156.0000000000
15 -1001.0000000000
29 -874.0000000000
39 -728.0000000000
52 -718.0000000000
68 -679.0000000000
80 -650.0000000000
89 -621.0000000000
108 -592.0000000000
113 -563.0000000000
118 -553.0000000000
119 -524.0000000000
136 -495.0000000000
144 -485.0000000000
149 -456.0000000000
156 -417.0000000000
170 -359.0000000000
193 -330.0000000000
210 -311.0000000000
228 -292.0000000000
238 -263.0000000000
264 -234.0000000000
266 -214.0000000000
275 -195.0000000000
337 -185.0000000000
347 -166.0000000000
359 -156.0000000000
364 -137.0000000000
392 -108.0000000000
399 -79.0000000000
470 -70.0000000000
495 -42.0000000000
552 -41.0000000000
587 -32.0000000000
636 -13.0000000000
693 -4.0000000000
728 5.0000000000
738 6.0000000000
824 7.0000000000
839 8.0000000000
100001 -11.0000000000
evaluations raw_y
1 -1420.0000000000
5 -1303.0000000000
6 -1245.0000000000
12 -1069.0000000000
14 -1040.0000000000
27 -952.0000000000
31 -943.0000000000
41 -719.0000000000
76 -661.0000000000
77 -651.0000000000
99 -583.0000000000
114 -573.0000000000
120 -515.0000000000
126 -505.0000000000
138 -476.0000000000
143 -437.0000000000
170 -428.0000000000
178 -351.0000000000
189 -322.0000000000
199 -303.0000000000
210 -302.0000000000
217 -293.0000000000
219 -255.0000000000
226 -236.0000000000
235 -226.0000000000
238 -207.0000000000
246 -187.0000000000
253 -168.0000000000
276 -158.0000000000
282 -139.0000000000
285 -110.0000000000
300 -109.0000000000
320 -90.0000000000
350 -70.0000000000
353 -61.0000000000
357 -52.0000000000
391 -43.0000000000
394 -34.0000000000
397 -33.0000000000
404 -24.0000000000
411 -5.0000000000
428 5.0000000000
452 6.0000000000
492 7.0000000000
516 8.0000000000
100001 -59.0000000000
evaluations raw_y
1 -1186.0000000000
7 -1128.0000000000
12 -1040.0000000000
17 -1020.0000000000
22 -923.0000000000
30 -913.0000000000
32 -845.0000000000
40 -767.0000000000
46 -738.0000000000
53 -728.0000000000
69 -699.0000000000
70 -670.0000000000
95 -631.0000000000
105 -602.0000000000
114 -573.0000000000
128 -515.0000000000
146 -486.0000000000
159 -447.0000000000
163 -379.0000000000
174 -360.0000000000
179 -292.0000000000
189 -272.0000000000
200 -243.0000000000
215 -223.0000000000
229 -214.0000000000
230 -204.0000000000
237 -195.0000000000
246 -176.0000000000
