evaluations raw_y
1 4.6000000000
2 5.8000000000
4 6.0000000000
5 6.8000000000
10 7.2000000000
13 8.0000000000
20 8.6000000000
29 8.8000000000
31 10.2000000000
43 10.4000000000
47 10.6000000000
52 10.8000000000
55 11.0000000000
56 11.4000000000
68 11.6000000000
78 12.2000000000
85 12.4000000000
92 12.8000000000
102 13.0000000000
122 13.2000000000
140 13.4000000000
154 13.8000000000
185 14.0000000000
187 14.2000000000
215 14.4000000000
253 14.6000000000
257 14.8000000000
283 15.0000000000
305 15.2000000000
325 15.4000000000
368 15.6000000000
375 15.8000000000
457 16.2000000000
515 16.4000000000
535 16.8000000000
859 17.0000000000
898 17.2000000000
915 17.4000000000
100001 17.2000000000
evaluations raw_y
1 7.4000000000
5 7.8000000000
10 8.4000000000
11 8.6000000000
37 9.0000000000
52 9.4000000000
73 9.6000000000
74 9.8000000000
84 10.0000000000
93 10.2000000000
102 10.6000000000
113 11.0000000000
125 11.4000000000
147 11.6000000000
152 11.8000000000
216 12.0000000000
245 12.2000000000
268 12.4000000000
279 12.8000000000
302 13.0000000000
317 13.2000000000
333 13.4000000000
335 13.6000000000
341 13.8000000000
365 14.0000000000
392 14.2000000000
420 14.4000000000
440 14.6000000000
470 14.8000000000
497 15.0000000000
647 15.2000000000
670 15.4000000000
693 15.6000000000
757 15.8000000000
792 16.0000000000
100001 15.8000000000
evaluations raw_y
1 6.8000000000
2 8.4000000000
17 8.8000000000
23 9.2000000000
29 9.4000000000
35 10.4000000000
47 10.6000000000
50 11.0000000000
76 11.2000000000
83 11.4000000000
98 11.6000000000
107 11.8000000000
114 12.2000000000
134 12.4000000000
151 12.6000000000
160 12.8000000000
207 13.0000000000
209 13.2000000000
219 13.4000000000
239 13.6000000000
300 13.8000000000
310 14.0000000000
324 14.2000000000
328 14.4000000000
352 14.6000000000
411 14.8000000000
442 15.0000000000
499 15.2000000000
543 15.4000000000
699 15.6000000000
748 15.8000000000
830 16.0000000000
1153 16.2000000000
1409 16.4000000000
100001 16.4000000000
evaluations raw_y
1 8.6000000000
14 10.4000000000
36 10.6000000000
41 10.8000000000
56 11.2000000000
66 11.4000000000
87 11.6000000000
89 11.8000000000
108 12.0000000000
121 12.2000000000
131 12.4000000000
144 12.6000000000
158 12.8000000000
168 13.0000000000
186 13.2000000000
216 13.4000000000
235 13.6000000000
241 13.8000000000
264 14.0000000000
268 14.2000000000
279 14.6000000000
294 14.8000000000
314 15.0000000000
369 15.2000000000
387 15.4000000000
433 15.6000000000
454 15.8000000000
495 16.4000000000
688 16.6000000000
100001 16.6000000000
evaluations raw_y
1 6.2000000000
5 7.8000000000
12 8.0000000000
16 8.2000000000
17 8.8000000000
20 9.2000000000
26 10.0000000000
34 10.2000000000
42 10.4000000000
47 10.8000000000
55 11.2000000000
62 11.4000000000
71 11.6000000000
79 11.8000000000
97 12.0000000000
105 12.2000000000
122 12.6000000000
148 12.8000000000
175 13.0000000000
202 13.2000000000
210 13.6000000000
216 14.0000000000
268 14.2000000000
279 14.4000000000
306 14.6000000000
323 14.8000000000
349 15.0000000000
391 15.2000000000
429 15.4000000000
466 15.6000000000
483 15.8000000000
627 16.0000000000
713 16.2000000000
809 16.4000000000
849 16.6000000000
100001 16.2000000000
evaluations raw_y
1 6.6000000000
5 8.4000000000
10 8.8000000000
18 10.4000000000
29 11.0000000000
34 11.2000000000
51 11.4000000000
64 12.0000000000
73 12.2000000000
74 12.4000000000
84 12.6000000000
96 12.8000000000
102 13.0000000000
105 13.2000000000
118 13.4000000000
123 13.6000000000
133 13.8000000000
156 14.0000000000
169 14.2000000000
232 14.4000000000
240 14.6000000000
250 14.8000000000
304 15.0000000000
310 15.2000000000
313 15.4000000000
349 15.6000000000
363 15.8000000000
390 16.0000000000
395 16.2000000000
415 16.4000000000
435 16.6000000000
571 16.8000000000
100001 15.8000000000
evaluations raw_y
1 5.4000000000
2 7.4000000000
3 7.8000000000
8 8.8000000000
11 9.2000000000
17 9.6000000000
27 10.0000000000
47 10.2000000000
48 10.4000000000
55 10.6000000000
57 10.8000000000
67 11.0000000000
93 11.2000000000
114 11.4000000000
129 11.6000000000
137 12.0000000000
159 12.4000000000
207 12.6000000000
218 12.8000000000
230 13.0000000000
247 13.2000000000
259 13.4000000000
272 13.6000000000
291 13.8000000000
305 14.0000000000
338 14.2000000000
348 14.4000000000
362 14.6000000000
367 14.8000000000
398 15.0000000000
401 15.2000000000
428 15.4000000000
441 15.6000000000
476 15.8000000000
587 16.0000000000
619 16.2000000000
746 16.4000000000
1087 16.6000000000
100001 16.6000000000
evaluations raw_y
1 7.6000000000
2 8.2000000000
5 10.2000000000
16 10.4000000000
17 10.8000000000
32 11.0000000000
37 11.2000000000
40 11.8000000000
71 12.2000000000
85 12.4000000000
152 12.6000000000
168 13.0000000000
178 13.2000000000
199 13.4000000000
202 13.6000000000
237 13.8000000000
255 14.0000000000
260 14.2000000000
279 14.4000000000
303 14.6000000000
326 14.8000000000
333 15.0000000000
360 15.2000000000
367 15.4000000000
393 15.6000000000
394 15.8000000000
413 16.0000000000
524 16.2000000000
703 16.4000000000
866 16.6000000000
100001 16.6000000000
evaluations raw_y
1 6.6000000000
3 6.8000000000
5 7.2000000000
11 8.0000000000
12 8.6000000000
21 9.0000000000
25 10.4000000000
37 10.8000000000
45 11.0000000000
49 11.2000000000
55 11.4000000000
59 11.6000000000
65 11.8000000000
72 12.0000000000
77 12.2000000000
101 12.4000000000
102 12.6000000000
115 12.8000000000
125 13.2000000000
138 13.4000000000
156 13.6000000000
190 13.8000000000
224 14.0000000000
227 14.2000000000
255 14.4000000000
271 14.6000000000
294 14.8000000000
313 15.0000000000
347 15.2000000000
353 15.4000000000
431 15.6000000000
589 15.8000000000
666 16.0000000000
860 16.2000000000
