evaluations raw_y
1 5.2000000000
2 5.8000000000
3 6.4000000000
5 7.0000000000
8 8.4000000000
29 10.0000000000
43 10.4000000000
175 10.8000000000
245 11.0000000000
257 11.2000000000
287 11.6000000000
338 12.2000000000
409 12.4000000000
438 13.0000000000
467 13.2000000000
509 13.4000000000
594 13.6000000000
617 13.8000000000
646 14.0000000000
729 14.2000000000
770 14.4000000000
989 14.6000000000
1007 14.8000000000
1147 15.0000000000
1236 15.2000000000
1266 15.4000000000
1338 15.6000000000
1467 15.8000000000
1856 16.0000000000
1900 16.2000000000
2057 16.4000000000
2309 16.6000000000
100001 16.4000000000
evaluations raw_y
1 6.6000000000
6 7.2000000000
7 8.2000000000
13 8.4000000000
14 9.2000000000
17 9.6000000000
120 9.8000000000
125 11.2000000000
170 11.6000000000
266 12.0000000000
279 12.4000000000
300 12.6000000000
302 12.8000000000
310 13.2000000000
351 13.4000000000
447 13.8000000000
499 14.0000000000
580 14.2000000000
620 14.4000000000
800 14.6000000000
841 14.8000000000
895 15.0000000000
985 15.2000000000
1177 15.4000000000
1277 15.6000000000
1407 15.8000000000
1582 16.0000000000
1693 16.2000000000
1811 16.4000000000
1947 16.6000000000
2118 16.8000000000
2162 17.0000000000
2339 17.2000000000
100001 17.2000000000
evaluations raw_y
1 6.4000000000
3 7.0000000000
5 7.2000000000
8 8.4000000000
20 8.8000000000
56 9.4000000000
76 9.6000000000
177 10.2000000000
220 10.4000000000
232 10.8000000000
261 11.0000000000
315 11.2000000000
343 11.8000000000
374 12.0000000000
379 12.2000000000
429 12.4000000000
513 12.6000000000
529 12.8000000000
601 13.0000000000
624 13.2000000000
679 13.6000000000
781 13.8000000000
818 14.0000000000
908 14.2000000000
959 14.4000000000
974 14.6000000000
1043 14.8000000000
1086 15.0000000000
1180 15.4000000000
1267 15.6000000000
1370 15.8000000000
1516 16.0000000000
1589 16.4000000000
1740 16.6000000000
1904 16.8000000000
100001 16.8000000000
evaluations raw_y
1 6.8000000000
2 7.2000000000
3 8.0000000000
17 8.4000000000
18 10.0000000000
82 10.2000000000
83 11.2000000000
179 11.6000000000
191 12.2000000000
296 12.6000000000
371 13.0000000000
429 13.2000000000
514 13.4000000000
652 13.6000000000
692 13.8000000000
761 14.0000000000
798 14.2000000000
809 14.4000000000
873 14.6000000000
982 14.8000000000
1003 15.2000000000
1061 15.4000000000
1070 15.6000000000
1185 15.8000000000
1376 16.0000000000
1497 16.2000000000
1632 16.4000000000
1860 16.6000000000
100001 16.6000000000
evaluations raw_y
1 7.4000000000
4 8.8000000000
29 9.0000000000
63 9.2000000000
88 10.2000000000
129 10.4000000000
165 10.6000000000
184 11.0000000000
185 11.8000000000
189 12.0000000000
263 12.2000000000
310 12.8000000000
357 13.2000000000
362 13.6000000000
445 13.8000000000
463 14.0000000000
512 14.2000000000
594 14.4000000000
606 14.6000000000
701 14.8000000000
756 15.0000000000
778 15.2000000000
841 15.4000000000
894 15.6000000000
1071 15.8000000000
1088 16.0000000000
1386 16.2000000000
1610 16.4000000000
1679 16.6000000000
1743 16.8000000000
1855 17.0000000000
100001 16.8000000000
evaluations raw_y
1 5.0000000000
2 7.0000000000
3 7.4000000000
5 8.2000000000
23 8.4000000000
55 9.6000000000
99 10.2000000000
198 11.6000000000
208 11.8000000000
239 12.0000000000
304 12.4000000000
321 13.0000000000
363 13.2000000000
395 13.4000000000
477 13.6000000000
513 13.8000000000
524 14.0000000000
620 14.2000000000
645 14.4000000000
729 14.6000000000
785 14.8000000000
803 15.0000000000
922 15.2000000000
981 15.4000000000
1001 15.6000000000
1052 15.8000000000
1174 16.0000000000
1314 16.2000000000
1478 16.4000000000
1598 16.6000000000
1805 16.8000000000
1850 17.0000000000
100001 17.0000000000
evaluations raw_y
1 8.8000000000
2 9.8000000000
54 10.0000000000
78 10.6000000000
115 11.4000000000
206 11.6000000000
224 12.4000000000
355 12.6000000000
362 13.0000000000
373 13.2000000000
439 13.4000000000
511 13.6000000000
518 13.8000000000
526 14.0000000000
641 14.4000000000
714 14.6000000000
776 14.8000000000
935 15.0000000000
1092 15.2000000000
1157 15.4000000000
1272 15.6000000000
1374 15.8000000000
1525 16.0000000000
1705 16.2000000000
1931 16.4000000000
100001 15.4000000000
evaluations raw_y
1 8.2000000000
5 8.4000000000
32 8.6000000000
38 9.0000000000
47 9.2000000000
50 9.4000000000
68 10.0000000000
184 10.2000000000
195 10.4000000000
251 10.8000000000
270 11.6000000000
318 11.8000000000
384 12.0000000000
430 12.4000000000
456 12.8000000000
578 13.0000000000
583 13.2000000000
646 13.6000000000
699 14.0000000000
768 14.6000000000
877 15.0000000000
994 15.2000000000
1077 15.4000000000
1134 15.6000000000
1248 15.8000000000
1330 16.0000000000
1412 16.2000000000
1528 16.4000000000
1793 16.6000000000
1867 16.8000000000
100001 16.8000000000
evaluations raw_y
1 9.4000000000
56 9.6000000000
91 10.2000000000
145 10.6000000000
166 11.0000000000
170 11.2000000000
263 11.6000000000
276 11.8000000000
301 12.2000000000
366 12.4000000000
374 12.8000000000
397 13.0000000000
451 13.2000000000
492 13.4000000000
550 13.6000000000
596 13.8000000000
628 14.0000000000
701 14.2000000000
702 14.4000000000
795 14.6000000000
905 14.8000000000
1082 15.0000000000
1182 15.2000000000
1301 15.4000000000
1394 15.6000000000
1718 15.8000000000
2098 16.0000000000
2736 16.2000000000
100001 16.2000000000
evaluations raw_y
1 7.4000000000
2 9.0000000000
41 9.2000000000
78 11.2000000000
202 11.4000000000
204 12.0000000000
254 12.4000000000
302 12.6000000000
334 13.0000000000
425 13.2000000000
459 13.4000000000
465 13.6000000000
524 13.8000000000
570 14.0000000000
611 14.2000000000
638 14.4000000000
688 14.6000000000
821 14.8000000000
832 15.2000000000
1016 15.4000000000
1038 15.6000000000
1098 15.8000000000
1225 16.0000000000
1362 16.2000000000
1475 16.4000000000
1561 16.6000000000
1592 16.8000000000
1726 17.0000000000
1956 17.2000000000
2014 17.4000000000
100001 17.4000000000
