evaluations raw_y
1 -0.4715927856
7 -0.4697471820
9 -0.4617716148
15 -0.4613318856
19 -0.4576183394
23 -0.4453334610
34 -0.4411390126
39 -0.4362640063
41 -0.4233135848
52 -0.4195231528
53 -0.4137358843
72 -0.4113184913
80 -0.4049916005
105 -0.4006264148
107 -0.3859754185
116 -0.3829180402
118 -0.3768769229
119 -0.3762603406
131 -0.3675056061
137 -0.3670476266
141 -0.3600604722
160 -0.3553997571
162 -0.3547546196
171 -0.3529832406
172 -0.3469404405
179 -0.3469320554
182 -0.3434917662
219 -0.3402447406
227 -0.3387232022
236 -0.3364437538
243 -0.3354347420
252 -0.3316150182
261 -0.3308221727
340 -0.3290507937
349 -0.3263966637
361 -0.3221228427
413 -0.3205672999
450 -0.3192957916
461 -0.3182947512
587 -0.3164917988
588 -0.3159575594
658 -0.3153409772
673 -0.3115768842
843 -0.3102526805
858 -0.3096827965
945 -0.3096076599
984 -0.3089540949
1021 -0.3082580440
1080 -0.3047952853
1113 -0.3042570004
1164 -0.3037768804
1363 -0.3020659849
1709 -0.3010649445
10738 -0.2992262596
13571 -0.2962780025
30319 -0.2934963250
30510 -0.2928002742
81299 -0.2920664943
100001 -0.3053768771
evaluations raw_y
1 -0.5074396146
2 -0.5057573896
3 -0.5048764007
7 -0.4973716471
9 -0.4799543349
10 -0.4742670300
14 -0.4711896998
15 -0.4643537518
26 -0.4622117702
30 -0.4574002387
31 -0.4534192891
36 -0.4432421745
42 -0.4403707520
45 -0.4400391780
46 -0.4396623876
54 -0.4387250019
57 -0.4321997316
59 -0.4268908557
63 -0.4120927597
64 -0.4021744612
66 -0.3998667108
67 -0.3932053461
70 -0.3905799269
73 -0.3832974445
82 -0.3806433144
84 -0.3763575973
87 -0.3699799540
99 -0.3683728784
110 -0.3629557571
138 -0.3622597062
144 -0.3615186889
162 -0.3598912767
168 -0.3520536139
169 -0.3496932838
187 -0.3472554310
207 -0.3434913381
230 -0.3420173435
245 -0.3379443995
268 -0.3379360143
297 -0.3362237231
321 -0.3313487168
366 -0.3298271784
397 -0.3287401601
408 -0.3252998709
415 -0.3233618862
453 -0.3203689045
591 -0.3191158010
638 -0.3179233708
736 -0.3169227441
836 -0.3169143590
1405 -0.3156840688
3028 -0.3155662613
3124 -0.3102070655
8746 -0.3101657998
9122 -0.3086918052
10434 -0.3059921685
10599 -0.3052140769
23994 -0.3038880790
60847 -0.3022994776
60916 -0.3021730721
61035 -0.2971850103
61271 -0.2968534363
79820 -0.2939051792
100001 -0.3041448983
evaluations raw_y
1 -0.4918555526
8 -0.4849697764
9 -0.4806480448
16 -0.4720286612
17 -0.4672942686
24 -0.4572735095
26 -0.4516826200
27 -0.4512818060
31 -0.4483485633
32 -0.4412598837
33 -0.4387324642
36 -0.4384488526
39 -0.4351267130
42 -0.4325646378
50 -0.4295261602
53 -0.4282958700
57 -0.4270427664
64 -0.4179712208
66 -0.4178333183
70 -0.4171372675
71 -0.4141917189
72 -0.4138601449
82 -0.4125395823
83 -0.4058492680
86 -0.4027143724
87 -0.3962987507
91 -0.3933323240
94 -0.3870442717
96 -0.3771259732
101 -0.3758651772
117 -0.3753268923
123 -0.3738528977
125 -0.3685440217
133 -0.3683608427
151 -0.3660005126
159 -0.3642896171
208 -0.3641632116
209 -0.3590758968
220 -0.3583348794
265 -0.3565319270
285 -0.3515779384
288 -0.3476885381
293 -0.3466874978
306 -0.3413678620
321 -0.3384014353
355 -0.3362817087
386 -0.3349611461
397 -0.3298742658
474 -0.3237792186
502 -0.3225489284
503 -0.3220688084
530 -0.3182890613
538 -0.3142237964
782 -0.3124524174
845 -0.3083993364
1232 -0.3071588027
1252 -0.3065422205
8168 -0.3054445529
8200 -0.3007953212
8260 -0.3000543038
9895 -0.2971060467
17028 -0.2962222805
17053 -0.2960370218
17388 -0.2954204395
29121 -0.2939051792
88145 -0.2920664943
100001 -0.2920664943
evaluations raw_y
1 -0.5003937371
4 -0.4886015823
6 -0.4825560527
13 -0.4704976326
14 -0.4701558035
21 -0.4698078464
24 -0.4686154163
28 -0.4606360808
32 -0.4563143493
39 -0.4507525807
41 -0.4498306930
43 -0.4441130558
48 -0.4429599078
50 -0.4357100988
51 -0.4343427665
56 -0.4339982483
69 -0.4331964073
73 -0.4175006022
80 -0.4171892958
95 -0.4157438098
105 -0.4133811889
109 -0.4116989639
112 -0.4099275849
115 -0.4002071481
125 -0.3967779526
134 -0.3906392080
136 -0.3898611164
155 -0.3859975086
158 -0.3840925212
172 -0.3817321910
174 -0.3805019008
177 -0.3792411048
184 -0.3779699385
190 -0.3761747874
195 -0.3706294581
197 -0.3668497110
224 -0.3664099818
230 -0.3594086673
255 -0.3594002821
262 -0.3592329548
265 -0.3557270313
284 -0.3553346024
290 -0.3545935850
292 -0.3504712573
297 -0.3424681119
332 -0.3421564369
378 -0.3387161477
408 -0.3371936478
414 -0.3314987287
423 -0.3314903436
456 -0.3234677970
474 -0.3224667567
511 -0.3211425529
530 -0.3178171955
615 -0.3160142431
661 -0.3153976608
695 -0.3147016100
712 -0.3142214900
21476 -0.3107437617
24674 -0.3077955046
50660 -0.3059568197
88151 -0.3044415594
100001 -0.3081281181
evaluations raw_y
1 -0.5282532887
3 -0.5243217258
5 -0.5134462538
10 -0.5115008626
11 -0.5113007507
12 -0.5039321184
20 -0.4848121315
22 -0.4694694795
27 -0.4620407429
30 -0.4585183660
34 -0.4453157234
42 -0.4339014709
45 -0.4325545302
50 -0.4311677324
51 -0.4306876124
54 -0.4282499846
56 -0.4171988472
59 -0.4115162583
61 -0.4085232766
64 -0.4067203241
76 -0.4018754695
79 -0.3985326760
91 -0.3968406132
102 -0.3944027605
106 -0.3928014101
124 -0.3901351267
125 -0.3837574834
128 -0.3729616315
132 -0.3729532464
168 -0.3699667210
173 -0.3671736743
176 -0.3633100665
209 -0.3626435901
211 -0.3602795027
223 -0.3592947858
225 -0.3586605412
239 -0.3586362463
261 -0.3574438162
315 -0.3561907126
358 -0.3555809446
361 -0.3552151825
379 -0.3530959250
380 -0.3523998742
383 -0.3511695840
392 -0.3477422994
410 -0.3473276540
421 -0.3452149777
427 -0.3439744441
439 -0.3425918224
442 -0.3399512965
452 -0.3398176708
469 -0.3386252406
495 -0.3378842233
523 -0.3353319268
566 -0.3297865975
579 -0.3297453794
587 -0.3294138053
816 -0.3287972231
