evaluations raw_y
1 -0.5400556631
2 -0.5055006956
3 -0.4999301385
6 -0.4680023399
10 -0.4555510054
13 -0.4541148322
25 -0.4374123649
32 -0.4352674953
40 -0.4345309083
48 -0.4257526720
55 -0.4225998596
57 -0.4173743445
60 -0.4166729637
61 -0.3987785929
76 -0.3982984728
85 -0.3903635989
97 -0.3877751150
101 -0.3849291861
103 -0.3753303346
116 -0.3707677566
123 -0.3674874515
126 -0.3642424864
156 -0.3623714671
163 -0.3594309549
164 -0.3551216581
187 -0.3543593604
207 -0.3530985644
216 -0.3482870329
224 -0.3465156539
269 -0.3328960283
279 -0.3309506372
294 -0.3309442159
303 -0.3264367496
328 -0.3259585137
345 -0.3252174963
347 -0.3251888072
355 -0.3251804221
419 -0.3241793817
422 -0.3237064275
429 -0.3225789817
469 -0.3205159488
471 -0.3202186515
537 -0.3189574596
539 -0.3184974477
559 -0.3181556186
617 -0.3174146012
684 -0.3166523035
712 -0.3145103219
726 -0.3138937396
752 -0.3127013095
786 -0.3094447066
794 -0.3073816736
844 -0.3047931898
1742 -0.3021390597
8133 -0.3006237994
9340 -0.2992978015
12308 -0.2992603624
12323 -0.2958200732
100001 -0.3084731666
evaluations raw_y
1 -0.5437737869
2 -0.5044347766
6 -0.5032782000
9 -0.4708026678
19 -0.4673187020
20 -0.4642869942
22 -0.4581956344
37 -0.4480447959
40 -0.4416128300
41 -0.4395007194
46 -0.4374457730
47 -0.4333505329
56 -0.4310887462
60 -0.4279274906
63 -0.4272393251
67 -0.4248706297
68 -0.4074024515
92 -0.4060460388
97 -0.4038241583
98 -0.4030460667
112 -0.3981065210
114 -0.3962303699
119 -0.3958824128
130 -0.3924399379
133 -0.3900657081
142 -0.3893696573
159 -0.3890217003
175 -0.3833040630
202 -0.3749997434
204 -0.3672090514
213 -0.3662000395
217 -0.3626647189
227 -0.3616557071
243 -0.3577920993
315 -0.3524832233
340 -0.3514656234
346 -0.3484179584
358 -0.3476769410
380 -0.3416358238
424 -0.3403952901
438 -0.3341911314
456 -0.3327110670
494 -0.3320111548
559 -0.3279458900
643 -0.3241554580
671 -0.3237157288
786 -0.3229376372
848 -0.3226259622
875 -0.3203182118
1037 -0.3174745644
1040 -0.3159530260
1069 -0.3121159087
1133 -0.3111148683
1155 -0.3088569384
1180 -0.3083768184
1200 -0.3071465282
3818 -0.3057863306
4014 -0.3004271349
100001 -0.3220151205
evaluations raw_y
1 -0.4589178803
10 -0.4208223997
43 -0.4147256527
44 -0.4146233723
47 -0.4106606304
57 -0.3941930149
63 -0.3934149234
76 -0.3915907832
93 -0.3890831403
101 -0.3858037472
109 -0.3814517660
133 -0.3766402345
147 -0.3674053472
157 -0.3655343279
172 -0.3655259428
196 -0.3534557345
206 -0.3499686769
225 -0.3488563359
232 -0.3476328868
241 -0.3457244915
256 -0.3453826624
270 -0.3437004374
361 -0.3399789738
415 -0.3352897498
451 -0.3335183708
454 -0.3310834052
467 -0.3303211074
534 -0.3273281258
565 -0.3255567467
1918 -0.3226084896
14465 -0.3224906821
14500 -0.3171314863
18131 -0.3155428849
18511 -0.3154164795
18644 -0.3147801012
18648 -0.3100968436
23427 -0.3083380732
23438 -0.3076845082
23464 -0.3019864691
25309 -0.2985087408
44296 -0.2978798510
50185 -0.2973556942
50193 -0.2965538531
100001 -0.3070768517
evaluations raw_y
1 -0.4660991233
30 -0.4628553436
41 -0.4607868387
42 -0.4574500947
44 -0.4565183467
48 -0.4556348972
53 -0.4502296483
59 -0.4489064695
68 -0.4458666442
72 -0.4450318139
74 -0.4413706328
80 -0.4373526218
93 -0.4351238683
95 -0.4266098458
110 -0.4218364583
128 -0.4153111880
135 -0.4120656632
157 -0.4111376683
166 -0.4096031776
174 -0.4073413909
175 -0.3992659341
190 -0.3956730230
200 -0.3923247207
203 -0.3899620999
206 -0.3864700230
217 -0.3819740116
235 -0.3813479009
239 -0.3801073673
248 -0.3795449485
254 -0.3750310609
266 -0.3737905273
290 -0.3709687619
299 -0.3707975456
328 -0.3705314057
330 -0.3700194540
331 -0.3671879262
334 -0.3649017185
339 -0.3619087368
347 -0.3616425969
