evaluations raw_y
1 0.0000000000
3 2.0000000000
11 3.0000000000
100 4.0000000000
170 6.0000000000
196 9.0000000000
244 10.0000000000
263 12.0000000000
317 15.0000000000
443 16.0000000000
457 17.0000000000
469 18.0000000000
630 20.0000000000
784 21.0000000000
793 22.0000000000
926 26.0000000000
1138 27.0000000000
1318 29.0000000000
1528 30.0000000000
1687 31.0000000000
1691 36.0000000000
1766 38.0000000000
1773 43.0000000000
1811 44.0000000000
2082 45.0000000000
2231 46.0000000000
2259 47.0000000000
2482 48.0000000000
2510 51.0000000000
2946 52.0000000000
3050 53.0000000000
3123 55.0000000000
3342 56.0000000000
3673 57.0000000000
3697 58.0000000000
3904 59.0000000000
3955 60.0000000000
4399 61.0000000000
4401 64.0000000000
4498 67.0000000000
4746 70.0000000000
4810 73.0000000000
4843 77.0000000000
5255 78.0000000000
5257 79.0000000000
5290 80.0000000000
5470 81.0000000000
5528 82.0000000000
5630 85.0000000000
5738 86.0000000000
5740 88.0000000000
5818 93.0000000000
6107 100.0000000000
100001 100.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
4 2.0000000000
9 4.0000000000
24 5.0000000000
67 6.0000000000
320 7.0000000000
403 8.0000000000
470 10.0000000000
504 11.0000000000
705 13.0000000000
761 14.0000000000
1250 19.0000000000
1626 20.0000000000
1642 25.0000000000
1649 26.0000000000
1694 28.0000000000
1719 29.0000000000
1767 30.0000000000
2010 31.0000000000
2102 34.0000000000
2135 35.0000000000
2192 37.0000000000
2269 41.0000000000
2427 42.0000000000
2471 43.0000000000
2819 44.0000000000
2878 46.0000000000
2984 47.0000000000
3200 48.0000000000
3581 50.0000000000
3953 54.0000000000
4031 57.0000000000
4142 58.0000000000
4276 59.0000000000
4487 60.0000000000
4743 61.0000000000
4861 63.0000000000
5006 65.0000000000
5160 66.0000000000
5261 67.0000000000
5290 68.0000000000
5454 69.0000000000
5707 71.0000000000
6618 72.0000000000
6714 75.0000000000
6833 76.0000000000
6982 77.0000000000
7056 78.0000000000
7323 81.0000000000
7579 82.0000000000
7636 84.0000000000
7776 85.0000000000
7801 86.0000000000
8185 88.0000000000
8286 89.0000000000
8454 90.0000000000
8562 93.0000000000
8667 96.0000000000
8673 97.0000000000
8779 99.0000000000
8785 100.0000000000
100001 15.0000000000
evaluations raw_y
1 1.0000000000
4 3.0000000000
6 4.0000000000
8 5.0000000000
15 6.0000000000
53 8.0000000000
58 11.0000000000
116 12.0000000000
119 14.0000000000
459 15.0000000000
867 18.0000000000
883 19.0000000000
986 24.0000000000
1044 27.0000000000
1331 29.0000000000
1579 35.0000000000
1603 36.0000000000
1651 37.0000000000
1673 39.0000000000
1692 42.0000000000
1943 45.0000000000
2011 51.0000000000
2120 55.0000000000
2125 56.0000000000
2164 57.0000000000
2176 58.0000000000
2373 61.0000000000
2795 63.0000000000
2800 64.0000000000
2930 66.0000000000
3875 67.0000000000
4150 69.0000000000
4293 71.0000000000
4307 75.0000000000
4699 76.0000000000
4746 77.0000000000
5298 81.0000000000
5308 88.0000000000
5391 90.0000000000
5593 91.0000000000
5700 92.0000000000
5875 93.0000000000
6631 94.0000000000
6812 98.0000000000
7178 100.0000000000
100001 10.0000000000
evaluations raw_y
1 2.0000000000
9 6.0000000000
338 8.0000000000
415 9.0000000000
619 10.0000000000
823 14.0000000000
1172 15.0000000000
1288 18.0000000000
1357 19.0000000000
1367 20.0000000000
1598 21.0000000000
1644 23.0000000000
1702 25.0000000000
1780 29.0000000000
1820 30.0000000000
1838 34.0000000000
1958 37.0000000000
1978 38.0000000000
2059 40.0000000000
2088 41.0000000000
2257 45.0000000000
2274 47.0000000000
2447 48.0000000000
2470 51.0000000000
2797 55.0000000000
2828 57.0000000000
3335 58.0000000000
3340 62.0000000000
3809 63.0000000000
4332 66.0000000000
5430 68.0000000000
5446 70.0000000000
5496 74.0000000000
5597 76.0000000000
5669 77.0000000000
5965 78.0000000000
6047 79.0000000000
6112 85.0000000000
6249 88.0000000000
6617 94.0000000000
7020 97.0000000000
7100 99.0000000000
7110 100.0000000000
100001 100.0000000000
evaluations raw_y
1 1.0000000000
7 2.0000000000
15 3.0000000000
76 7.0000000000
178 8.0000000000
259 10.0000000000
356 12.0000000000
449 14.0000000000
465 15.0000000000
522 16.0000000000
558 17.0000000000
970 18.0000000000
1034 19.0000000000
1527 20.0000000000
1713 21.0000000000
1733 24.0000000000
1753 27.0000000000
2042 29.0000000000
2047 31.0000000000
2125 32.0000000000
2142 37.0000000000
2383 39.0000000000
2410 42.0000000000
2458 43.0000000000
2525 47.0000000000
2555 48.0000000000
3046 51.0000000000
3694 52.0000000000
3748 57.0000000000
3815 58.0000000000
3839 60.0000000000
3849 63.0000000000
4457 64.0000000000
4506 65.0000000000
4671 67.0000000000
5055 68.0000000000
5187 71.0000000000
5264 72.0000000000
5470 77.0000000000
5477 78.0000000000
5589 80.0000000000
5701 82.0000000000
5708 84.0000000000
5787 88.0000000000
5959 91.0000000000
6611 92.0000000000
6613 96.0000000000
6625 97.0000000000
6899 98.0000000000
7080 100.0000000000
100001 61.0000000000
evaluations raw_y
1 1.0000000000
3 3.0000000000
16 5.0000000000
159 6.0000000000
189 7.0000000000
245 8.0000000000
369 10.0000000000
506 11.0000000000
608 13.0000000000
794 14.0000000000
801 16.0000000000
1139 17.0000000000
1289 18.0000000000
1648 20.0000000000
1879 21.0000000000
2007 24.0000000000
2215 27.0000000000
2379 28.0000000000
2408 29.0000000000
2453 30.0000000000
2511 33.0000000000
2778 35.0000000000
3470 37.0000000000
3559 39.0000000000
3697 40.0000000000
3725 41.0000000000
3736 42.0000000000
3863 48.0000000000
3982 49.0000000000
4097 52.0000000000
4188 55.0000000000
4262 56.0000000000
4625 69.0000000000
4676 72.0000000000
4689 73.0000000000
4693 76.0000000000
4749 77.0000000000
5452 79.0000000000
5682 81.0000000000
5687 83.0000000000
5703 84.0000000000
5918 86.0000000000
6254 87.0000000000
6467 89.0000000000
6699 93.0000000000
7047 95.0000000000
7074 96.0000000000
7396 98.0000000000
7542 100.0000000000
100001 77.0000000000
evaluations raw_y
1 0.0000000000
2 5.0000000000
4 6.0000000000
14 8.0000000000
32 10.0000000000
379 13.0000000000
537 14.0000000000
552 15.0000000000
566 16.0000000000
637 17.0000000000
651 18.0000000000
694 19.0000000000
737 21.0000000000
836 23.0000000000
843 24.0000000000
1069 26.0000000000
1151 28.0000000000
1331 32.0000000000
1363 33.0000000000
1446 34.0000000000
1507 35.0000000000
1586 36.0000000000
1650 37.0000000000
1822 42.0000000000
1974 44.0000000000
1990 45.0000000000
2127 51.0000000000
2281 53.0000000000
2285 54.0000000000
2373 55.0000000000
2395 56.0000000000
2583 57.0000000000
2641 60.0000000000
3012 65.0000000000
3039 66.0000000000
3042 67.0000000000
3348 69.0000000000
3553 71.0000000000
3986 74.0000000000
4098 76.0000000000
4180 80.0000000000
4402 81.0000000000
4739 83.0000000000
4977 86.0000000000
5062 89.0000000000
5113 90.0000000000
5323 91.0000000000
5432 92.0000000000
5622 94.0000000000
5936 95.0000000000
6221 96.0000000000
6411 99.0000000000
7237 100.0000000000
100001 1.0000000000
evaluations raw_y
1 1.0000000000
8 5.0000000000
44 6.0000000000
49 8.0000000000
88 9.0000000000
235 11.0000000000
270 12.0000000000
361 13.0000000000
515 15.0000000000
869 18.0000000000
975 20.0000000000
