evaluations raw_y
1 2.0000000000
8 3.0000000000
12 4.0000000000
41 6.0000000000
53 9.0000000000
95 11.0000000000
211 12.0000000000
383 14.0000000000
485 16.0000000000
680 17.0000000000
878 18.0000000000
989 19.0000000000
1220 20.0000000000
1725 21.0000000000
1826 25.0000000000
1888 28.0000000000
2007 29.0000000000
2095 32.0000000000
2319 34.0000000000
2435 46.0000000000
2502 48.0000000000
2818 50.0000000000
2978 52.0000000000
3220 55.0000000000
3515 56.0000000000
3634 58.0000000000
3900 60.0000000000
4363 65.0000000000
4600 66.0000000000
4932 67.0000000000
5206 70.0000000000
5257 71.0000000000
5571 72.0000000000
5726 75.0000000000
5881 79.0000000000
5930 80.0000000000
6135 81.0000000000
6608 82.0000000000
6829 83.0000000000
6946 85.0000000000
7088 86.0000000000
7656 87.0000000000
7827 91.0000000000
7862 93.0000000000
8834 94.0000000000
8845 95.0000000000
9077 98.0000000000
9296 100.0000000000
100001 45.0000000000
evaluations raw_y
1 2.0000000000
10 3.0000000000
23 7.0000000000
74 9.0000000000
107 10.0000000000
235 11.0000000000
290 12.0000000000
673 13.0000000000
879 16.0000000000
992 19.0000000000
1228 20.0000000000
1469 21.0000000000
1802 22.0000000000
1825 23.0000000000
1975 27.0000000000
2259 29.0000000000
2512 31.0000000000
2590 32.0000000000
3004 36.0000000000
3051 37.0000000000
3164 38.0000000000
3456 43.0000000000
3519 46.0000000000
3670 47.0000000000
4148 48.0000000000
4313 49.0000000000
4523 50.0000000000
4711 53.0000000000
4907 55.0000000000
5078 56.0000000000
5437 58.0000000000
6030 60.0000000000
6068 61.0000000000
6498 62.0000000000
6871 68.0000000000
6989 71.0000000000
7189 72.0000000000
7567 77.0000000000
7762 79.0000000000
7978 80.0000000000
8018 81.0000000000
8629 82.0000000000
8775 83.0000000000
8826 86.0000000000
8837 90.0000000000
9215 93.0000000000
9283 96.0000000000
10139 97.0000000000
10855 100.0000000000
100001 100.0000000000
evaluations raw_y
1 0.0000000000
4 6.0000000000
29 7.0000000000
54 8.0000000000
59 9.0000000000
125 12.0000000000
184 15.0000000000
347 16.0000000000
352 17.0000000000
372 18.0000000000
405 19.0000000000
535 22.0000000000
588 23.0000000000
605 26.0000000000
709 27.0000000000
1135 31.0000000000
1255 32.0000000000
1402 34.0000000000
1414 35.0000000000
1632 37.0000000000
1793 39.0000000000
2042 40.0000000000
2061 42.0000000000
2258 43.0000000000
2337 45.0000000000
2560 50.0000000000
2685 54.0000000000
2819 59.0000000000
3063 60.0000000000
3123 61.0000000000
3310 65.0000000000
3396 69.0000000000
3597 70.0000000000
3858 74.0000000000
4831 78.0000000000
5078 80.0000000000
5251 81.0000000000
5581 83.0000000000
5795 84.0000000000
6285 85.0000000000
6614 89.0000000000
6876 90.0000000000
7101 91.0000000000
7229 93.0000000000
7291 97.0000000000
7469 99.0000000000
7776 100.0000000000
100001 39.0000000000
evaluations raw_y
1 1.0000000000
3 2.0000000000
49 6.0000000000
82 11.0000000000
158 12.0000000000
237 15.0000000000
242 17.0000000000
355 19.0000000000
435 20.0000000000
742 21.0000000000
848 22.0000000000
1141 26.0000000000
1209 28.0000000000
1441 29.0000000000
1639 31.0000000000
1749 32.0000000000
1989 35.0000000000
2246 36.0000000000
2571 41.0000000000
2829 42.0000000000
2942 43.0000000000
3094 46.0000000000
3268 48.0000000000
3365 51.0000000000
3682 52.0000000000
3836 54.0000000000
4572 55.0000000000
4740 56.0000000000
4943 57.0000000000
5110 59.0000000000
5233 61.0000000000
5310 62.0000000000
6160 64.0000000000
6278 68.0000000000
6434 69.0000000000
6523 71.0000000000
6567 72.0000000000
7036 73.0000000000
7480 74.0000000000
7602 75.0000000000
7730 78.0000000000
8543 80.0000000000
9139 81.0000000000
9360 82.0000000000
9685 83.0000000000
9790 84.0000000000
10053 85.0000000000
10231 88.0000000000
10339 91.0000000000
10962 93.0000000000
11110 94.0000000000
11191 99.0000000000
11340 100.0000000000
100001 5.0000000000
evaluations raw_y
1 1.0000000000
6 2.0000000000
8 3.0000000000
18 5.0000000000
58 7.0000000000
101 9.0000000000
110 14.0000000000
132 17.0000000000
342 18.0000000000
453 19.0000000000
665 21.0000000000
699 24.0000000000
828 27.0000000000
983 28.0000000000
1396 29.0000000000
1588 30.0000000000
1630 31.0000000000
1865 34.0000000000
2051 35.0000000000
2061 36.0000000000
2244 37.0000000000
2621 38.0000000000
2714 42.0000000000
3351 45.0000000000
3432 46.0000000000
3520 50.0000000000
4033 53.0000000000
4218 54.0000000000
4507 55.0000000000
4745 58.0000000000
4805 60.0000000000
5317 64.0000000000
5846 66.0000000000
5904 67.0000000000
6044 68.0000000000
6232 70.0000000000
6750 72.0000000000
6825 75.0000000000
6983 77.0000000000
6997 81.0000000000
7194 84.0000000000
7218 87.0000000000
7525 88.0000000000
7613 91.0000000000
7741 93.0000000000
7889 99.0000000000
8225 100.0000000000
100001 100.0000000000
evaluations raw_y
1 0.0000000000
5 1.0000000000
8 2.0000000000
30 6.0000000000
49 7.0000000000
102 8.0000000000
110 10.0000000000
233 12.0000000000
311 13.0000000000
432 14.0000000000
509 17.0000000000
533 20.0000000000
667 21.0000000000
888 22.0000000000
925 23.0000000000
1189 24.0000000000
1216 27.0000000000
1279 29.0000000000
1420 31.0000000000
2335 37.0000000000
2633 39.0000000000
2713 40.0000000000
2923 41.0000000000
3070 43.0000000000
3206 47.0000000000
3292 48.0000000000
3484 54.0000000000
3856 57.0000000000
4147 58.0000000000
4210 60.0000000000
4300 61.0000000000
4380 62.0000000000
4523 63.0000000000
4617 64.0000000000
4753 65.0000000000
5310 67.0000000000
5393 68.0000000000
5761 70.0000000000
5989 73.0000000000
6225 76.0000000000
6343 79.0000000000
6379 80.0000000000
6993 81.0000000000
7413 83.0000000000
7608 89.0000000000
7695 90.0000000000
7749 91.0000000000
7943 92.0000000000
8380 95.0000000000
8492 96.0000000000
8879 97.0000000000
9523 100.0000000000
100001 37.0000000000
evaluations raw_y
1 1.0000000000
5 4.0000000000
23 6.0000000000
26 7.0000000000
58 9.0000000000
84 10.0000000000
101 17.0000000000
174 20.0000000000
331 22.0000000000
402 26.0000000000
443 29.0000000000
697 32.0000000000
826 34.0000000000
885 35.0000000000
961 36.0000000000
1259 37.0000000000
1378 38.0000000000
