evaluations raw_y
1 2298.0000000000
5 2373.0000000000
6 2420.0000000000
10 2450.0000000000
13 2550.0000000000
18 2570.0000000000
20 2738.0000000000
23 2795.0000000000
26 2839.0000000000
41 2883.0000000000
60 2911.0000000000
61 2927.0000000000
63 2983.0000000000
75 3060.0000000000
77 3119.0000000000
78 3137.0000000000
79 3181.0000000000
80 3203.0000000000
81 3287.0000000000
83 3328.0000000000
86 3346.0000000000
87 3442.0000000000
99 3457.0000000000
105 3458.0000000000
108 3551.0000000000
109 3637.0000000000
115 3644.0000000000
129 3673.0000000000
132 3697.0000000000
139 3707.0000000000
140 3813.0000000000
145 3817.0000000000
149 3909.0000000000
150 3959.0000000000
153 3977.0000000000
170 4015.0000000000
182 4063.0000000000
183 4154.0000000000
190 4180.0000000000
195 4200.0000000000
221 4226.0000000000
239 4325.0000000000
240 4327.0000000000
252 4375.0000000000
262 4418.0000000000
263 4421.0000000000
276 4452.0000000000
286 4474.0000000000
289 4510.0000000000
304 4543.0000000000
311 4584.0000000000
330 4595.0000000000
337 4665.0000000000
347 4674.0000000000
375 4701.0000000000
380 4788.0000000000
423 4827.0000000000
458 4900.0000000000
514 4914.0000000000
623 4966.0000000000
665 4984.0000000000
681 5010.0000000000
687 5013.0000000000
864 5026.0000000000
1020 5049.0000000000
1033 5050.0000000000
100001 5045.0000000000
evaluations raw_y
1 2618.0000000000
12 2639.0000000000
14 2715.0000000000
20 2866.0000000000
24 2944.0000000000
27 2965.0000000000
28 2966.0000000000
29 2983.0000000000
31 3063.0000000000
32 3104.0000000000
42 3182.0000000000
44 3255.0000000000
45 3330.0000000000
47 3428.0000000000
48 3487.0000000000
49 3505.0000000000
56 3506.0000000000
61 3558.0000000000
66 3630.0000000000
70 3719.0000000000
72 3773.0000000000
73 3826.0000000000
75 3837.0000000000
77 3950.0000000000
83 3992.0000000000
89 4024.0000000000
95 4075.0000000000
98 4152.0000000000
103 4236.0000000000
135 4241.0000000000
142 4256.0000000000
172 4340.0000000000
173 4363.0000000000
177 4436.0000000000
182 4450.0000000000
187 4508.0000000000
199 4522.0000000000
205 4538.0000000000
223 4580.0000000000
225 4604.0000000000
226 4610.0000000000
236 4636.0000000000
265 4642.0000000000
292 4662.0000000000
293 4664.0000000000
306 4728.0000000000
325 4737.0000000000
352 4770.0000000000
357 4782.0000000000
367 4814.0000000000
385 4851.0000000000
400 4930.0000000000
419 4934.0000000000
559 4941.0000000000
593 4942.0000000000
605 4968.0000000000
