evaluations raw_y
1 2350.0000000000
2 2681.0000000000
4 2721.0000000000
5 2871.0000000000
6 2881.0000000000
14 3230.0000000000
25 3288.0000000000
31 3340.0000000000
42 3415.0000000000
46 3461.0000000000
49 3479.0000000000
56 3591.0000000000
69 3676.0000000000
85 3700.0000000000
91 3725.0000000000
99 3773.0000000000
102 3871.0000000000
117 3878.0000000000
119 3896.0000000000
120 3911.0000000000
122 3959.0000000000
132 3968.0000000000
135 4027.0000000000
148 4032.0000000000
151 4079.0000000000
160 4133.0000000000
165 4181.0000000000
168 4234.0000000000
184 4268.0000000000
191 4311.0000000000
218 4318.0000000000
228 4324.0000000000
234 4381.0000000000
238 4394.0000000000
240 4395.0000000000
253 4469.0000000000
255 4489.0000000000
259 4496.0000000000
268 4547.0000000000
294 4585.0000000000
305 4598.0000000000
310 4638.0000000000
336 4651.0000000000
365 4711.0000000000
379 4714.0000000000
381 4746.0000000000
386 4760.0000000000
393 4766.0000000000
396 4780.0000000000
412 4783.0000000000
460 4790.0000000000
466 4817.0000000000
495 4834.0000000000
506 4858.0000000000
516 4860.0000000000
523 4897.0000000000
566 4917.0000000000
616 4952.0000000000
692 4964.0000000000
694 4977.0000000000
704 4989.0000000000
845 5005.0000000000
850 5043.0000000000
857 5050.0000000000
100001 4971.0000000000
evaluations raw_y
1 2505.0000000000
3 2820.0000000000
13 2921.0000000000
15 2950.0000000000
16 2990.0000000000
19 3014.0000000000
24 3065.0000000000
27 3180.0000000000
29 3203.0000000000
31 3226.0000000000
36 3280.0000000000
37 3350.0000000000
40 3397.0000000000
58 3409.0000000000
65 3416.0000000000
66 3476.0000000000
69 3519.0000000000
81 3563.0000000000
85 3593.0000000000
88 3662.0000000000
90 3670.0000000000
92 3731.0000000000
93 3803.0000000000
100 3811.0000000000
107 3824.0000000000
110 3855.0000000000
112 3863.0000000000
121 3892.0000000000
126 3906.0000000000
127 3923.0000000000
145 4015.0000000000
156 4063.0000000000
182 4138.0000000000
200 4157.0000000000
216 4169.0000000000
231 4222.0000000000
244 4334.0000000000
267 4354.0000000000
292 4383.0000000000
298 4434.0000000000
345 4478.0000000000
376 4496.0000000000
378 4542.0000000000
413 4573.0000000000
443 4577.0000000000
452 4608.0000000000
459 4632.0000000000
489 4684.0000000000
530 4757.0000000000
541 4793.0000000000
564 4890.0000000000
595 4910.0000000000
597 4929.0000000000
615 4970.0000000000
640 5007.0000000000
826 5036.0000000000
923 5039.0000000000
1066 5050.0000000000
100001 5034.0000000000
evaluations raw_y
1 2863.0000000000
3 2881.0000000000
6 2990.0000000000
13 3168.0000000000
17 3262.0000000000
21 3280.0000000000
22 3322.0000000000
26 3385.0000000000
27 3394.0000000000
31 3510.0000000000
36 3650.0000000000
43 3656.0000000000
56 3736.0000000000
64 3783.0000000000
81 3864.0000000000
90 3916.0000000000
94 3948.0000000000
99 3956.0000000000
106 3974.0000000000
110 4008.0000000000
122 4016.0000000000
134 4021.0000000000
138 4037.0000000000
140 4075.0000000000
142 4142.0000000000
155 4155.0000000000
157 4204.0000000000
165 4263.0000000000
172 4327.0000000000
181 4340.0000000000
199 4354.0000000000
205 4356.0000000000
217 4373.0000000000
248 4388.0000000000
249 4417.0000000000
251 4431.0000000000
256 4457.0000000000
262 4481.0000000000
271 4486.0000000000
284 4526.0000000000
299 4538.0000000000
325 4540.0000000000
330 4590.0000000000
341 4591.0000000000
343 4594.0000000000
389 4610.0000000000
394 4684.0000000000
409 4701.0000000000
410 4756.0000000000
425 4771.0000000000
440 4797.0000000000
444 4843.0000000000
500 4857.0000000000
560 4859.0000000000
563 4894.0000000000
606 4962.0000000000
688 4963.0000000000
739 4980.0000000000
769 5023.0000000000
838 5030.0000000000
887 5035.0000000000
1052 5050.0000000000
100001 5050.0000000000
evaluations raw_y
1 2459.0000000000
2 2653.0000000000
4 2905.0000000000
5 3033.0000000000
13 3194.0000000000
25 3378.0000000000
30 3478.0000000000
47 3539.0000000000
51 3543.0000000000
56 3548.0000000000
60 3570.0000000000
64 3575.0000000000
66 3588.0000000000
74 3599.0000000000
76 3639.0000000000
79 3674.0000000000
93 3694.0000000000
97 3757.0000000000
111 3856.0000000000
121 3863.0000000000
130 3901.0000000000
152 3908.0000000000
153 3952.0000000000
158 3981.0000000000
168 4010.0000000000
173 4081.0000000000
181 4087.0000000000
194 4106.0000000000
214 4152.0000000000
228 4222.0000000000
236 4229.0000000000
237 4280.0000000000
252 4322.0000000000
277 4379.0000000000
298 4391.0000000000
303 4418.0000000000
305 4447.0000000000
314 4492.0000000000
323 4498.0000000000
339 4502.0000000000
343 4516.0000000000
354 4546.0000000000
380 4567.0000000000
384 4610.0000000000
393 4618.0000000000
419 4645.0000000000
425 4684.0000000000
428 4721.0000000000
443 4749.0000000000
459 4774.0000000000
469 4778.0000000000
476 4821.0000000000
557 4877.0000000000
594 4927.0000000000
