evaluations raw_y
1 0.7979572295
2 0.9916699722
4 1.3290802764
8 1.6677785190
16 1.7998560115
23 1.8076644975
31 1.8208302986
38 1.8559762435
41 1.8982536067
45 1.9069412662
59 1.9394879752
70 1.9794140934
86 2.0408163265
93 2.1061499579
112 2.3126734505
122 2.3786869648
128 2.3832221163
137 2.4061597690
141 2.5278058645
167 2.6399155227
200 2.9585798817
226 3.0376670717
314 3.1367628607
372 3.2092426187
413 3.5460992908
1043 3.5971223022
1080 3.6927621861
1165 4.4404973357
1121729 4.4404973357
evaluations raw_y
1 0.8330556481
2 1.0799136069
4 1.2607160867
7 1.5994881638
18 1.6139444803
26 1.6903313049
31 1.6972165648
50 1.9127773527
72 1.9215987702
96 1.9305019305
97 1.9762845850
107 2.0781379884
114 2.1312872975
143 2.2341376229
148 2.2706630336
155 2.2747952684
164 2.2789425706
167 2.3169601483
206 2.3651844844
251 2.4533856722
264 2.4582104228
301 2.5746652935
318 2.6232948583
353 2.6288117771
408 2.6343519494
443 2.8312570781
460 2.8376844495
473 2.8571428571
492 2.9585798817
494 2.9655990510
530 2.9726516052
539 2.9940119760
553 3.0012004802
556 3.1133250311
584 3.2175032175
590 3.2594524120
625 3.3025099075
631 3.4013605442
713 3.4674063800
1310 3.7369207773
1339 3.9123630673
1356 3.9246467818
1420 3.9370078740
1440 4.1050903120
3285 4.1186161450
3321 4.2158516020
3324 4.2589437819
1129817 4.2589437819
evaluations raw_y
1 0.6954102921
2 0.8280887711
3 1.4679976512
5 1.5124016939
12 1.6545334216
16 1.8925056775
25 1.9794140934
30 1.9888623707
40 1.9984012790
45 2.1097046414
57 2.2261798753
62 2.2542831380
82 2.3084025854
88 2.3126734505
102 2.3430178069
137 2.3923444976
146 2.4826216485
170 2.5380710660
189 2.6178010471
212 2.6680896478
214 2.7563395810
287 2.7746947836
315 2.8968713789
353 2.9726516052
400 3.0674846626
403 3.1847133758
410 3.2258064516
442 3.3200531208
534 3.3467202142
535 3.3557046980
2427 3.4106412005
2494 3.4965034965
3063 3.6284470247
3099 3.8402457757
3143 3.8520801233
8732 3.9745627981
12620 4.1050903120
12678 4.1186161450
16407 4.1597337770
1127049 4.1597337770
evaluations raw_y
1 1.0940919037
2 1.2456402591
3 1.3448090371
7 1.5595757954
14 1.6056518947
18 1.6633399867
27 1.7642907551
37 1.7717930546
46 1.8261504748
58 1.9245573518
75 2.0080321285
76 2.0781379884
80 2.0815986678
98 2.0990764064
126 2.2872827081
160 2.2914757104
164 2.3299161230
167 2.3342670401
188 2.4108003857
248 2.4727992087
269 2.5075225677
298 2.6178010471
319 2.6343519494
352 2.7563395810
425 2.7624309392
443 2.8312570781
453 2.8636884307
525 2.8835063437
617 2.8901734104
661 3.0674846626
667 3.2679738562
670 3.3288948069
1370 3.3647375505
1387 3.6496350365
3513 3.6818851252
5268 3.6927621861
5326 3.8880248834
5417 4.0518638574
5493 4.1186161450
5563 4.3630017452
5579 4.4091710758
1126608 4.4091710758
evaluations raw_y
1 1.1410314925
9 1.3347570742
13 1.3419216318
16 1.4037057833
18 1.4277555682
19 1.4425851125
27 1.5253203173
32 1.5852885225
43 1.5994881638
47 1.6097875080
52 1.6160310278
58 1.6350555919
72 1.6677785190
88 2.0475020475
105 2.0644095789
134 2.3041474654
174 2.5536261491
206 2.6567481403
223 2.7085590466
265 2.7995520717
282 2.8184892897
332 3.2679738562
349 3.2765399738
391 3.3025099075
472 3.3112582781
2387 3.3288948069
2478 3.3738191633
2525 3.3829499323
2549 3.4106412005
4434 3.5460992908
4474 3.6179450072
5676 3.6496350365
7928 3.7257824143
8004 3.7821482602
8011 3.9123630673
8082 4.0000000000
12393 4.0387722132
12438 4.0783034258
20269 4.1186161450
20275 4.2444821732
20350 4.3177892919
20436 4.3936731107
20515 4.5703839122
20572 4.9115913556
25191 4.9900199601
1140333 4.9900199601
evaluations raw_y
1 0.8341675008
2 1.1327594019
5 1.2531328321
6 1.4943215780
10 1.6329196604
12 1.6479894529
15 1.8181818182
16 1.8477457502
31 1.9364833462
35 1.9888623707
43 2.0112630732
61 2.0475020475
85 2.1276595745
110 2.3299161230
134 2.4630541872
163 2.5484199796
195 2.7685492802
207 2.7746947836
217 2.8571428571
237 2.8636884307
299 2.9940119760
319 3.0012004802
322 3.0084235860
343 3.0750307503
363 3.1289111389
398 3.1367628607
472 3.2425421530
528 3.3557046980
613 3.7481259370
631 3.8759689922
660 4.2301184433
740 4.4883303411
840 4.6040515654
11628 4.6210720887
11670 4.6728971963
1119949 4.6728971963
evaluations raw_y
1 0.7694675285
2 1.0597710894
3 1.2025012025
4 1.3506212858
12 1.3850415512
14 1.4611338399
20 1.5197568389
30 1.6633399867
43 1.8422991894
58 1.9485580670
62 1.9700551615
79 2.0508613618
100 2.0610057708
117 2.0644095789
140 2.1240441801
141 2.1872265967
158 2.2461814915
179 2.2999080037
217 2.3474178404
265 2.8058361392
321 2.8506271380
388 3.1605562579
437 3.1685678074
506 3.1766200762
529 3.2679738562
537 3.3288948069
591 3.4106412005
640 3.4770514604
641 3.6927621861
741 3.7936267071
749 4.0000000000
758 4.0387722132
4019 4.2301184433
4667 4.2444821732
4748 4.2881646655
9600 4.3177892919
17822 4.3630017452
17890 4.5372050817
17959 4.7258979206
1127153 4.7258979206
evaluations raw_y
1 1.3668671405
4 1.3683634373
14 1.4196479273
18 1.5033072760
32 1.5654351910
41 1.6244314490
58 1.6744809109
76 1.7277125086
97 1.8642803878
122 1.8839487566
151 2.0210185934
176 2.0308692120
193 2.1026072330
228 2.1645021645
229 2.1682567216
236 2.3169601483
263 2.3299161230
304 2.5329280648
342 2.8376844495
400 3.0376670717
427 3.0599755202
929 3.0674846626
1019 3.1367628607
1045 3.3467202142
1073 3.3921302578
1927 3.4578146611
1928 3.4867503487
2012 3.6390101892
2013 3.7369207773
2044 3.9370078740
2079 4.0257648953
2171 4.1459369818
2185 4.3029259897
15020 4.3177892919
15101 4.6210720887
15110 5.0505050505
1131117 5.0505050505
evaluations raw_y
1 0.6862475981
2 1.2321340562
4 1.2658227848
14 1.3668671405
18 1.4180374362
