evaluations raw_y
1 1.3462574044
3 1.3683634373
9 1.6611295681
14 1.7869907076
18 1.9762845850
24 1.9794140934
47 2.0542317173
711392 0.0152276534
evaluations raw_y
1 0.9262689885
6 1.1116051578
8 1.2632642749
9 1.3068478829
12 1.3743815283
15 1.4261266400
23 1.5832805573
24 1.7692852088
26 1.8395879323
711184 0.0152276534
evaluations raw_y
1 0.9114108640
4 0.9380863039
6 1.0421008754
7 1.2370113805
10 1.4509576320
11 1.7946877243
123 1.8076644975
127 1.9215987702
128 1.9984012790
442 2.0016012810
711400 0.0152276534
evaluations raw_y
1 0.9972078181
4 1.0395010395
5 1.0817827780
6 1.1876484561
9 1.3361838589
10 1.3698630137
19 1.3927576602
20 1.3974287311
22 1.4310246136
45 1.4509576320
46 1.4645577036
52 1.4731879788
54 1.6035920462
58 1.6265452180
59 1.7229496899
62 1.7844396859
117 1.8395879323
157 1.8811136193
161 1.9546520719
162 1.9888623707
163 2.2583559169
512 2.2831050228
514 2.3741690408
711013 0.0152276534
evaluations raw_y
1 0.8286377196
3 0.9373828271
6 1.0012014417
7 1.0334849111
10 1.1256190905
13 1.1558021267
37 1.1590171535
38 1.3109596224
39 1.3506212858
41 1.4326647564
43 1.4889815366
44 1.5160703457
46 1.5441630636
47 1.6523463318
67 1.6880486158
76 1.7768301350
77 1.9275250578
197 1.9394879752
438 2.0048115477
444 2.0542317173
448 2.2341376229
711185 0.0152276534
evaluations raw_y
1 0.9380863039
4 1.0300782859
9 1.0715816545
10 1.1622501162
14 1.2272950417
18 1.3594344753
35 1.3881177124
40 1.5994881638
46 1.6744809109
47 1.7972681524
48 1.8587360595
55 2.0576131687
711148 0.0152276534
evaluations raw_y
1 0.6478362270
3 0.6647168306
5 0.6679134384
6 0.7666360012
8 0.7776049767
12 0.8041170794
13 1.1286681716
16 1.1876484561
19 1.3713658804
21 1.4037057833
22 1.5713387806
24 1.6056518947
44 1.6722408027
127 1.7182130584
129 1.8532246108
265 1.8782870023
270 1.9888623707
358 2.0016012810
711365 0.0166319613
evaluations raw_y
1 0.9940357853
5 0.9964129135
8 1.1600928074
9 1.2906556531
10 1.4409221902
15 1.4836795252
26 1.4961101137
28 1.4979029359
66 1.5654351910
73 1.5913430936
81 1.6181229773
89 1.7869907076
209 1.9455252918
213 2.0308692120
369 2.0508613618
711368 0.0165702279
evaluations raw_y
1 0.8874689386
5 0.9893153937
6 1.1096316023
7 1.2001920307
12 1.2987012987
15 1.4409221902
22 1.4801657786
23 1.4889815366
30 1.5160703457
53 1.5271838729
58 1.6286644951
184 1.6414970453
186 1.7743080199
267 1.8642803878
329 1.9098548510
331 1.9669551534
711391 0.0152276534
evaluations raw_y
1 0.8695652174
3 1.0552975939
5 1.2094823416
6 1.3491635186
7 1.3774104683
11 1.4492753623
44 1.4611338399
45 1.4766686356
71 1.6329196604
72 1.6926201760
276 1.7064846416
279 1.9011406844
307 2.0112630732
311 2.0815986678
711104 0.0152276534
