evaluations raw_y
1 47.0000000000
4 48.0000000000
5 50.0000000000
7 62.0000000000
13 63.0000000000
15 64.0000000000
17 65.0000000000
18 66.0000000000
24 67.0000000000
161479 0.0000000000
evaluations raw_y
1 47.0000000000
2 51.0000000000
3 52.0000000000
5 54.0000000000
9 61.0000000000
12 62.0000000000
14 63.0000000000
17 64.0000000000
19 65.0000000000
21 66.0000000000
161386 0.0000000000
evaluations raw_y
1 47.0000000000
2 53.0000000000
8 56.0000000000
12 57.0000000000
13 58.0000000000
17 59.0000000000
18 60.0000000000
19 61.0000000000
58 62.0000000000
60 63.0000000000
61 64.0000000000
161503 0.0000000000
evaluations raw_y
1 46.0000000000
2 48.0000000000
3 60.0000000000
14 61.0000000000
15 62.0000000000
16 63.0000000000
19 64.0000000000
22 65.0000000000
161424 0.0000000000
evaluations raw_y
1 45.0000000000
3 50.0000000000
6 51.0000000000
7 59.0000000000
12 60.0000000000
14 61.0000000000
16 62.0000000000
20 63.0000000000
23 64.0000000000
158799 0.0000000000
