evaluations raw_y
1 57.0000000000
4 58.0000000000
7 59.0000000000
8 60.0000000000
9 61.0000000000
11 62.0000000000
280 63.0000000000
281 64.0000000000
713657 1.0000000000
evaluations raw_y
1 56.0000000000
7 57.0000000000
8 58.0000000000
12 59.0000000000
16 60.0000000000
19 61.0000000000
713669 1.0000000000
evaluations raw_y
1 52.0000000000
5 53.0000000000
6 54.0000000000
7 55.0000000000
10 56.0000000000
11 57.0000000000
24 58.0000000000
26 59.0000000000
49 60.0000000000
50 61.0000000000
51 62.0000000000
230 63.0000000000
239 64.0000000000
241 65.0000000000
713704 0.0000000000
evaluations raw_y
1 61.0000000000
9 62.0000000000
12 63.0000000000
14 64.0000000000
17 65.0000000000
21 66.0000000000
713730 0.0000000000
evaluations raw_y
1 49.0000000000
3 50.0000000000
10 51.0000000000
14 52.0000000000
16 53.0000000000
22 54.0000000000
23 55.0000000000
25 56.0000000000
30 57.0000000000
32 58.0000000000
34 59.0000000000
36 60.0000000000
46 61.0000000000
713876 0.0000000000
evaluations raw_y
1 51.0000000000
4 52.0000000000
5 53.0000000000
7 54.0000000000
8 55.0000000000
9 56.0000000000
54 57.0000000000
65 59.0000000000
67 60.0000000000
68 61.0000000000
69 62.0000000000
74 63.0000000000
75 64.0000000000
713626 0.0000000000
evaluations raw_y
1 53.0000000000
3 54.0000000000
6 55.0000000000
7 56.0000000000
13 57.0000000000
15 58.0000000000
33 59.0000000000
36 60.0000000000
78 61.0000000000
81 62.0000000000
82 63.0000000000
713523 1.0000000000
evaluations raw_y
1 52.0000000000
3 53.0000000000
4 54.0000000000
5 55.0000000000
7 56.0000000000
14 57.0000000000
40 58.0000000000
46 59.0000000000
49 60.0000000000
245 61.0000000000
246 62.0000000000
473 63.0000000000
475 64.0000000000
713687 0.0000000000
evaluations raw_y
1 50.0000000000
4 51.0000000000
5 52.0000000000
6 53.0000000000
8 54.0000000000
9 55.0000000000
25 56.0000000000
28 57.0000000000
31 58.0000000000
33 59.0000000000
34 62.0000000000
37 63.0000000000
47 64.0000000000
49 65.0000000000
50 66.0000000000
51 67.0000000000
253 68.0000000000
713621 1.0000000000
evaluations raw_y
1 53.0000000000
4 54.0000000000
7 55.0000000000
9 56.0000000000
11 57.0000000000
12 58.0000000000
137 59.0000000000
146 60.0000000000
147 61.0000000000
200 62.0000000000
202 63.0000000000
207 64.0000000000
713754 0.0000000000
