evaluations raw_y
1 -1381.0000000000
2 -1332.0000000000
3 -1030.0000000000
14 -991.0000000000
18 -972.0000000000
28 -953.0000000000
42 -914.0000000000
58 -885.0000000000
78 -866.0000000000
99 -837.0000000000
123 -798.0000000000
148 -759.0000000000
176 -720.0000000000
205 -701.0000000000
238 -662.0000000000
273 -623.0000000000
312 -594.0000000000
353 -565.0000000000
396 -526.0000000000
446 -507.0000000000
497 -478.0000000000
549 -449.0000000000
602 -410.0000000000
656 -371.0000000000
711 -332.0000000000
767 -303.0000000000
773 -302.0000000000
831 -273.0000000000
893 -254.0000000000
956 -225.0000000000
1025 -206.0000000000
1099 -177.0000000000
1151 -176.0000000000
1226 -157.0000000000
1303 -138.0000000000
1330 -137.0000000000
1410 -118.0000000000
1493 -99.0000000000
1577 -80.0000000000
1652 -79.0000000000
1740 -60.0000000000
1829 -31.0000000000
1898 -30.0000000000
1988 -21.0000000000
2001 -20.0000000000
2092 -11.0000000000
2186 -2.0000000000
2230 -1.0000000000
2328 8.0000000000
19096 9.0000000000
31521 10.0000000000
1139528 10.0000000000
evaluations raw_y
1 -1069.0000000000
12 -1040.0000000000
14 -1001.0000000000
17 -972.0000000000
21 -933.0000000000
26 -894.0000000000
32 -855.0000000000
39 -826.0000000000
47 -807.0000000000
58 -778.0000000000
72 -739.0000000000
89 -710.0000000000
109 -691.0000000000
136 -662.0000000000
167 -633.0000000000
199 -604.0000000000
232 -575.0000000000
266 -536.0000000000
301 -507.0000000000
338 -478.0000000000
381 -449.0000000000
426 -420.0000000000
472 -381.0000000000
519 -352.0000000000
567 -333.0000000000
618 -314.0000000000
629 -313.0000000000
681 -294.0000000000
741 -275.0000000000
805 -236.0000000000
874 -207.0000000000
937 -206.0000000000
1012 -167.0000000000
1088 -148.0000000000
1094 -147.0000000000
1172 -118.0000000000
1251 -89.0000000000
1280 -88.0000000000
1360 -69.0000000000
1442 -60.0000000000
1526 -41.0000000000
1560 -40.0000000000
1647 -11.0000000000
1742 -2.0000000000
1839 7.0000000000
1914 8.0000000000
8403 9.0000000000
1136212 9.0000000000
evaluations raw_y
1 -1556.0000000000
3 -1410.0000000000
6 -1069.0000000000
12 -1040.0000000000
14 -1011.0000000000
18 -982.0000000000
23 -943.0000000000
29 -904.0000000000
37 -875.0000000000
46 -846.0000000000
66 -827.0000000000
88 -788.0000000000
111 -749.0000000000
136 -720.0000000000
167 -691.0000000000
202 -652.0000000000
238 -623.0000000000
279 -594.0000000000
321 -565.0000000000
367 -526.0000000000
414 -497.0000000000
463 -478.0000000000
513 -459.0000000000
565 -420.0000000000
619 -401.0000000000
628 -400.0000000000
689 -371.0000000000
753 -342.0000000000
819 -303.0000000000
886 -264.0000000000
954 -235.0000000000
1025 -216.0000000000
1101 -177.0000000000
1179 -158.0000000000
1262 -129.0000000000
1323 -128.0000000000
1407 -109.0000000000
1421 -108.0000000000
1506 -89.0000000000
1592 -70.0000000000
1679 -41.0000000000
1716 -40.0000000000
1804 -21.0000000000
1896 -12.0000000000
1918 -11.0000000000
2011 -2.0000000000
2064 -1.0000000000
2160 8.0000000000
10252 9.0000000000
1135459 9.0000000000
evaluations raw_y
1 -1400.0000000000
2 -1196.0000000000
3 -1099.0000000000
12 -1070.0000000000
16 -1031.0000000000
21 -992.0000000000
27 -953.0000000000
34 -924.0000000000
46 -895.0000000000
59 -856.0000000000
77 -837.0000000000
99 -808.0000000000
123 -779.0000000000
156 -740.0000000000
191 -701.0000000000
227 -662.0000000000
264 -623.0000000000
302 -584.0000000000
341 -575.0000000000
382 -546.0000000000
424 -507.0000000000
470 -478.0000000000
519 -449.0000000000
570 -430.0000000000
622 -411.0000000000
663 -410.0000000000
718 -381.0000000000
774 -342.0000000000
832 -303.0000000000
891 -284.0000000000
951 -265.0000000000
1013 -246.0000000000
1077 -227.0000000000
1081 -226.0000000000
1146 -197.0000000000
1181 -196.0000000000
1248 -167.0000000000
1317 -138.0000000000
1389 -109.0000000000
1416 -108.0000000000
1492 -89.0000000000
1558 -88.0000000000
1636 -59.0000000000
1716 -40.0000000000
1798 -31.0000000000
1881 -22.0000000000
1954 -21.0000000000
2043 -2.0000000000
