evaluations raw_y
1 -1302.0000000000
3 -1263.0000000000
5 -1224.0000000000
6 -1185.0000000000
7 -1146.0000000000
9 -1107.0000000000
27 -1079.0000000000
32 -1069.0000000000
34 -1040.0000000000
38 -1001.0000000000
39 -962.0000000000
45 -923.0000000000
110 -826.0000000000
116 -787.0000000000
120 -748.0000000000
121 -709.0000000000
123 -670.0000000000
124 -641.0000000000
125 -574.0000000000
130 -535.0000000000
132 -506.0000000000
138 -467.0000000000
146 -448.0000000000
149 -419.0000000000
173 -418.0000000000
174 -399.0000000000
180 -360.0000000000
250 -359.0000000000
251 -330.0000000000
289 -311.0000000000
295 -292.0000000000
300 -263.0000000000
342 -254.0000000000
343 -225.0000000000
345 -206.0000000000
346 -167.0000000000
358 -138.0000000000
640 -129.0000000000
645 -110.0000000000
709 -100.0000000000
711 -81.0000000000
734 -72.0000000000
741 -53.0000000000
940 -42.0000000000
1261 -41.0000000000
1270 -22.0000000000
1851 6.0000000000
1855 7.0000000000
1860 8.0000000000
133987 9.0000000000
1905958 0.0000000000
evaluations raw_y
1 -1566.0000000000
3 -1537.0000000000
4 -1498.0000000000
5 -1459.0000000000
8 -1420.0000000000
9 -1381.0000000000
24 -1371.0000000000
27 -1332.0000000000
29 -1293.0000000000
30 -1254.0000000000
35 -1215.0000000000
45 -1205.0000000000
46 -1166.0000000000
64 -1147.0000000000
65 -1108.0000000000
109 -1089.0000000000
112 -1050.0000000000
113 -418.0000000000
117 -379.0000000000
126 -350.0000000000
128 -321.0000000000
129 -292.0000000000
136 -263.0000000000
237 -253.0000000000
238 -214.0000000000
447 -195.0000000000
448 -176.0000000000
449 -137.0000000000
740 -128.0000000000
744 -99.0000000000
746 -80.0000000000
790 -79.0000000000
791 -60.0000000000
800 -51.0000000000
1097 -22.0000000000
1120 -13.0000000000
2266 -4.0000000000
2272 -3.0000000000
2291 6.0000000000
2657 7.0000000000
2687 8.0000000000
1903177 0.0000000000
evaluations raw_y
1 -1118.0000000000
3 -1079.0000000000
5 -1040.0000000000
8 -1001.0000000000
12 -962.0000000000
13 -933.0000000000
104 -487.0000000000
109 -458.0000000000
112 -429.0000000000
127 -400.0000000000
130 -371.0000000000
131 -342.0000000000
362 -341.0000000000
365 -320.0000000000
368 -291.0000000000
374 -252.0000000000
378 -223.0000000000
389 -214.0000000000
405 -197.0000000000
418 -178.0000000000
420 -139.0000000000
503 -138.0000000000
646 -119.0000000000
657 -100.0000000000
663 -81.0000000000
666 -72.0000000000
675 -71.0000000000
676 -70.0000000000
922 -61.0000000000
937 -52.0000000000
1356 -23.0000000000
1587 -4.0000000000
1594 -3.0000000000
1601 -2.0000000000
2397 5.0000000000
2408 6.0000000000
2419 7.0000000000
4539 8.0000000000
10548 9.0000000000
1900640 0.0000000000
evaluations raw_y
1 -1507.0000000000
4 -1468.0000000000
6 -1439.0000000000
7 -1400.0000000000
9 -1361.0000000000
11 -1322.0000000000
19 -1312.0000000000
21 -1273.0000000000
31 -894.0000000000
33 -865.0000000000
36 -836.0000000000
40 -807.0000000000
44 -768.0000000000
47 -729.0000000000
129 -612.0000000000
135 -573.0000000000
137 -544.0000000000
141 -505.0000000000
149 -466.0000000000
153 -447.0000000000
294 -427.0000000000
299 -388.0000000000
301 -369.0000000000
335 -349.0000000000
343 -320.0000000000
349 -291.0000000000
350 -282.0000000000
351 -243.0000000000
358 -204.0000000000
385 -196.0000000000
395 -187.0000000000
449 -156.0000000000
460 -137.0000000000
763 -119.0000000000
768 -100.0000000000
778 -81.0000000000
804 -72.0000000000
874 -69.0000000000
912 -50.0000000000
961 -43.0000000000
1047 -31.0000000000
1055 -22.0000000000
1059 -13.0000000000
1072 -12.0000000000
1141 -3.0000000000
1606 8.0000000000
6949 9.0000000000
1901896 0.0000000000
evaluations raw_y
1 -1410.0000000000
4 -1371.0000000000
7 -1332.0000000000
11 -1293.0000000000
13 -1254.0000000000
16 -1215.0000000000
31 -1205.0000000000
33 -1166.0000000000
35 -1127.0000000000
38 -1098.0000000000
46 -1079.0000000000
47 -1040.0000000000
57 -1030.0000000000
130 -1020.0000000000
145 -991.0000000000
146 -301.0000000000
150 -272.0000000000
151 -243.0000000000
161 -204.0000000000
181 -165.0000000000
185 -146.0000000000
628 -89.0000000000
642 -60.0000000000
665 -41.0000000000
668 -22.0000000000
683 -21.0000000000
695 -20.0000000000
2131 -13.0000000000
2137 -12.0000000000
2407 2.0000000000
2409 3.0000000000
2411 4.0000000000
2417 5.0000000000
2432 6.0000000000
2436 7.0000000000
3833 8.0000000000
1067612 9.0000000000
1908500 0.0000000000
evaluations raw_y
1 -1079.0000000000
4 -1050.0000000000
5 -1021.0000000000
6 -992.0000000000
7 -953.0000000000
8 -924.0000000000
108 -904.0000000000
111 -875.0000000000
112 -623.0000000000
122 -584.0000000000
123 -555.0000000000
126 -516.0000000000
129 -487.0000000000
130 -458.0000000000
156 -340.0000000000
161 -301.0000000000
168 -272.0000000000
171 -243.0000000000
175 -214.0000000000
178 -185.0000000000
711 -167.0000000000
712 -138.0000000000
717 -129.0000000000
718 -100.0000000000
720 -81.0000000000
925 -62.0000000000
949 -61.0000000000
963 -52.0000000000
981 -33.0000000000
994 -32.0000000000
999 -23.0000000000
1625 -22.0000000000
1691 -13.0000000000
1893 -5.0000000000
1894 -4.0000000000
1899 -3.0000000000
1928 6.0000000000
2767 7.0000000000
2799 8.0000000000
7492 9.0000000000
1903298 1.0000000000
evaluations raw_y
1 -1634.0000000000
3 -1595.0000000000
5 -1556.0000000000
8 -1517.0000000000
9 -1478.0000000000
13 -1439.0000000000
14 -1137.0000000000
16 -1098.0000000000
20 -1059.0000000000
23 -1020.0000000000
28 -981.0000000000
31 -942.0000000000
51 -933.0000000000
54 -894.0000000000
55 -855.0000000000
56 -826.0000000000
